player,goal_involvement(goals + assists),goals,assists,minutes_played,games_played,minutes_per_goal_involvement,games_per_goal_involvement
Raúl Jiménez,1.0,1.0,0.0,90,1,90.0,1.0
Rodrigo,1.0,1.0,0.0,217,5,217.0,5.0
Ross Barkley,1.0,1.0,0.0,297,6,297.0,6.0
Semi Ajayi,1.0,1.0,0.0,720,8,720.0,8.0
Solly March,1.0,1.0,0.0,359,5,359.0,5.0
Takumi Minamino,1.0,1.0,0.0,80,2,80.0,2.0
Tomas Soucek,1.0,1.0,0.0,720,8,720.0,8.0
Aaron Wan-Bissaka,1.0,0.0,1.0,540,6,540.0,6.0
Anthony Martial,1.0,0.0,1.0,176,4,176.0,4.0
Ashley Westwood,1.0,0.0,1.0,711,8,711.0,8.0
Bernardo Silva,1.0,0.0,1.0,209,3,209.0,3.0
Conor Gallagher,1.0,0.0,1.0,450,5,450.0,5.0
Curtis Jones,1.0,0.0,1.0,160,4,160.0,4.0
César Azpilicueta,1.0,0.0,1.0,450,5,450.0,5.0
Declan Rice,1.0,0.0,1.0,630,7,630.0,7.0
Dwight Gayle,1.0,0.0,1.0,90,5,90.0,5.0
Edinson Cavani,1.0,0.0,1.0,151,3,151.0,3.0
Ezgjan Alioski,1.0,0.0,1.0,553,7,553.0,7.0
Fábio Silva,1.0,0.0,1.0,268,7,268.0,7.0
Héctor Bellerín,1.0,0.0,1.0,562,7,562.0,7.0
Hélder Costa,1.0,0.0,1.0,435,6,435.0,6.0
Jesse Lingard,1.0,0.0,1.0,180,2,180.0,2.0
Jonjo Shelvey,1.0,0.0,1.0,450,5,450.0,5.0
João Moutinho,1.0,0.0,1.0,529,7,529.0,7.0
Kai Havertz,1.0,0.0,1.0,130,4,130.0,4.0
Kieran Tierney,1.0,0.0,1.0,585,7,585.0,7.0
Lucas Moura,1.0,0.0,1.0,243,7,243.0,7.0
Nathan Redmond,1.0,0.0,1.0,398,6,398.0,6.0
Nathaniel Phillips,1.0,0.0,1.0,90,1,90.0,1.0
Oliver McBurnie,1.0,0.0,1.0,399,6,399.0,6.0
Sergio Agüero,1.0,0.0,1.0,74,2,74.0,2.0
Steven Bergwijn,1.0,0.0,1.0,388,5,388.0,5.0
Theo Walcott,1.0,0.0,1.0,418,5,418.0,5.0
Timo Werner,1.0,0.0,1.0,443,6,443.0,6.0
Timothy Castagne,1.0,0.0,1.0,540,6,540.0,6.0
Trent Alexander-Arnold,1.0,0.0,1.0,513,6,513.0,6.0
Trezeguet,1.0,0.0,1.0,169,2,169.0,2.0
