player,goal_involvement(goals + assists),goals,assists,minutes_played,games_played,minutes_per_goal_involvement,games_per_goal_involvement
Craig Dawson,1.0,1.0,0.0,450,5,450.0,5.0
Dan Burn,1.0,1.0,0.0,648,8,648.0,8.0
Emil Krafth,1.0,1.0,0.0,529,6,529.0,6.0
Erik Lamela,1.0,1.0,0.0,252,6,252.0,6.0
Fred,1.0,1.0,0.0,800,10,800.0,10.0
Granit Xhaka,1.0,1.0,0.0,593,7,593.0,7.0
Hakim Ziyech,1.0,1.0,0.0,388,7,388.0,7.0
Hal Robson-Kanu,1.0,1.0,0.0,194,5,194.0,5.0
Ivan Cavaleiro,1.0,1.0,0.0,994,12,994.0,12.0
James Tarkowski,1.0,1.0,0.0,1080,12,1080.0,12.0
Jan Bednarek,1.0,1.0,0.0,1076,12,1076.0,12.0
Jannik Vestergaard,1.0,1.0,0.0,720,8,720.0,8.0
Jarrod Bowen,1.0,1.0,0.0,900,12,900.0,12.0
Joe Bryan,1.0,1.0,0.0,300,7,300.0,7.0
Jorginho,1.0,1.0,0.0,506,7,506.0,7.0
Josh Maja,1.0,1.0,0.0,315,4,315.0,4.0
Kelechi Iheanacho,1.0,1.0,0.0,381,8,381.0,8.0
Kyle Bartley,1.0,1.0,0.0,789,10,789.0,10.0
Liam Cooper,1.0,1.0,0.0,477,6,477.0,6.0
Luke Shaw,1.0,1.0,0.0,900,10,900.0,10.0
Manuel Lanzini,1.0,1.0,0.0,79,5,79.0,5.0
Marcos Alonso,1.0,1.0,0.0,270,3,270.0,3.0
Martin Ødegaard,1.0,1.0,0.0,350,5,350.0,5.0
Mason Mount,1.0,1.0,0.0,730,9,730.0,9.0
Mateusz Klich,1.0,1.0,0.0,648,11,648.0,11.0
Neal Maupay,1.0,1.0,0.0,519,9,519.0,9.0
Nélson Semedo,1.0,1.0,0.0,894,10,894.0,10.0
Pascal Struijk,1.0,1.0,0.0,720,9,720.0,9.0
Raúl Jiménez,1.0,1.0,0.0,105,2,105.0,2.0
Rodri,1.0,1.0,0.0,810,9,810.0,9.0
Romain Saïss,1.0,1.0,0.0,720,8,720.0,8.0
Rúben Neves,1.0,1.0,0.0,879,12,879.0,12.0
Semi Ajayi,1.0,1.0,0.0,1080,12,1080.0,12.0
Solly March,1.0,1.0,0.0,536,8,536.0,8.0
Stuart Armstrong,1.0,1.0,0.0,743,9,743.0,9.0
Takumi Minamino,1.0,1.0,0.0,81,3,81.0,3.0
Tammy Abraham,1.0,1.0,0.0,199,4,199.0,4.0
Yerry Mina,1.0,1.0,0.0,379,6,379.0,6.0
Aaron Wan-Bissaka,1.0,0.0,1.0,900,10,900.0,10.0
Ashley Westwood,1.0,0.0,1.0,1071,12,1071.0,12.0
Bernardo Silva,1.0,0.0,1.0,551,7,551.0,7.0
Conor Gallagher,1.0,0.0,1.0,810,9,810.0,9.0
Curtis Jones,1.0,0.0,1.0,262,6,262.0,6.0
César Azpilicueta,1.0,0.0,1.0,618,7,618.0,7.0
Declan Rice,1.0,0.0,1.0,990,11,990.0,11.0
Dwight Gayle,1.0,0.0,1.0,167,7,167.0,7.0
Fábio Silva,1.0,0.0,1.0,504,11,504.0,11.0
Héctor Bellerín,1.0,0.0,1.0,637,8,637.0,8.0
Jonjo Shelvey,1.0,0.0,1.0,810,9,810.0,9.0
Kai Havertz,1.0,0.0,1.0,218,7,218.0,7.0
Luka Milivojevic,1.0,0.0,1.0,705,10,705.0,10.0
Nathan Redmond,1.0,0.0,1.0,454,9,454.0,9.0
Nathaniel Phillips,1.0,0.0,1.0,225,3,225.0,3.0
Oliver McBurnie,1.0,0.0,1.0,452,8,452.0,8.0
Paul Pogba,1.0,0.0,1.0,662,8,662.0,8.0
Riyad Mahrez,1.0,0.0,1.0,495,8,495.0,8.0
Ryan Fredericks,1.0,0.0,1.0,196,5,196.0,5.0
Sergio Agüero,1.0,0.0,1.0,139,3,139.0,3.0
Steven Bergwijn,1.0,0.0,1.0,478,6,478.0,6.0
Timothy Castagne,1.0,0.0,1.0,870,10,870.0,10.0
Trezeguet,1.0,0.0,1.0,360,5,360.0,5.0
Tyler Roberts,1.0,0.0,1.0,503,8,503.0,8.0
Willian José,1.0,0.0,1.0,268,5,268.0,5.0
