player,goal_involvement(goals + assists),goals,assists,minutes_played,games_played,minutes_per_goal_involvement,games_per_goal_involvement
Fabian Schär,1.0,1.0,0.0,107,2,107.0,2.0
Gabriel,1.0,1.0,0.0,360,4,360.0,4.0
Gabriel Martinelli,1.0,1.0,0.0,233,3,233.0,3.0
Harry Maguire,1.0,1.0,0.0,450,5,450.0,5.0
Harvey Barnes,1.0,1.0,0.0,211,3,211.0,3.0
Issa Diop,1.0,1.0,0.0,118,3,118.0,3.0
Ivan Cavaleiro,1.0,1.0,0.0,191,4,191.0,4.0
Jairo Riedewald,1.0,1.0,0.0,302,6,302.0,6.0
Jarrod Bowen,1.0,1.0,0.0,416,6,416.0,6.0
Jayden Bogle,1.0,1.0,0.0,100,2,100.0,2.0
Jeffrey Schlupp,1.0,1.0,0.0,277,5,277.0,5.0
John Stones,1.0,1.0,0.0,270,3,270.0,3.0
Jonny Evans,1.0,1.0,0.0,450,5,450.0,5.0
Jorginho,1.0,1.0,0.0,246,4,246.0,4.0
Kalvin Phillips,1.0,1.0,0.0,540,6,540.0,6.0
Kyle Bartley,1.0,1.0,0.0,270,3,270.0,3.0
Kyle Walker,1.0,1.0,0.0,195,3,195.0,3.0
Luka Milivojevic,1.0,1.0,0.0,540,6,540.0,6.0
Matheus Pereira,1.0,1.0,0.0,326,4,326.0,4.0
Matt Phillips,1.0,1.0,0.0,116,4,116.0,4.0
Michael Keane,1.0,1.0,0.0,460,6,460.0,6.0
Miguel Almirón,1.0,1.0,0.0,346,4,346.0,4.0
Moussa Djenepo,1.0,1.0,0.0,61,4,61.0,4.0
Nathan Redmond,1.0,1.0,0.0,238,5,238.0,5.0
Ola Aina,1.0,1.0,0.0,351,4,351.0,4.0
Ollie Watkins,1.0,1.0,0.0,540,6,540.0,6.0
Paul Pogba,1.0,1.0,0.0,360,4,360.0,4.0
Pedro Neto,1.0,1.0,0.0,273,4,273.0,4.0
Pierre-Emerick Aubameyang,1.0,1.0,0.0,270,3,270.0,3.0
Roberto Firmino,1.0,1.0,0.0,443,5,443.0,5.0
Ryan Fredericks,1.0,1.0,0.0,17,2,17.0,2.0
Sergio Agüero,1.0,1.0,0.0,104,2,104.0,2.0
Sébastien Haller,1.0,1.0,0.0,180,2,180.0,2.0
Tanguy Ndombélé,1.0,1.0,0.0,400,5,400.0,5.0
Theo Walcott,1.0,1.0,0.0,260,4,260.0,4.0
Thiago Silva,1.0,1.0,0.0,372,5,372.0,5.0
Willian José,1.0,1.0,0.0,155,2,155.0,2.0
Bernardo Silva,1.0,0.0,1.0,307,4,307.0,4.0
César Azpilicueta,1.0,0.0,1.0,315,4,315.0,4.0
Danny Ings,1.0,0.0,1.0,338,5,338.0,5.0
Dennis Praet,1.0,0.0,1.0,126,4,126.0,4.0
Ferran Torres,1.0,0.0,1.0,299,4,299.0,4.0
Gary Cahill,1.0,0.0,1.0,360,4,360.0,4.0
Jan Bednarek,1.0,0.0,1.0,450,5,450.0,5.0
Jay Rodríguez,1.0,0.0,1.0,227,5,227.0,5.0
Joel Matip,1.0,0.0,1.0,105,2,105.0,2.0
Joelinton,1.0,0.0,1.0,300,4,300.0,4.0
Lucas Moura,1.0,0.0,1.0,128,4,128.0,4.0
Luke Shaw,1.0,0.0,1.0,278,4,278.0,4.0
Marc Albrighton,1.0,0.0,1.0,215,5,215.0,5.0
Matej Vydra,1.0,0.0,1.0,202,3,202.0,3.0
Mbaye Diagne,1.0,0.0,1.0,113,2,113.0,2.0
Michy Batshuayi,1.0,0.0,1.0,99,2,99.0,2.0
Robbie Brady,1.0,0.0,1.0,136,3,136.0,3.0
Stuart Dallas,1.0,0.0,1.0,540,6,540.0,6.0
Trent Alexander-Arnold,1.0,0.0,1.0,442,6,442.0,6.0
Victor Lindelöf,1.0,0.0,1.0,360,4,360.0,4.0
Wilfred Ndidi,1.0,0.0,1.0,291,4,291.0,4.0
