player,goal_involvement(goals + assists),goals,assists,minutes_played,games_played,minutes_per_goal_involvement,games_per_goal_involvement
Dan Burn,1.0,1.0,0.0,1191,15,1191.0,15.0
Daniel James,1.0,1.0,0.0,548,7,548.0,7.0
David Luiz,1.0,1.0,0.0,778,11,778.0,11.0
Eddie Nketiah,1.0,1.0,0.0,226,9,226.0,9.0
Emil Krafth,1.0,1.0,0.0,647,8,647.0,8.0
Erik Lamela,1.0,1.0,0.0,346,9,346.0,9.0
Fred,1.0,1.0,0.0,1300,16,1300.0,16.0
Georginio Wijnaldum,1.0,1.0,0.0,1433,18,1433.0,18.0
Grady Diangana,1.0,1.0,0.0,763,13,763.0,13.0
Hakim Ziyech,1.0,1.0,0.0,525,11,525.0,11.0
James Tarkowski,1.0,1.0,0.0,1710,19,1710.0,19.0
Jan Bednarek,1.0,1.0,0.0,1706,19,1706.0,19.0
Jannik Vestergaard,1.0,1.0,0.0,1180,14,1180.0,14.0
Joachim Andersen,1.0,1.0,0.0,1588,18,1588.0,18.0
John Stones,1.0,1.0,0.0,810,9,810.0,9.0
Kurt Zouma,1.0,1.0,0.0,947,12,947.0,12.0
Kyle Bartley,1.0,1.0,0.0,1419,17,1419.0,17.0
Leander Dendoncker,1.0,1.0,0.0,1147,17,1147.0,17.0
Lewis Dunk,1.0,1.0,0.0,1530,17,1530.0,17.0
Liam Cooper,1.0,1.0,0.0,1017,12,1017.0,12.0
Manuel Lanzini,1.0,1.0,0.0,139,7,139.0,7.0
Marcos Alonso,1.0,1.0,0.0,360,4,360.0,4.0
Martin Ødegaard,1.0,1.0,0.0,582,9,582.0,9.0
Mason Holgate,1.0,1.0,0.0,1360,16,1360.0,16.0
Nélson Semedo,1.0,1.0,0.0,1597,18,1597.0,18.0
Olivier Giroud,1.0,1.0,0.0,271,6,271.0,6.0
Pascal Struijk,1.0,1.0,0.0,900,11,900.0,11.0
Robbie Brady,1.0,1.0,0.0,575,10,575.0,10.0
Rodri,1.0,1.0,0.0,1295,16,1295.0,16.0
Romain Saïss,1.0,1.0,0.0,1170,13,1170.0,13.0
Ruben Loftus-Cheek,1.0,1.0,0.0,921,16,921.0,16.0
Rúben Dias,1.0,1.0,0.0,1350,15,1350.0,15.0
Semi Ajayi,1.0,1.0,0.0,1665,19,1665.0,19.0
Stuart Armstrong,1.0,1.0,0.0,1381,17,1381.0,17.0
Takumi Minamino,1.0,1.0,0.0,252,7,252.0,7.0
Thiago Silva,1.0,1.0,0.0,1026,12,1026.0,12.0
Toby Alderweireld,1.0,1.0,0.0,1071,12,1071.0,12.0
Victor Lindelöf,1.0,1.0,0.0,1416,16,1416.0,16.0
Yerry Mina,1.0,1.0,0.0,801,11,801.0,11.0
Yves Bissouma,1.0,1.0,0.0,1540,18,1540.0,18.0
Adama Traoré,1.0,0.0,1.0,1433,19,1433.0,19.0
Alex Iwobi,1.0,0.0,1.0,697,14,697.0,14.0
Alexis Mac Allister,1.0,0.0,1.0,664,12,664.0,12.0
Ben Chilwell,1.0,0.0,1.0,1180,14,1180.0,14.0
Conor Gallagher,1.0,0.0,1.0,1248,14,1248.0,14.0
César Azpilicueta,1.0,0.0,1.0,1062,12,1062.0,12.0
Declan Rice,1.0,0.0,1.0,1350,15,1350.0,15.0
Dwight Gayle,1.0,0.0,1.0,196,9,196.0,9.0
João Cancelo,1.0,0.0,1.0,1145,13,1145.0,13.0
Juan Mata,1.0,0.0,1.0,258,4,258.0,4.0
Luka Milivojevic,1.0,0.0,1.0,1221,16,1221.0,16.0
Nathan Redmond,1.0,0.0,1.0,890,15,890.0,15.0
Nathaniel Phillips,1.0,0.0,1.0,465,6,465.0,6.0
Ola Aina,1.0,0.0,1.0,1408,16,1408.0,16.0
Rayan Aït Nouri,1.0,0.0,1.0,606,10,606.0,10.0
Reece James,1.0,0.0,1.0,1241,16,1241.0,16.0
Ryan Fredericks,1.0,0.0,1.0,227,6,227.0,6.0
Timothy Castagne,1.0,0.0,1.0,1177,14,1177.0,14.0
Tom Cairney,1.0,0.0,1.0,245,4,245.0,4.0
Trezeguet,1.0,0.0,1.0,627,11,627.0,11.0
Tyler Roberts,1.0,0.0,1.0,623,12,623.0,12.0
Willian,1.0,0.0,1.0,695,12,695.0,12.0
Willian José,1.0,0.0,1.0,510,9,510.0,9.0
