player,goal_involvement(goals + assists),goals,assists,minutes_played,games_played,minutes_per_goal_involvement,games_per_goal_involvement
Harry Kane,15.0,9.0,6.0,1482,17,98.8,1.1
Mohamed Salah,13.0,13.0,0.0,1431,17,110.1,1.3
Ollie Watkins,13.0,10.0,3.0,1709,19,131.5,1.5
Bruno Fernandes,13.0,9.0,4.0,1417,18,109.0,1.4
Heung-min Son,13.0,9.0,4.0,1517,18,116.7,1.4
Matheus Pereira,12.0,6.0,6.0,1280,17,106.7,1.4
Jamie Vardy,10.0,9.0,1.0,1356,16,135.6,1.6
Callum Wilson,10.0,8.0,2.0,1128,14,112.8,1.4
Sadio Mané,9.0,6.0,3.0,1426,17,158.4,1.9
Patrick Bamford,9.0,4.0,5.0,1465,18,162.8,2.0
Jack Grealish,9.0,3.0,6.0,1081,13,120.1,1.4
Raheem Sterling,8.0,5.0,3.0,1385,17,173.1,2.1
Roberto Firmino,8.0,5.0,3.0,1464,18,183.0,2.2
Bertrand Traoré,8.0,4.0,4.0,1193,19,149.1,2.4
James Ward-Prowse,8.0,4.0,4.0,1800,20,225.0,2.5
Danny Ings,7.0,5.0,2.0,1105,15,157.9,2.1
Dominic Calvert-Lewin,7.0,5.0,2.0,1365,16,195.0,2.3
Jesse Lingard,7.0,5.0,2.0,627,7,89.6,1.0
Michail Antonio,7.0,5.0,2.0,951,12,135.9,1.7
Phil Foden,7.0,5.0,2.0,801,15,114.4,2.1
James Maddison,7.0,3.0,4.0,1004,15,143.4,2.1
Marcus Rashford,7.0,3.0,4.0,1440,18,205.7,2.6
Raphinha,7.0,2.0,5.0,1097,13,156.7,1.9
Alexandre Lacazette,6.0,6.0,0.0,1001,15,166.8,2.5
Diogo Jota,6.0,6.0,0.0,433,9,72.2,1.5
Stuart Dallas,6.0,6.0,0.0,1611,18,268.5,3.0
Gylfi Sigurdsson,6.0,5.0,1.0,1063,17,177.2,2.8
Ilkay Gündogan,6.0,5.0,1.0,759,11,126.5,1.8
Wilfried Zaha,6.0,5.0,1.0,1485,17,247.5,2.8
Youri Tielemans,6.0,5.0,1.0,1617,18,269.5,3.0
Harvey Barnes,6.0,4.0,2.0,1063,13,177.2,2.2
Pierre-Emerick Aubameyang,6.0,4.0,2.0,1051,13,175.2,2.2
Ademola Lookman,6.0,2.0,4.0,1515,18,252.5,3.0
Kevin De Bruyne,6.0,2.0,4.0,989,13,164.8,2.2
Riyad Mahrez,6.0,2.0,4.0,1076,15,179.3,2.5
Timo Werner,6.0,1.0,5.0,1232,17,205.3,2.8
Trent Alexander-Arnold,6.0,1.0,5.0,1502,17,250.3,2.8
David McGoldrick,5.0,5.0,0.0,1219,18,243.8,3.6
Joe Willock,5.0,5.0,0.0,490,10,98.0,2.0
Christian Benteke,5.0,4.0,1.0,998,15,199.6,3.0
Neal Maupay,5.0,4.0,1.0,1126,16,225.2,3.2
Tomas Soucek,5.0,4.0,1.0,1620,18,324.0,3.6
Bobby Reid,5.0,3.0,2.0,1165,16,233.0,3.2
Che Adams,5.0,3.0,2.0,1393,18,278.6,3.6
Danny Welbeck,5.0,3.0,2.0,737,11,147.4,2.2
Edinson Cavani,5.0,3.0,2.0,552,13,110.4,2.6
Gabriel Jesus,5.0,3.0,2.0,927,13,185.4,2.6
Jarrod Bowen,5.0,3.0,2.0,1294,18,258.8,3.6
Jack Harrison,5.0,2.0,3.0,1181,16,236.2,3.2
James Rodríguez,5.0,2.0,3.0,789,11,157.8,2.2
John McGinn,5.0,2.0,3.0,1800,20,360.0,4.0
Pascal Groß,5.0,2.0,3.0,1391,19,278.2,3.8
Pedro Neto,5.0,2.0,3.0,1471,17,294.2,3.4
Andrew Robertson,5.0,1.0,4.0,1586,18,317.2,3.6
Anwar El Ghazi,4.0,4.0,0.0,899,16,224.8,4.0
Callum Robinson,4.0,4.0,0.0,926,14,231.5,3.5
Chris Wood,4.0,4.0,0.0,1509,19,377.2,4.8
Leandro Trossard,4.0,3.0,1.0,1411,19,352.8,4.8
Mason Greenwood,4.0,3.0,1.0,802,15,200.5,3.8
Scott McTominay,4.0,3.0,1.0,1425,17,356.2,4.2
Pablo Fornals,4.0,2.0,2.0,1313,16,328.2,4.0
Andros Townsend,4.0,1.0,3.0,1240,18,310.0,4.5
Bernardo Silva,4.0,1.0,3.0,824,11,206.0,2.8
Jeffrey Schlupp,4.0,1.0,3.0,605,14,151.2,3.5
Anthony Martial,4.0,0.0,4.0,566,10,141.5,2.5
Joelinton,3.0,3.0,0.0,1085,17,361.7,5.7
Jorginho,3.0,3.0,0.0,932,12,310.7,4.0
Josh Maja,3.0,3.0,0.0,444,7,148.0,2.3
Kelechi Iheanacho,3.0,3.0,0.0,514,11,171.3,3.7
Richarlison,3.0,3.0,0.0,1497,17,499.0,5.7
Tammy Abraham,3.0,3.0,0.0,415,9,138.3,3.0
Daniel Podence,3.0,2.0,1.0,750,11,250.0,3.7
Gareth Bale,3.0,2.0,1.0,289,9,96.3,3.0
Jeff Hendrick,3.0,2.0,1.0,598,9,199.3,3.0
Nicolas Pépé,3.0,2.0,1.0,775,14,258.3,4.7
Ross Barkley,3.0,2.0,1.0,969,15,323.0,5.0
Sergio Agüero,3.0,2.0,1.0,333,7,111.0,2.3
Eberechi Eze,3.0,1.0,2.0,1322,17,440.7,5.7
Emile Smith Rowe,3.0,1.0,2.0,542,9,180.7,3.0
Lucas Moura,3.0,1.0,2.0,649,17,216.3,5.7
Luke Shaw,3.0,1.0,2.0,1387,16,462.3,5.3
Mason Mount,3.0,1.0,2.0,1373,17,457.7,5.7
Tariq Lamptey,3.0,1.0,2.0,304,4,101.3,1.3
Wilfred Ndidi,3.0,1.0,2.0,1025,12,341.7,4.0
Aleksandar Mitrovic,2.0,2.0,0.0,455,13,227.5,6.5
Craig Dawson,2.0,2.0,0.0,810,9,405.0,4.5
Hal Robson-Kanu,2.0,2.0,0.0,394,11,197.0,5.5
Ivan Cavaleiro,2.0,2.0,0.0,1504,20,752.0,10.0
Mateusz Klich,2.0,2.0,0.0,1101,17,550.5,8.5
Mbaye Diagne,2.0,2.0,0.0,478,7,239.0,3.5
Michy Batshuayi,2.0,2.0,0.0,111,7,55.5,3.5
Raúl Jiménez,2.0,2.0,0.0,375,5,187.5,2.5
Rodrigo,2.0,2.0,0.0,455,12,227.5,6.0
Rúben Neves,2.0,2.0,0.0,1517,20,758.5,10.0
Abdoulaye Doucouré,2.0,1.0,1.0,1116,13,558.0,6.5
Allan Saint-Maximin,2.0,1.0,1.0,948,14,474.0,7.0
Bukayo Saka,2.0,1.0,1.0,1092,14,546.0,7.0
Callum Hudson-Odoi,2.0,1.0,1.0,385,9,192.5,4.5
Dwight McNeil,2.0,1.0,1.0,1565,19,782.5,9.5
Ferran Torres,2.0,1.0,1.0,540,11,270.0,5.5
Fábio Silva,2.0,1.0,1.0,788,18,394.0,9.0
Giovani Lo Celso,2.0,1.0,1.0,370,7,185.0,3.5
Granit Xhaka,2.0,1.0,1.0,1207,14,603.5,7.0
Héctor Bellerín,2.0,1.0,1.0,997,12,498.5,6.0
Hélder Costa,2.0,1.0,1.0,674,13,337.0,6.5
Joe Bryan,2.0,1.0,1.0,391,9,195.5,4.5
Jordan Ayew,2.0,1.0,1.0,1167,19,583.5,9.5
João Moutinho,2.0,1.0,1.0,1383,17,691.5,8.5
Mario Lemina,2.0,1.0,1.0,1030,16,515.0,8.0
Matej Vydra,2.0,1.0,1.0,703,16,351.5,8.0
Michael Keane,2.0,1.0,1.0,1360,16,680.0,8.0
Miguel Almirón,2.0,1.0,1.0,1328,20,664.0,10.0
Oliver Burke,2.0,1.0,1.0,828,15,414.0,7.5
Oliver McBurnie,2.0,1.0,1.0,798,14,399.0,7.0
Paul Pogba,2.0,1.0,1.0,849,13,424.5,6.5
Pierre-Emile Höjbjerg,2.0,1.0,1.0,1620,18,810.0,9.0
Sander Berge,2.0,1.0,1.0,687,9,343.5,4.5
Serge Aurier,2.0,1.0,1.0,1009,12,504.5,6.0
Solly March,2.0,1.0,1.0,896,12,448.0,6.0
Tanguy Ndombélé,2.0,1.0,1.0,936,15,468.0,7.5
Theo Walcott,2.0,1.0,1.0,880,11,440.0,5.5
Aaron Wan-Bissaka,2.0,0.0,2.0,1440,16,720.0,8.0
Ashley Westwood,2.0,0.0,2.0,1791,20,895.5,10.0
Curtis Jones,2.0,0.0,2.0,617,12,308.5,6.0
Darnell Furlong,2.0,0.0,2.0,1573,19,786.5,9.5
Ezgjan Alioski,2.0,0.0,2.0,1207,17,603.5,8.5
Jonjo Shelvey,2.0,0.0,2.0,1285,15,642.5,7.5
Kai Havertz,2.0,0.0,2.0,606,13,303.0,6.5
Kalvin Phillips,2.0,0.0,2.0,1306,16,653.0,8.0
Kieran Tierney,2.0,0.0,2.0,1206,14,603.0,7.0
Marc Albrighton,2.0,0.0,2.0,1004,15,502.0,7.5
Steven Bergwijn,2.0,0.0,2.0,738,10,369.0,5.0
Adam Lallana,1.0,1.0,0.0,727,15,727.0,15.0
Adam Webster,1.0,1.0,0.0,1440,16,1440.0,16.0
Andy Carroll,1.0,1.0,0.0,231,9,231.0,9.0
Angelo Ogbonna,1.0,1.0,0.0,990,11,990.0,11.0
Antonio Rüdiger,1.0,1.0,0.0,720,8,720.0,8.0
Ashley Barnes,1.0,1.0,0.0,649,11,649.0,11.0
Ben Osborn,1.0,1.0,0.0,945,13,945.0,13.0
Benjamin Mendy,1.0,1.0,0.0,405,5,405.0,5.0
Caglar Söyüncü,1.0,1.0,0.0,688,9,688.0,9.0
Cheikhou Kouyaté,1.0,1.0,0.0,1592,18,1592.0,18.0
Christian Pulisic,1.0,1.0,0.0,999,16,999.0,16.0
Ciaran Clark,1.0,1.0,0.0,994,12,994.0,12.0
Conor Coady,1.0,1.0,0.0,1800,20,1800.0,20.0
