player,goal_involvement(goals + assists),goals,assists,minutes_played,games_played,minutes_per_goal_involvement,games_per_goal_involvement
John McGinn,4.0,1.0,3.0,1530,17,382.5,4.2
Marc Albrighton,4.0,1.0,3.0,738,16,184.5,4.0
Pierre-Emile Höjbjerg,4.0,1.0,3.0,1800,20,450.0,5.0
Youri Tielemans,4.0,1.0,3.0,1741,20,435.2,5.0
Billy Sharp,3.0,3.0,0.0,388,7,129.3,2.3
Diogo Jota,3.0,3.0,0.0,680,10,226.7,3.3
Joe Willock,3.0,3.0,0.0,724,11,241.3,3.7
John Stones,3.0,3.0,0.0,1124,13,374.7,4.3
Miguel Almirón,3.0,3.0,0.0,1111,14,370.3,4.7
Olivier Giroud,3.0,3.0,0.0,476,11,158.7,3.7
Sébastien Haller,3.0,3.0,0.0,507,8,169.0,2.7
Aaron Connolly,3.0,2.0,1.0,451,9,150.3,3.0
Ayoze Pérez,3.0,2.0,1.0,766,14,255.3,4.7
Bobby Reid,3.0,2.0,1.0,1217,17,405.7,5.7
Conor Gallagher,3.0,2.0,1.0,1284,16,428.0,5.3
Daniel James,3.0,2.0,1.0,364,8,121.3,2.7
Ezgjan Alioski,3.0,2.0,1.0,1255,19,418.3,6.3
Gabriel Martinelli,3.0,2.0,1.0,413,8,137.7,2.7
Harry Maguire,3.0,2.0,1.0,1608,18,536.0,6.0
Kyle Bartley,3.0,2.0,1.0,1165,13,388.3,4.3
Matej Vydra,3.0,2.0,1.0,665,12,221.7,4.0
Matt Phillips,3.0,2.0,1.0,809,16,269.7,5.3
Tanguy Ndombélé,3.0,2.0,1.0,1170,18,390.0,6.0
Abdoulaye Doucouré,3.0,1.0,2.0,1336,16,445.3,5.3
Callum Hudson-Odoi,3.0,1.0,2.0,673,14,224.3,4.7
Emile Smith Rowe,3.0,1.0,2.0,907,11,302.3,3.7
Jay Rodríguez,3.0,1.0,2.0,604,13,201.3,4.3
Joel Matip,3.0,1.0,2.0,375,5,125.0,1.7
Joelinton,3.0,1.0,2.0,902,14,300.7,4.7
Kieran Tierney,3.0,1.0,2.0,1095,13,365.0,4.3
Mbaye Diagne,3.0,1.0,2.0,715,9,238.3,3.0
Rodri,3.0,1.0,2.0,1453,18,484.3,6.0
Serge Aurier,3.0,1.0,2.0,599,7,199.7,2.3
Steven Bergwijn,3.0,1.0,2.0,474,11,158.0,3.7
Trent Alexander-Arnold,3.0,1.0,2.0,1531,19,510.3,6.3
Andrew Robertson,3.0,0.0,3.0,1800,20,600.0,6.7
Luke Shaw,3.0,0.0,3.0,1268,16,422.7,5.3
Ademola Lookman,2.0,2.0,0.0,1241,16,620.5,8.0
Angelo Ogbonna,2.0,2.0,0.0,1503,17,751.5,8.5
Ashley Barnes,2.0,2.0,0.0,685,11,342.5,5.5
Ben Mee,2.0,2.0,0.0,1164,13,582.0,6.5
Declan Rice,2.0,2.0,0.0,1530,17,765.0,8.5
Ezri Konsa,2.0,2.0,0.0,1395,16,697.5,8.0
Gabriel,2.0,2.0,0.0,1097,13,548.5,6.5
Issa Diop,2.0,2.0,0.0,569,9,284.5,4.5
Jairo Riedewald,2.0,2.0,0.0,998,16,499.0,8.0
Jamaal Lascelles,2.0,2.0,0.0,718,8,359.0,4.0
Jannik Vestergaard,2.0,2.0,0.0,1395,16,697.5,8.0
Jayden Bogle,2.0,2.0,0.0,593,9,296.5,4.5
Jóhann Berg Gudmundsson,2.0,2.0,0.0,659,10,329.5,5.0
Michael Keane,2.0,2.0,0.0,1630,19,815.0,9.5
Ola Aina,2.0,2.0,0.0,1262,15,631.0,7.5
Sergio Agüero,2.0,2.0,0.0,225,5,112.5,2.5
Takumi Minamino,2.0,2.0,0.0,754,12,377.0,6.0
Trezeguet,2.0,2.0,0.0,540,10,270.0,5.0
Alex Iwobi,2.0,1.0,1.0,843,16,421.5,8.0
Alex Oxlade-Chamberlain,2.0,1.0,1.0,183,9,91.5,4.5
Benjamin Mendy,2.0,1.0,1.0,550,8,275.0,4.0
Conor Hourihane,2.0,1.0,1.0,154,3,77.0,1.5
César Azpilicueta,2.0,1.0,1.0,1129,14,564.5,7.0
Darnell Furlong,2.0,1.0,1.0,1357,16,678.5,8.0
Dennis Praet,2.0,1.0,1.0,438,9,219.0,4.5
Donny van de Beek,2.0,1.0,1.0,321,13,160.5,6.5
Eddie Nketiah,2.0,1.0,1.0,188,8,94.0,4.0
Gary Cahill,2.0,1.0,1.0,810,9,405.0,4.5
Jonjo Shelvey,2.0,1.0,1.0,1332,15,666.0,7.5
Jordan Henderson,2.0,1.0,1.0,756,9,378.0,4.5
Joël Veltman,2.0,1.0,1.0,1175,15,587.5,7.5
Juan Mata,2.0,1.0,1.0,253,5,126.5,2.5
Keinan Davis,2.0,1.0,1.0,96,8,48.0,4.0
Kyle Walker,2.0,1.0,1.0,943,12,471.5,6.0
Matthew Lowton,2.0,1.0,1.0,1350,15,675.0,7.5
Nathan Tella,2.0,1.0,1.0,193,5,96.5,2.5
Oriol Romeu,2.0,1.0,1.0,985,11,492.5,5.5
Reece James,2.0,1.0,1.0,1126,16,563.0,8.0
Tyler Roberts,2.0,1.0,1.0,716,15,358.0,7.5
Tyrick Mitchell,2.0,1.0,1.0,720,8,360.0,4.0
Willy Boly,2.0,1.0,1.0,810,9,405.0,4.5
Andros Townsend,2.0,0.0,2.0,1019,16,509.5,8.0
Héctor Bellerín,2.0,0.0,2.0,1096,13,548.0,6.5
Jordan Ayew,2.0,0.0,2.0,930,14,465.0,7.0
Martin Ødegaard,2.0,0.0,2.0,284,5,142.0,2.5
Michy Batshuayi,2.0,0.0,2.0,611,11,305.5,5.5
Wilfred Ndidi,2.0,0.0,2.0,1154,14,577.0,7.0
Alexis Mac Allister,1.0,1.0,0.0,451,9,451.0,9.0
Alisson,1.0,1.0,0.0,1440,16,1440.0,16.0
Callum Robinson,1.0,1.0,0.0,637,14,637.0,14.0
Craig Dawson,1.0,1.0,0.0,1116,13,1116.0,13.0
Curtis Jones,1.0,1.0,0.0,561,12,561.0,12.0
Daniel Podence,1.0,1.0,0.0,927,13,927.0,13.0
Dwight Gayle,1.0,1.0,0.0,308,9,308.0,9.0
Fabian Schär,1.0,1.0,0.0,601,9,601.0,9.0
Georginio Wijnaldum,1.0,1.0,0.0,1515,20,1515.0,20.0
Ivan Cavaleiro,1.0,1.0,0.0,973,16,973.0,16.0
Jeffrey Schlupp,1.0,1.0,0.0,821,13,821.0,13.0
Kalvin Phillips,1.0,1.0,0.0,1123,13,1123.0,13.0
Karlan Grant,1.0,1.0,0.0,607,10,607.0,10.0
Luka Milivojevic,1.0,1.0,0.0,1143,15,1143.0,15.0
Marcos Alonso,1.0,1.0,0.0,599,9,599.0,9.0
Mohamed Elneny,1.0,1.0,0.0,920,13,920.0,13.0
Moussa Djenepo,1.0,1.0,0.0,433,13,433.0,13.0
Nathaniel Phillips,1.0,1.0,0.0,990,11,990.0,11.0
Rayan Aït Nouri,1.0,1.0,0.0,799,11,799.0,11.0
Raúl Jiménez,1.0,1.0,0.0,450,5,450.0,5.0
Romain Saïss,1.0,1.0,0.0,1238,14,1238.0,14.0
Ross Barkley,1.0,1.0,0.0,608,11,608.0,11.0
Ryan Fredericks,1.0,1.0,0.0,340,8,340.0,8.0
Scott McTominay,1.0,1.0,0.0,703,15,703.0,15.0
Semi Ajayi,1.0,1.0,0.0,1115,14,1115.0,14.0
Solly March,1.0,1.0,0.0,778,9,778.0,9.0
Thiago,1.0,1.0,0.0,887,12,887.0,12.0
Thiago Silva,1.0,1.0,0.0,912,11,912.0,11.0
Tom Cairney,1.0,1.0,0.0,515,6,515.0,6.0
Willian José,1.0,1.0,0.0,605,8,605.0,8.0
Yerry Mina,1.0,1.0,0.0,1138,13,1138.0,13.0
Adam Lallana,1.0,0.0,1.0,863,15,863.0,15.0
Granit Xhaka,1.0,0.0,1.0,1319,17,1319.0,17.0
Jan Bednarek,1.0,0.0,1.0,1395,17,1395.0,17.0
Joachim Andersen,1.0,0.0,1.0,1142,13,1142.0,13.0
Manuel Lanzini,1.0,0.0,1.0,423,10,423.0,10.0
Nélson Semedo,1.0,0.0,1.0,1391,16,1391.0,16.0
Robbie Brady,1.0,0.0,1.0,480,9,480.0,9.0
Tariq Lamptey,1.0,0.0,1.0,586,7,586.0,7.0
Victor Lindelöf,1.0,0.0,1.0,1170,13,1170.0,13.0
