match_day,date,venue,player,team,opponent,opponent_position,result,goals,assists,minutes_played
38,5/23/21,H,Romelu Lukaku,Inter Milan,Udinese Calcio,13,5:1,1,,33'
2,9/26/20,A,Luis Muriel,Atalanta BC,Torino,17,2:4,1,1,64'
1,9/30/20,A,Luis Muriel,Atalanta BC,Lazio,6,1:4,,,8'
3,10/4/20,H,Luis Muriel,Atalanta BC,Cagliari Calcio,16,5:2,1,,74'
4,10/17/20,A,Luis Muriel,Atalanta BC,SSC Napoli,5,4:1,,,9'
6,10/31/20,A,Luis Muriel,Atalanta BC,Crotone,19,1:2,2,,45'
7,11/8/20,H,Luis Muriel,Atalanta BC,Inter,1,1:1,,1,17'
9,11/28/20,H,Luis Muriel,Atalanta BC,Hellas Verona,10,0:2,,,28'
11,12/13/20,H,Luis Muriel,Atalanta BC,Fiorentina,14,3:0,,,16'
12,12/16/20,A,Luis Muriel,Atalanta BC,Juventus,4,1:1,,,19'
13,12/20/20,H,Luis Muriel,Atalanta BC,AS Roma,7,4:1,1,,19'
14,12/23/20,A,Luis Muriel,Atalanta BC,Bologna,12,2:2,2,,65'
15,1/3/21,H,Luis Muriel,Atalanta BC,Sassuolo,8,5:1,1,,28'
16,1/6/21,H,Luis Muriel,Atalanta BC,Parma,20,3:0,1,,45'
17,1/9/21,A,Luis Muriel,Atalanta BC,Benevento,18,1:4,1,,17'
18,1/17/21,H,Luis Muriel,Atalanta BC,Genoa,11,0:0,,,33'
10,1/20/21,A,Luis Muriel,Atalanta BC,Udinese Calcio,13,1:1,1,,58'
19,1/23/21,A,Luis Muriel,Atalanta BC,AC Milan,2,0:3,,,8'
20,1/31/21,H,Luis Muriel,Atalanta BC,Lazio,6,1:3,,1,36'
21,2/6/21,H,Luis Muriel,Atalanta BC,Torino,17,3:3,1,1,58'
22,2/14/21,A,Luis Muriel,Atalanta BC,Cagliari Calcio,16,0:1,1,,22'
23,2/21/21,H,Luis Muriel,Atalanta BC,SSC Napoli,5,4:2,1,1,84'
24,2/28/21,A,Luis Muriel,Atalanta BC,Sampdoria,9,0:2,,1,59'
25,3/3/21,H,Luis Muriel,Atalanta BC,Crotone,19,5:1,1,1,69'
26,3/8/21,A,Luis Muriel,Atalanta BC,Inter,1,1:0,,,20'
27,3/12/21,H,Luis Muriel,Atalanta BC,Spezia Calcio,15,3:1,1,,66'
28,3/21/21,A,Luis Muriel,Atalanta BC,Hellas Verona,10,0:2,,,13'
29,4/3/21,H,Luis Muriel,Atalanta BC,Udinese Calcio,13,3:2,2,,45'
30,4/11/21,A,Luis Muriel,Atalanta BC,Fiorentina,14,2:3,,,63'
31,4/18/21,H,Luis Muriel,Atalanta BC,Juventus,4,1:0,,,68'
32,4/22/21,A,Luis Muriel,Atalanta BC,AS Roma,7,1:1,,,31'
33,4/25/21,H,Luis Muriel,Atalanta BC,Bologna,12,5:0,1,1,61'
