match_day,date,venue,player,team,opponent,opponent_position,result,goals,assists,minutes_played
4,10/17/20,A,Erling Haaland,Borussia Dortmund,TSG Hoffenheim,11,0:1,,1,26'
5,10/24/20,H,Erling Haaland,Borussia Dortmund,FC Schalke 04,18,3:0,1,,90'
7,11/7/20,H,Erling Haaland,Borussia Dortmund,FC Bayern,1,2:3,1,,90'
8,11/21/20,A,Erling Haaland,Borussia Dortmund,Hertha BSC,14,2:5,4,,85'
9,11/28/20,H,Erling Haaland,Borussia Dortmund,1. FC Köln,16,1:2,,,90'
14,1/3/21,H,Erling Haaland,Borussia Dortmund,VfL Wolfsburg,4,2:0,,,81'
15,1/9/21,A,Erling Haaland,Borussia Dortmund,RB Leipzig,2,1:3,2,,90'
16,1/16/21,H,Erling Haaland,Borussia Dortmund,1.FSV Mainz 05,12,1:1,,,90'
17,1/19/21,A,Erling Haaland,Borussia Dortmund,Bay. Leverkusen,6,2:1,,,90'
18,1/22/21,A,Erling Haaland,Borussia Dortmund,Bor. M'gladbach,8,4:2,2,,90'
19,1/30/21,H,Erling Haaland,Borussia Dortmund,FC Augsburg,13,3:1,,1,90'
20,2/6/21,A,Erling Haaland,Borussia Dortmund,SC Freiburg,10,2:1,,1,90'
21,2/13/21,H,Erling Haaland,Borussia Dortmund,TSG Hoffenheim,11,2:2,1,,90'
22,2/20/21,A,Erling Haaland,Borussia Dortmund,FC Schalke 04,18,0:4,2,,90'
23,2/27/21,H,Erling Haaland,Borussia Dortmund,Arm. Bielefeld,15,3:0,,1,90'
24,3/6/21,A,Erling Haaland,Borussia Dortmund,FC Bayern,1,4:2,2,,60'
25,3/13/21,H,Erling Haaland,Borussia Dortmund,Hertha BSC,14,2:0,,,90'
26,3/20/21,A,Erling Haaland,Borussia Dortmund,1. FC Köln,16,2:2,2,,90'
27,4/3/21,H,Erling Haaland,Borussia Dortmund,E. Frankfurt,5,1:2,,,90'
28,4/10/21,A,Erling Haaland,Borussia Dortmund,VfB Stuttgart,9,2:3,,1,90'
29,4/18/21,H,Erling Haaland,Borussia Dortmund,Werder Bremen,17,4:1,2,,88'
30,4/21/21,H,Erling Haaland,Borussia Dortmund,Union Berlin,7,2:0,,1,90'
31,4/24/21,A,Erling Haaland,Borussia Dortmund,VfL Wolfsburg,4,0:2,2,,90'
33,5/16/21,A,Erling Haaland,Borussia Dortmund,1.FSV Mainz 05,12,1:3,,1,90'
34,5/22/21,H,Erling Haaland,Borussia Dortmund,Bay. Leverkusen,6,3:1,2,,90'
1,9/20/20,H,Wout Weghorst,VfL Wolfsburg,Bay. Leverkusen,6,0:0,,,90'
2,9/27/20,A,Wout Weghorst,VfL Wolfsburg,SC Freiburg,10,1:1,,,13'
3,10/4/20,H,Wout Weghorst,VfL Wolfsburg,FC Augsburg,13,0:0,,,90'
4,10/17/20,A,Wout Weghorst,VfL Wolfsburg,Bor. M'gladbach,8,1:1,1,,90'
