player,team,team_position,opponent,opponent_position,goals,assists
Luis Suárez,Real Sociedad,5,Real Sociedad,5,,
Luis Suárez,Getafe,15,Getafe,15,1,
Luis Suárez,Alavés,16,Alavés,16,1,1
Luis Suárez,Sevilla FC,4,Sevilla FC,4,,
Luis Suárez,SD Eibar,20,SD Eibar,20,2,
Luis Suárez,Valencia,13,Valencia,13,1,
Luis Suárez,Cádiz CF,12,Cádiz CF,12,2,
Luis Suárez,Celta de Vigo,8,Celta de Vigo,8,2,
Luis Suárez,Granada CF,9,Granada CF,9,,
Luis Suárez,Levante,14,Levante,14,,
Luis Suárez,Levante,14,Levante,14,,
Luis Suárez,Villarreal,7,Villarreal,7,,
Luis Suárez,Real Madrid,2,Real Madrid,2,1,
Luis Suárez,Athletic,10,Athletic,10,1,
Luis Suárez,Getafe,15,Getafe,15,,
Luis Suárez,Alavés,16,Alavés,16,1,
Luis Suárez,Sevilla FC,4,Sevilla FC,4,,
Luis Suárez,Athletic,10,Athletic,10,,
Luis Suárez,Elche CF,17,Elche CF,17,,
Luis Suárez,FC Barcelona,3,FC Barcelona,3,,
Luis Suárez,Real Sociedad,5,Real Sociedad,5,,1
Luis Suárez,CA Osasuna,11,CA Osasuna,11,1,
Luis Suárez,Real Valladolid,19,Real Valladolid,19,1,
Youssef En-Nesyri,Cádiz CF,12,Cádiz CF,12,,
Youssef En-Nesyri,Levante,14,Levante,14,1,
Youssef En-Nesyri,FC Barcelona,3,FC Barcelona,3,,
Youssef En-Nesyri,Granada CF,9,Granada CF,9,,
Youssef En-Nesyri,SD Eibar,20,SD Eibar,20,,
Youssef En-Nesyri,Athletic,10,Athletic,10,1,
Youssef En-Nesyri,CA Osasuna,11,CA Osasuna,11,,
Youssef En-Nesyri,Celta de Vigo,8,Celta de Vigo,8,1,
Youssef En-Nesyri,SD Huesca,18,SD Huesca,18,1,
Youssef En-Nesyri,Real Madrid,2,Real Madrid,2,,
Youssef En-Nesyri,Getafe,15,Getafe,15,,
Youssef En-Nesyri,Real Valladolid,19,Real Valladolid,19,,
Youssef En-Nesyri,Valencia,13,Valencia,13,,
Youssef En-Nesyri,Villarreal,7,Villarreal,7,1,
Youssef En-Nesyri,Real Betis,6,Real Betis,6,,
Youssef En-Nesyri,Real Sociedad,5,Real Sociedad,5,3,
Youssef En-Nesyri,Atlético Madrid,1,Atlético Madrid,1,,
Youssef En-Nesyri,Alavés,16,Alavés,16,1,
Youssef En-Nesyri,Cádiz CF,12,Cádiz CF,12,3,
Youssef En-Nesyri,SD Eibar,20,SD Eibar,20,,
Youssef En-Nesyri,Getafe,15,Getafe,15,1,
Youssef En-Nesyri,SD Huesca,18,SD Huesca,18,,
Youssef En-Nesyri,CA Osasuna,11,CA Osasuna,11,,
Youssef En-Nesyri,FC Barcelona,3,FC Barcelona,3,,
Youssef En-Nesyri,Elche CF,17,Elche CF,17,,
Youssef En-Nesyri,Real Betis,6,Real Betis,6,1,
Youssef En-Nesyri,Elche CF,17,Elche CF,17,1,
Youssef En-Nesyri,Real Valladolid,19,Real Valladolid,19,,
Youssef En-Nesyri,Atlético Madrid,1,Atlético Madrid,1,,
Youssef En-Nesyri,Celta de Vigo,8,Celta de Vigo,8,,
Youssef En-Nesyri,Real Sociedad,5,Real Sociedad,5,1,
Youssef En-Nesyri,Levante,14,Levante,14,1,
Youssef En-Nesyri,Granada CF,9,Granada CF,9,,
Youssef En-Nesyri,Athletic,10,Athletic,10,,
Youssef En-Nesyri,Real Madrid,2,Real Madrid,2,,
Youssef En-Nesyri,Valencia,13,Valencia,13,1,
Youssef En-Nesyri,Villarreal,7,Villarreal,7,,
Youssef En-Nesyri,Alavés,16,Alavés,16,,
Alexander Isak,Real Valladolid,19,Real Valladolid,19,,
Alexander Isak,Real Madrid,2,Real Madrid,2,,
Alexander Isak,Elche CF,17,Elche CF,17,,
Alexander Isak,Valencia,13,Valencia,13,,
Alexander Isak,Getafe,15,Getafe,15,,
Alexander Isak,Real Betis,6,Real Betis,6,,1
Alexander Isak,SD Huesca,18,SD Huesca,18,1,
Alexander Isak,Cádiz CF,12,Cádiz CF,12,1,
Alexander Isak,Alavés,16,Alavés,16,,
Alexander Isak,SD Eibar,20,SD Eibar,20,,
Alexander Isak,FC Barcelona,3,FC Barcelona,3,,
Alexander Isak,Levante,14,Levante,14,1,
Alexander Isak,Atlético Madrid,1,Atlético Madrid,1,,
Alexander Isak,Athletic,10,Athletic,10,,
Alexander Isak,Sevilla FC,4,Sevilla FC,4,1,
Alexander Isak,Real Betis,6,Real Betis,6,1,1
Alexander Isak,Villarreal,7,Villarreal,7,1,
Alexander Isak,Cádiz CF,12,Cádiz CF,12,2,
Alexander Isak,Getafe,15,Getafe,15,1,
Alexander Isak,Alavés,16,Alavés,16,3,
Alexander Isak,Real Madrid,2,Real Madrid,2,,
Alexander Isak,Levante,14,Levante,14,,
Alexander Isak,Granada CF,9,Granada CF,9,,
Alexander Isak,FC Barcelona,3,FC Barcelona,3,,
Alexander Isak,Athletic,10,Athletic,10,,
Alexander Isak,Valencia,13,Valencia,13,1,
