match_day,date,venue,player,team,opponent,opponent_position,result,goals,assists,minutes_played
3,9/27/20,A,Gerard Moreno,Villarreal CF,Barcelona,3,4:0,,,84'
4,9/30/20,H,Gerard Moreno,Villarreal CF,Alavés,16,3:1,1,,83'
5,10/3/20,A,Gerard Moreno,Villarreal CF,Atlético Madrid,1,0:0,,,90'
8,11/2/20,H,Gerard Moreno,Villarreal CF,Real Valladolid,19,2:0,,,83'
9,11/8/20,A,Gerard Moreno,Villarreal CF,Getafe,15,1:3,1,,86'
10,11/21/20,H,Gerard Moreno,Villarreal CF,Real Madrid,2,1:1,1,,90'
11,11/29/20,A,Gerard Moreno,Villarreal CF,Real Sociedad,5,1:1,1,,90'
12,12/6/20,H,Gerard Moreno,Villarreal CF,Elche CF,17,0:0,,,90'
13,12/13/20,A,Gerard Moreno,Villarreal CF,Real Betis,6,1:1,,,90'
14,12/19/20,A,Gerard Moreno,Villarreal CF,CA Osasuna,11,1:3,2,,89'
15,12/22/20,H,Gerard Moreno,Villarreal CF,Athletic,10,1:1,,,90'
16,12/29/20,A,Gerard Moreno,Villarreal CF,Sevilla FC,4,2:0,,,90'
17,1/2/21,H,Gerard Moreno,Villarreal CF,Levante,14,2:1,1,,90'
18,1/8/21,A,Gerard Moreno,Villarreal CF,Celta de Vigo,8,0:4,1,1,90'
22,2/6/21,A,Gerard Moreno,Villarreal CF,Elche CF,17,2:2,2,,50'
23,2/14/21,H,Gerard Moreno,Villarreal CF,Real Betis,6,1:2,1,,90'
24,2/21/21,A,Gerard Moreno,Villarreal CF,Athletic,10,1:1,1,,90'
25,2/28/21,H,Gerard Moreno,Villarreal CF,Atlético Madrid,1,0:2,,,90'
26,3/5/21,A,Gerard Moreno,Villarreal CF,Valencia,13,2:1,1,,90'
27,3/14/21,A,Gerard Moreno,Villarreal CF,SD Eibar,20,1:3,,2,90'
28,3/21/21,H,Gerard Moreno,Villarreal CF,Cádiz CF,12,2:1,1,1,90'
29,4/3/21,A,Gerard Moreno,Villarreal CF,Granada CF,9,0:3,3,,63'
30,4/11/21,H,Gerard Moreno,Villarreal CF,CA Osasuna,11,1:2,,,45'
33,4/18/21,A,Gerard Moreno,Villarreal CF,Levante,14,1:5,1,,73'
31,4/21/21,A,Gerard Moreno,Villarreal CF,Alavés,16,2:1,,,90'
32,4/25/21,H,Gerard Moreno,Villarreal CF,Barcelona,3,1:2,,,90'
34,5/2/21,H,Gerard Moreno,Villarreal CF,Getafe,15,1:0,,,28'
35,5/9/21,H,Gerard Moreno,Villarreal CF,Celta de Vigo,8,2:4,1,,36'
36,5/13/21,A,Gerard Moreno,Villarreal CF,Real Valladolid,19,0:2,1,,90'
37,5/16/21,H,Gerard Moreno,Villarreal CF,Sevilla FC,4,4:0,1,1,81'
38,5/22/21,A,Gerard Moreno,Villarreal CF,Real Madrid,2,2:1,,1,81'
3,9/27/20,H,Luis Suárez,Atlético de Madrid,Granada CF,9,6:1,2,1,20'
4,9/30/20,A,Luis Suárez,Atlético de Madrid,SD Huesca,18,0:0,,,62'
5,10/3/20,H,Luis Suárez,Atlético de Madrid,Villarreal,7,0:0,,,70'
6,10/17/20,A,Luis Suárez,Atlético de Madrid,Celta de Vigo,8,0:2,1,,64'
7,10/24/20,H,Luis Suárez,Atlético de Madrid,Real Betis,6,2:0,1,,90'
9,11/7/20,H,Luis Suárez,Atlético de Madrid,Cádiz CF,12,4:0,1,,71'
12,12/5/20,H,Luis Suárez,Atlético de Madrid,Real Valladolid,19,2:0,,,63'
13,12/12/20,A,Luis Suárez,Atlético de Madrid,Real Madrid,2,2:0,,,73'
14,12/19/20,H,Luis Suárez,Atlético de Madrid,Elche CF,17,3:1,2,,74'
15,12/22/20,A,Luis Suárez,Atlético de Madrid,Real Sociedad,5,0:2,,,87'
16,12/30/20,H,Luis Suárez,Atlético de Madrid,Getafe,15,1:0,1,,80'
17,1/3/21,A,Luis Suárez,Atlético de Madrid,Alavés,16,1:2,1,1,90'
1,1/12/21,H,Luis Suárez,Atlético de Madrid,Sevilla FC,4,2:0,,,82'
19,1/21/21,A,Luis Suárez,Atlético de Madrid,SD Eibar,20,1:2,2,,90'
20,1/24/21,H,Luis Suárez,Atlético de Madrid,Valencia,13,3:1,1,,90'
21,1/31/21,A,Luis Suárez,Atlético de Madrid,Cádiz CF,12,2:4,2,,84'
22,2/8/21,H,Luis Suárez,Atlético de Madrid,Celta de Vigo,8,2:2,2,,90'
23,2/13/21,A,Luis Suárez,Atlético de Madrid,Granada CF,9,1:2,,,90'
2,2/17/21,A,Luis Suárez,Atlético de Madrid,Levante,14,1:1,,,90'
24,2/20/21,H,Luis Suárez,Atlético de Madrid,Levante,14,0:2,,,90'
25,2/28/21,A,Luis Suárez,Atlético de Madrid,Villarreal,7,0:2,,,76'
26,3/7/21,H,Luis Suárez,Atlético de Madrid,Real Madrid,2,1:1,1,,90'
18,3/10/21,H,Luis Suárez,Atlético de Madrid,Athletic,10,2:1,1,,72'
27,3/13/21,A,Luis Suárez,Atlético de Madrid,Getafe,15,0:0,,,90'
28,3/21/21,H,Luis Suárez,Atlético de Madrid,Alavés,16,1:0,1,,90'
29,4/4/21,A,Luis Suárez,Atlético de Madrid,Sevilla FC,4,1:0,,,90'
32,4/25/21,A,Luis Suárez,Atlético de Madrid,Athletic,10,2:1,,,31'
34,5/1/21,A,Luis Suárez,Atlético de Madrid,Elche CF,17,0:1,,,82'
35,5/8/21,A,Luis Suárez,Atlético de Madrid,Barcelona,3,0:0,,,90'
36,5/12/21,H,Luis Suárez,Atlético de Madrid,Real Sociedad,5,2:1,,1,81'
37,5/16/21,H,Luis Suárez,Atlético de Madrid,CA Osasuna,11,2:1,1,,90'
38,5/22/21,A,Luis Suárez,Atlético de Madrid,Real Valladolid,19,1:2,1,,90'
3,9/27/20,A,Youssef En-Nesyri,Sevilla FC,Cádiz CF,12,1:3,,,61'
4,10/1/20,H,Youssef En-Nesyri,Sevilla FC,Levante,14,1:0,1,,19'
5,10/4/20,A,Youssef En-Nesyri,Sevilla FC,Barcelona,3,1:1,,,29'
6,10/17/20,A,Youssef En-Nesyri,Sevilla FC,Granada CF,9,1:0,,,20'
7,10/24/20,H,Youssef En-Nesyri,Sevilla FC,SD Eibar,20,0:1,,,70'
8,10/31/20,A,Youssef En-Nesyri,Sevilla FC,Athletic,10,2:1,1,,63'
9,11/7/20,H,Youssef En-Nesyri,Sevilla FC,CA Osasuna,11,1:0,,,89'
10,11/21/20,H,Youssef En-Nesyri,Sevilla FC,Celta de Vigo,8,4:2,1,,68'
11,11/28/20,A,Youssef En-Nesyri,Sevilla FC,SD Huesca,18,0:1,1,,16'
12,12/5/20,H,Youssef En-Nesyri,Sevilla FC,Real Madrid,2,0:1,,,26'
13,12/12/20,A,Youssef En-Nesyri,Sevilla FC,Getafe,15,0:1,,,84'
14,12/19/20,H,Youssef En-Nesyri,Sevilla FC,Real Valladolid,19,1:1,,,90'
15,12/22/20,A,Youssef En-Nesyri,Sevilla FC,Valencia,13,0:1,,,31'
16,12/29/20,H,Youssef En-Nesyri,Sevilla FC,Villarreal,7,2:0,1,,88'
17,1/2/21,A,Youssef En-Nesyri,Sevilla FC,Real Betis,6,1:1,,,45'
18,1/9/21,H,Youssef En-Nesyri,Sevilla FC,Real Sociedad,5,3:2,3,,89'
1,1/12/21,A,Youssef En-Nesyri,Sevilla FC,Atlético Madrid,1,2:0,,,84'
19,1/19/21,A,Youssef En-Nesyri,Sevilla FC,Alavés,16,1:2,1,,90'
20,1/23/21,H,Youssef En-Nesyri,Sevilla FC,Cádiz CF,12,3:0,3,,90'
21,1/30/21,A,Youssef En-Nesyri,Sevilla FC,SD Eibar,20,0:2,,,90'
22,2/6/21,H,Youssef En-Nesyri,Sevilla FC,Getafe,15,3:0,1,,90'
23,2/13/21,H,Youssef En-Nesyri,Sevilla FC,SD Huesca,18,1:0,,,25'
24,2/22/21,A,Youssef En-Nesyri,Sevilla FC,CA Osasuna,11,0:2,,,10'
25,2/27/21,H,Youssef En-Nesyri,Sevilla FC,Barcelona,3,0:2,,,45'
26,3/6/21,A,Youssef En-Nesyri,Sevilla FC,Elche CF,17,2:1,,,14'
27,3/14/21,H,Youssef En-Nesyri,Sevilla FC,Real Betis,6,1:0,1,,86'
2,3/17/21,H,Youssef En-Nesyri,Sevilla FC,Elche CF,17,2:0,1,,87'
28,3/20/21,A,Youssef En-Nesyri,Sevilla FC,Real Valladolid,19,1:1,,,90'
29,4/4/21,H,Youssef En-Nesyri,Sevilla FC,Atlético Madrid,1,1:0,,,27'
30,4/12/21,A,Youssef En-Nesyri,Sevilla FC,Celta de Vigo,8,3:4,,,64'
33,4/18/21,A,Youssef En-Nesyri,Sevilla FC,Real Sociedad,5,1:2,1,,90'
31,4/21/21,A,Youssef En-Nesyri,Sevilla FC,Levante,14,0:1,1,,86'
32,4/25/21,H,Youssef En-Nesyri,Sevilla FC,Granada CF,9,2:1,,,31'
34,5/3/21,H,Youssef En-Nesyri,Sevilla FC,Athletic,10,0:1,,,81'
35,5/9/21,A,Youssef En-Nesyri,Sevilla FC,Real Madrid,2,2:2,,,34'
36,5/12/21,H,Youssef En-Nesyri,Sevilla FC,Valencia,13,1:0,1,,90'
37,5/16/21,A,Youssef En-Nesyri,Sevilla FC,Villarreal,7,4:0,,,32'
38,5/23/21,H,Youssef En-Nesyri,Sevilla FC,Alavés,16,1:0,,,90'
1,9/13/20,A,Alexander Isak,Real Sociedad,Real Valladolid,19,1:1,,,77'
2,9/20/20,H,Alexander Isak,Real Sociedad,Real Madrid,2,0:0,,,62'
