league,player,team_venue_goal_number,opponent_current_position,opponent_final_position,final_score,minute,current_score,goal_type
Serie A,Matteo Politano,Atalanta BC_H_1,1,3,4:1,30',3:0,Left-footed shot
Serie A,Matteo Politano,AS Roma_H_1,3,7,4:0,86',4:0,Left-footed shot
Serie A,Matteo Politano,Fiorentina_H_1,12,14,6:0,89',6:0,Solo run
Serie A,Matteo Politano,Parma_H_1,19,20,2:0,82',2:0,Left-footed shot
Serie A,Matteo Politano,Genoa_A_1,14,11,2:1,79',2:1,Left-footed shot
Serie A,Matteo Politano,Benevento_H_1,12,18,2:0,66',2:0,Tap-in
Serie A,Matteo Politano,AC Milan_A_1,2,2,0:1,49',0:1,Right-footed shot
Serie A,Matteo Politano,Lazio_H_1,6,6,5:2,12',2:0,Left-footed shot
Serie A,Junior Messias,Cagliari Calcio_A_1,15,16,4:2,21',0:1,Left-footed shot
Serie A,Junior Messias,Spezia Calcio_H_1,15,15,4:1,7',1:0,Counter attack goal
Serie A,Junior Messias,Parma_H_1,15,20,2:1,24',1:0,Right-footed shot
Serie A,Junior Messias,Hellas Verona_A_1,9,10,2:1,55',2:1,
Serie A,Junior Messias,Bologna_H_1,12,12,2:3,32',1:0,Direct free kick
Serie A,Junior Messias,SSC Napoli_A_1,5,5,4:3,59',3:3,Left-footed shot
Serie A,Junior Messias,Hellas Verona_H_1,10,10,2:1,75',2:0,Left-footed shot
Serie A,Luis Alberto,Bologna_H_1,17,12,2:1,54',1:0,Solo run
Serie A,Luis Alberto,SSC Napoli_H_1,4,5,2:0,56',2:0,Right-footed shot
Serie A,Luis Alberto,AC Milan_A_1,1,2,3:2,27',2:1,Penalty rebound
Serie A,Luis Alberto,Parma_A_1,18,20,0:2,55',0:1,Right-footed shot
Serie A,Luis Alberto,AS Roma_H_1,4,7,3:0,23',2:0,Right-footed shot
Serie A,Luis Alberto,Sampdoria_H_1,10,9,1:0,24',1:0,Deflected shot on goal
Serie A,Luis Alberto,Crotone_H_1,20,19,3:2,39',2:1,Right-footed shot
Serie A,Luis Alberto,Genoa_H_1,13,11,4:3,48',3:1,Right-footed shot
Serie A,Ruslan Malinovskyi,Fiorentina_H_1,17,14,3:0,55',2:0,Direct free kick
Serie A,Ruslan Malinovskyi,Sampdoria_A_1,10,9,0:2,40',0:1,Left-footed shot
Serie A,Ruslan Malinovskyi,Hellas Verona_A_1,9,10,0:2,33',0:1,Penalty
Serie A,Ruslan Malinovskyi,Juventus_H_1,3,4,1:0,87',1:0,Left-footed shot
Serie A,Ruslan Malinovskyi,AS Roma_A_1,7,7,1:1,26',0:1,Left-footed shot
Serie A,Ruslan Malinovskyi,Bologna_H_1,11,12,5:0,22',1:0,Left-footed shot
Serie A,Ruslan Malinovskyi,Parma_A_1,19,20,2:5,12',0:1,Left-footed shot
Serie A,Ruslan Malinovskyi,Genoa_A_1,14,11,3:4,26',0:2,Tap-in
Serie A,Piotr Zielinski,Genoa_H_1,3,11,6:0,46',2:0,Right-footed shot
Serie A,Piotr Zielinski,Cagliari Calcio_A_1,15,16,1:4,25',0:1,Left-footed shot
Serie A,Piotr Zielinski,Fiorentina_H_1,12,14,6:0,45',4:0,Right-footed shot
Serie A,Piotr Zielinski,Atalanta BC_A_1,7,3,4:2,58',1:1,Right-footed shot
Serie A,Piotr Zielinski,Sassuolo_A_1,8,8,3:3,38',1:1,Left-footed shot
Serie A,Piotr Zielinski,Spezia Calcio_A_1,16,15,1:4,15',0:1,Right-footed shot
Serie A,Piotr Zielinski,Udinese Calcio_H_1,11,13,5:1,28',1:0,Left-footed shot
Serie A,Musa Barrow,Cagliari Calcio_H_1,12,16,3:2,45',1:1,Right-footed shot
Serie A,Musa Barrow,Spezia Calcio_A_1,16,15,2:2,90'+2,2:2,Right-footed shot
Serie A,Musa Barrow,Parma_A_1,19,20,0:3,15',0:1,Header
Serie A,Musa Barrow,Sampdoria_H_1,10,9,3:1,27',1:0,Header
Serie A,Musa Barrow,Spezia Calcio_H_1,14,15,4:1,18',2:0,Right-footed shot
Serie A,Musa Barrow,Torino_H_1,15,17,1:1,25',1:0,Counter attack goal
Serie A,Sergej Milinković-Savić,Inter_H_1,3,1,1:1,55',1:1,Header
Serie A,Sergej Milinković-Savić,Torino_A_1,16,17,3:4,48',2:2,Direct free kick
Serie A,Sergej Milinković-Savić,Spezia Calcio_A_1,13,15,1:2,33',0:2,Direct free kick
Serie A,Sergej Milinković-Savić,Sassuolo_H_1,8,8,2:1,25',1:1,Header
Serie A,Sergej Milinković-Savić,Inter_A_1,2,1,3:1,61',2:1,Direct free kick
Serie A,Sergej Milinković-Savić,Crotone_H_1,20,19,3:2,14',1:0,Right-footed shot
Serie A,Sergej Milinković-Savić,Hellas Verona_A_1,8,10,0:1,90'+2,0:1,Header
Serie A,Sergej Milinković-Savić,SSC Napoli_A_1,5,5,5:2,74',4:2,Direct free kick
Serie A,Gianluca Lapadula,Bologna_H_1,8,12,1:0,66',1:0,Left-footed shot
Serie A,Gianluca Lapadula,AS Roma_A_1,10,7,5:2,55',2:2,Penalty rebound
Serie A,Gianluca Lapadula,Hellas Verona_A_1,8,10,3:1,56',1:1,Right-footed shot
Serie A,Gianluca Lapadula,Torino_H_1,18,17,2:2,49',2:0,Deflected shot on goal
Serie A,Gianluca Lapadula,Genoa_A_1,13,11,2:2,15',1:2,Left-footed shot
Serie A,Gianluca Lapadula,Udinese Calcio_H_1,12,13,2:4,83',2:4,Right-footed shot
Serie A,Gianluca Lapadula,Cagliari Calcio_H_1,17,16,1:3,16',1:1,Right-footed shot
Serie A,Gianluca Lapadula,Crotone_H_1,19,19,1:1,13',1:0,Right-footed shot
Serie A,Joaquín Correa,Crotone_A_1,20,19,0:2,58',0:2,Left-footed shot
Serie A,Joaquín Correa,Atalanta BC_A_1,5,3,1:3,51',0:2,Left-footed shot
Serie A,Joaquín Correa,Juventus_A_1,3,4,3:1,14',0:1,Solo run
Serie A,Joaquín Correa,Benevento_H_1,16,18,5:3,36',3:0,Penalty
Serie A,Joaquín Correa,AC Milan_H_1,2,2,3:0,2',1:0,Left-footed shot
Serie A,Joaquín Correa,Genoa_H_1,13,11,4:3,30',1:0,Right-footed shot
Serie A,Gianluca Scamacca,Sampdoria_A_1,6,9,1:1,28',1:1,Right-footed shot
Serie A,Gianluca Scamacca,Torino_H_1,16,17,1:2,90'+4,1:2,Right-footed shot
Serie A,Gianluca Scamacca,Parma_A_1,19,20,1:2,50',1:1,Right-footed shot
Serie A,Gianluca Scamacca,Juventus_A_1,3,4,3:1,49',2:1,Header
Serie A,Gianluca Scamacca,Spezia Calcio_H_1,15,15,2:0,62',1:0,Right-footed shot
Serie A,Gianluca Scamacca,Lazio_A_1,6,6,4:3,80',4:2,Penalty
Serie A,Gianluca Scamacca,Bologna_A_1,12,12,0:2,61',0:2,Penalty
Serie A,Eldor Shomurodov,Parma_H_1,17,20,1:2,50',1:2,Right-footed shot
Serie A,Eldor Shomurodov,Sassuolo_A_1,7,8,2:1,64',1:1,Header
Serie A,Eldor Shomurodov,Hellas Verona_H_1,9,10,2:2,48',1:1,Right-footed shot
Serie A,Eldor Shomurodov,Spezia Calcio_H_1,15,15,2:0,86',2:0,Counter attack goal
Serie A,Eldor Shomurodov,Lazio_A_1,6,6,4:3,81',4:3,Left-footed shot
Serie A,Eldor Shomurodov,Atalanta BC_H_1,2,3,3:4,48',1:3,Solo run
Serie A,Eldor Shomurodov,Cagliari Calcio_A_1,16,16,0:1,15',0:1,Counter attack goal
Serie A,Felipe Caicedo,Atalanta BC_H_1,3,3,1:4,57',1:3,Left-footed shot
Serie A,Felipe Caicedo,Torino_A_1,16,17,3:4,90'+8,3:4,Right-footed shot
Serie A,Felipe Caicedo,Juventus_H_1,4,4,1:1,90'+5,1:1,Right-footed shot
Serie A,Felipe Caicedo,Hellas Verona_H_1,8,10,1:2,56',1:1,Left-footed shot
Serie A,Felipe Caicedo,Fiorentina_H_1,14,14,2:1,5',1:0,Right-footed shot
Serie A,Felipe Caicedo,Parma_A_1,18,20,0:2,67',0:2,Left-footed shot
Serie A,Felipe Caicedo,Crotone_H_1,20,19,3:2,84',3:2,Right-footed shot
Serie A,Felipe Caicedo,Spezia Calcio_H_1,15,15,2:1,88',2:1,Penalty
Serie A,Achraf Hakimi,Benevento_A_1,18,18,2:5,42',1:4,Right-footed shot
Serie A,Achraf Hakimi,Bologna_H_1,10,12,3:1,45',2:0,Left-footed shot
Serie A,Achraf Hakimi,Spezia Calcio_H_1,16,15,2:1,51',1:0,Right-footed shot
Serie A,Achraf Hakimi,Crotone_H_1,19,19,6:2,87',6:2,Left-footed shot
Serie A,Achraf Hakimi,AS Roma_A_1,4,7,2:2,63',1:2,Left-footed shot
Serie A,Achraf Hakimi,Crotone_A_1,20,19,0:2,90'+2,0:2,Counter attack goal
Serie A,Alexis Sánchez,Torino_H_1,17,17,4:2,64',1:2,Right-footed shot
Serie A,Alexis Sánchez,Sassuolo_A_1,2,8,0:3,4',0:1,Right-footed shot
Serie A,Alexis Sánchez,Genoa_H_1,11,11,3:0,77',3:0,Header
Serie A,Alexis Sánchez,Parma_A_1,19,20,1:2,54',0:1,Left-footed shot
Serie A,Alexis Sánchez,Sampdoria_H_1,9,9,5:1,26',2:0,Right-footed shot
Serie A,Lorenzo Pellegrini,Bologna_A_1,10,12,1:5,15',0:3,Right-footed shot
Serie A,Lorenzo Pellegrini,Torino_H_1,18,17,3:1,68',3:0,Left-footed shot
Serie A,Lorenzo Pellegrini,Inter_H_1,2,1,2:2,17',1:0,Right-footed shot
Serie A,Lorenzo Pellegrini,Spezia Calcio_H_1,14,15,4:3,90'+2,4:3,Right-footed shot
Serie A,Lorenzo Pellegrini,Sassuolo_A_1,8,8,2:2,26',0:1,Penalty
Serie A,Lorenzo Pellegrini,Crotone_H_1,20,19,5:0,70',2:0,Right-footed shot
Serie A,Theo Hernández,Spezia Calcio_H_1,11,15,3:0,76',2:0,Counter attack goal
Serie A,Theo Hernández,Parma_H_1,16,20,2:2,58',1:2,Header
Serie A,Theo Hernández,Lazio_H_1,8,6,3:2,90'+2,3:2,Header
Serie A,Theo Hernández,Benevento_H_1,17,18,2:0,60',2:0,Left-footed shot
Serie A,Theo Hernández,Torino_A_1,14,17,0:7,19',0:1,Left-footed shot
Serie A,Riccardo Orsolini,Sassuolo_H_1,3,8,3:4,60',3:1,Solo run
Serie A,Riccardo Orsolini,Sampdoria_A_1,11,9,1:2,52',1:2,Header
Serie A,Riccardo Orsolini,Hellas Verona_H_1,9,10,1:0,18',1:0,Penalty
Serie A,Riccardo Orsolini,Parma_A_1,19,20,0:3,90'+2,0:3,Counter attack goal
Serie A,Riccardo Orsolini,Spezia Calcio_H_1,14,15,4:1,12',1:0,Penalty
Serie A,Riccardo Orsolini,Udinese Calcio_A_1,11,13,1:1,82',1:1,Penalty
Serie A,Riccardo Orsolini,Juventus_H_1,5,4,1:4,85',1:4,Right-footed shot
Serie A,Edin Dzeko,Benevento_H_1,8,18,5:2,35',2:1,Right-footed shot
Serie A,Edin Dzeko,AC Milan_A_1,1,2,3:3,14',1:1,Header
Serie A,Edin Dzeko,Bologna_A_1,10,12,1:5,10',0:2,Left-footed shot
Serie A,Edin Dzeko,Atalanta BC_A_1,8,3,4:1,3',0:1,Left-footed shot
Serie A,Edin Dzeko,Cagliari Calcio_H_1,14,16,3:2,71',2:1,Right-footed shot
Serie A,Edin Dzeko,Sampdoria_H_1,11,9,1:0,72',1:0,Right-footed shot
Serie A,Antonin Barak,Benevento_H_1,13,18,3:1,17',1:0,Left-footed shot
Serie A,Antonin Barak,AC Milan_A_1,1,2,2:2,6',0:1,Tap-in
Serie A,Antonin Barak,SSC Napoli_H_1,4,5,3:1,62',2:1,Left-footed shot
Serie A,Antonin Barak,Parma_H_1,19,20,2:1,61',2:1,Header
Serie A,Antonin Barak,Juventus_H_1,3,4,1:1,77',1:1,Header
Serie A,Antonin Barak,Cagliari Calcio_A_1,18,16,0:2,54',0:1,Left-footed shot
Serie A,Hernani,Bologna_A_1,13,12,4:1,67',3:1,Left-footed shot
Serie A,Hernani,Udinese Calcio_A_1,19,13,3:2,26',0:1,Right-footed shot
Serie A,Hernani,AC Milan_A_1,1,2,2:2,13',0:1,Right-footed shot
Serie A,Hernani,Spezia Calcio_A_1,16,15,2:2,25',0:2,Right-footed shot
Serie A,Hernani,Inter_H_1,1,1,1:2,71',1:2,Right-footed shot
Serie A,Hernani,AS Roma_H_1,4,7,2:0,55',2:0,Penalty
Serie A,Hernani,Crotone_H_1,20,19,3:4,29',1:1,Header
Serie A,Goran Pandev,Crotone_H_1,19,19,4:1,9',2:0,Left-footed shot
Serie A,Goran Pandev,SSC Napoli_H_1,6,5,2:1,11',1:0,Left-footed shot
Serie A,Goran Pandev,Udinese Calcio_H_1,11,13,1:1,8',1:0,Left-footed shot
Serie A,Goran Pandev,Benevento_H_1,17,18,2:2,11',1:1,Left-footed shot
Serie A,Goran Pandev,Atalanta BC_H_1,2,3,3:4,67',2:4,Penalty
Serie A,Juraj Kucka,Spezia Calcio_H_1,14,15,2:2,90'+2,2:2,Penalty
Serie A,Juraj Kucka,Crotone_A_1,20,19,2:1,57',2:1,Header
Serie A,Juraj Kucka,Sassuolo_A_1,7,8,1:1,37',0:1,Header
Serie A,Juraj Kucka,Hellas Verona_A_1,9,10,2:1,8',0:1,Penalty
Serie A,Juraj Kucka,Udinese Calcio_H_1,14,13,2:2,32',2:0,Penalty
Serie A,Juraj Kucka,Fiorentina_A_1,14,14,3:3,32',1:1,Penalty
Serie A,Juraj Kucka,Cagliari Calcio_A_1,18,16,4:3,31',0:2,Left-footed shot
Serie A,Keita Baldé,Sassuolo_H_1,6,8,2:3,84',2:3,Right-footed shot
Serie A,Keita Baldé,Inter_H_1,2,1,2:1,38',2:0,Right-footed shot
Serie A,Keita Baldé,Parma_A_1,19,20,0:2,34',0:2,Left-footed shot
Serie A,Keita Baldé,Benevento_A_1,11,18,1:1,80',1:1,Right-footed shot
Serie A,Keita Baldé,Fiorentina_H_1,15,14,2:1,31',1:0,Header
Serie A,Keita Baldé,Inter_A_1,1,1,5:1,35',2:1,Right-footed shot
Serie A,Keita Baldé,Spezia Calcio_H_1,17,15,2:2,80',2:2,Left-footed shot
Serie A,Josip Ilicic,AS Roma_H_1,5,7,4:1,85',4:1,Left-footed shot
Serie A,Josip Ilicic,Benevento_A_1,10,18,1:4,30',0:1,Left-footed shot
Serie A,Josip Ilicic,AC Milan_A_1,1,2,0:3,53',0:2,Penalty
Serie A,Josip Ilicic,Torino_H_1,18,17,3:3,14',1:0,Right-footed shot
Serie A,Josip Ilicic,Crotone_H_1,20,19,5:1,58',4:1,Left-footed shot
Serie A,Josip Ilicic,Fiorentina_A_1,14,14,2:3,70',2:3,Penalty
Serie A,Rafael Leão,Spezia Calcio_H_1,11,15,3:0,57',1:0,Right-footed shot
Serie A,Rafael Leão,Sassuolo_A_1,6,8,1:2,1',0:1,Right-footed shot
Serie A,Rafael Leão,Benevento_A_1,10,18,0:2,49',0:2,Right-footed shot
Serie A,Rafael Leão,Torino_H_1,17,17,2:0,25',1:0,Right-footed shot
Serie A,Rafael Leão,Parma_A_1,19,20,1:3,90'+4,1:3,Counter attack goal
Serie A,Jakub Jankto,Atalanta BC_A_1,4,3,1:3,90'+2,1:3,Counter attack goal
Serie A,Jakub Jankto,Genoa_H_1,17,11,1:1,23',1:0,Left-footed shot
Serie A,Jakub Jankto,SSC Napoli_A_1,2,5,2:1,20',0:1,Left-footed shot
Serie A,Jakub Jankto,Crotone_H_1,20,19,3:1,36',2:0,Left-footed shot
Serie A,Jakub Jankto,Hellas Verona_H_1,9,10,3:1,46',1:1,Left-footed shot
Serie A,Jakub Jankto,AS Roma_H_1,7,7,2:0,65',2:0,Left-footed shot
Serie A,Giacomo Raspadori,Genoa_H_1,18,11,2:1,83',2:1,Header
Serie A,Giacomo Raspadori,AS Roma_H_1,7,7,2:2,85',2:2,Right-footed shot
Serie A,Giacomo Raspadori,AC Milan_A_1,2,2,1:2,76',1:1,Left-footed shot
Serie A,Giacomo Raspadori,Genoa_A_1,13,11,1:2,14',0:1,Right-footed shot
Serie A,Giacomo Raspadori,Juventus_H_1,5,4,1:3,59',1:2,Left-footed shot
Serie A,Tommaso Pobega,Juventus_H_1,5,4,1:4,32',1:1,Right-footed shot
Serie A,Tommaso Pobega,Benevento_A_1,13,18,0:3,29',0:1,Right-footed shot
Serie A,Tommaso Pobega,SSC Napoli_A_1,5,5,1:2,82',1:2,Right-footed shot
Serie A,Tommaso Pobega,Sampdoria_A_1,9,9,2:2,15',0:1,Right-footed shot
Serie A,Tommaso Pobega,AS Roma_H_1,7,7,2:2,38',2:0,Right-footed shot
Serie A,Giovanni Simeone,Sassuolo_A_1,8,8,1:1,77',0:1,Header
Serie A,Giovanni Simeone,Torino_A_1,14,17,2:3,19',1:2,Right-footed shot
Serie A,Giovanni Simeone,Crotone_H_1,20,19,4:2,35',2:1,Right-footed shot
Serie A,Giovanni Simeone,Bologna_A_1,18,12,3:2,47',1:2,Right-footed shot
Serie A,Giovanni Simeone,Juventus_H_1,3,4,1:3,61',1:3,Right-footed shot
Serie A,Mario Pasalic,Cagliari Calcio_H_1,14,16,5:2,37',3:1,Right-footed shot
Serie A,Mario Pasalic,Lazio_H_1,6,6,1:3,79',1:2,Tap-in
Serie A,Mario Pasalic,Spezia Calcio_H_1,14,15,3:1,53',1:0,Right-footed shot
Serie A,Mario Pasalic,Benevento_H_1,18,18,2:0,67',2:0,Left-footed shot
Serie A,Mario Pasalic,Genoa_A_1,14,11,3:4,51',1:4,Right-footed shot
Serie A,Daniele Verde,Fiorentina_H_1,15,14,2:2,39',1:2,Left-footed shot
Serie A,Daniele Verde,AS Roma_A_1,5,7,4:3,90',3:3,Left-footed shot
Serie A,Daniele Verde,Benevento_H_1,16,18,1:1,71',1:1,Left-footed shot
Serie A,Daniele Verde,Lazio_A_1,6,6,2:1,73',1:1,Left-footed shot
Serie A,Daniele Verde,Crotone_H_1,20,19,3:2,63',1:1,Left-footed shot
Serie A,Daniele Verde,AS Roma_H_1,7,7,2:2,6',1:0,Left-footed shot
Serie A,Simone Zaza,Inter_A_1,7,1,4:2,45'+2,0:1,Left-footed shot
Serie A,Simone Zaza,Benevento_A_1,11,18,2:2,51',2:1,Header
Serie A,Simone Zaza,Sassuolo_H_1,8,8,3:2,77',1:2,Right-footed shot
Serie A,Simone Zaza,AS Roma_H_1,7,7,3:1,71',2:1,Tap-in
Serie A,Antonio Candreva,Torino_A_1,18,17,2:2,54',1:1,Left-footed shot
Serie A,Antonio Candreva,Inter_H_1,2,1,2:1,23',1:0,Penalty
Serie A,Antonio Candreva,Spezia Calcio_A_1,15,15,2:1,24',1:1,Counter attack goal
Serie A,Antonio Candreva,Udinese Calcio_H_1,15,13,2:1,67',1:1,Penalty
Serie A,Antonio Candreva,Torino_H_1,17,17,1:0,25',1:0,Right-footed shot
Serie A,Roberto Pereyra,Bologna_A_1,12,12,2:2,34',1:1,Header
Serie A,Roberto Pereyra,Atalanta BC_H_1,8,3,1:1,1',1:0,Right-footed shot
Serie A,Roberto Pereyra,Sassuolo_H_1,9,8,2:0,90'+3,2:0,Right-footed shot
Serie A,Roberto Pereyra,Atalanta BC_A_1,4,3,3:2,45',2:1,Right-footed shot
Serie A,Roberto Pereyra,Inter_A_1,1,1,5:1,79',5:1,Penalty
Serie A,Mattia Zaccagni,Atalanta BC_A_1,7,3,0:2,83',0:2,Right-footed shot
Serie A,Mattia Zaccagni,Cagliari Calcio_H_1,11,16,1:1,21',1:0,Right-footed shot
Serie A,Mattia Zaccagni,Sampdoria_H_1,15,9,1:2,70',1:2,Penalty
Serie A,Mattia Zaccagni,Spezia Calcio_A_1,17,15,0:1,75',0:1,Right-footed shot
Serie A,Mattia Zaccagni,SSC Napoli_H_1,4,5,3:1,79',3:1,Header
Serie A,Rodrigo Palacio,Parma_H_1,14,20,4:1,90'+1,4:1,Left-footed shot
Serie A,Rodrigo Palacio,Fiorentina_H_1,14,14,3:3,31',1:1,Right-footed shot
Serie A,Rodrigo Palacio,Hellas Verona_A_1,10,10,2:2,82',2:2,Left-footed shot
Serie A,Gianluca Caprari,Inter_H_1,1,1,2:5,34',1:3,Right-footed shot
Serie A,Gianluca Caprari,AS Roma_A_1,10,7,5:2,5',0:1,Deflected shot on goal
Serie A,Gianluca Caprari,Udinese Calcio_A_1,11,13,0:2,9',0:1,Left-footed shot
Serie A,Gianluca Caprari,Sampdoria_H_1,10,9,1:1,55',1:0,Left-footed shot
Serie A,Federico Dimarco,Torino_A_1,17,17,1:1,67',0:1,Left-footed shot
Serie A,Federico Dimarco,Crotone_H_1,20,19,2:1,25',2:0,Left-footed shot
Serie A,Federico Dimarco,SSC Napoli_H_1,4,5,3:1,34',1:1,Right-footed shot
Serie A,Federico Dimarco,Sassuolo_A_1,9,8,3:2,79',2:2,Left-footed shot
Serie A,Federico Dimarco,Torino_H_1,15,17,1:1,88',1:1,Left-footed shot
Serie A,Filip Djuricic,Spezia Calcio_A_1,8,15,1:4,12',0:1,
Serie A,Filip Djuricic,Bologna_A_1,12,12,3:4,64',3:2,Right-footed shot
Serie A,Filip Djuricic,Torino_H_1,16,17,3:3,71',1:1,Right-footed shot
Serie A,Filip Djuricic,Parma_H_1,19,20,1:1,90'+5,1:1,Penalty
Serie A,Filip Djuricic,Hellas Verona_H_1,8,10,3:2,51',2:1,Right-footed shot
Serie A,Pedro,Udinese Calcio_A_1,17,13,0:1,55',0:1,Long distance kick
Serie A,Pedro,Benevento_H_1,8,18,5:2,31',1:1,Left-footed shot
Serie A,Pedro,Fiorentina_H_1,10,14,2:0,70',2:0,Counter attack goal
Serie A,Pedro,Udinese Calcio_H_1,11,13,3:0,90'+3,3:0,Right-footed shot
Serie A,Pedro,Lazio_H_1,6,6,2:0,78',2:0,Long distance kick
Serie A,Hamed Junior Traorè,Fiorentina_A_1,17,14,1:1,13',0:1,Right-footed shot
Serie A,Hamed Junior Traorè,Sampdoria_A_1,10,9,2:3,2',0:1,Left-footed shot
Serie A,Hamed Junior Traorè,Hellas Verona_H_1,8,10,3:2,81',3:2,Right-footed shot
Serie A,Hamed Junior Traorè,AS Roma_H_1,7,7,2:2,57',1:1,
Serie A,Hamed Junior Traorè,Inter_A_1,1,1,2:1,85',2:1,Right-footed shot
Serie A,Gaetano Castrovilli,Torino_H_1,17,17,1:0,78',1:0,Left-footed shot
Serie A,Gaetano Castrovilli,Inter_A_1,1,1,4:3,57',2:2,Counter attack goal
Serie A,Gaetano Castrovilli,Udinese Calcio_H_1,18,13,3:2,11',1:0,Left-footed shot
Serie A,Gaetano Castrovilli,Spezia Calcio_H_1,12,15,3:0,64',2:0,Left-footed shot
Serie A,Nicolas Viola,Torino_H_1,18,17,2:2,31',1:0,Penalty
Serie A,Nicolas Viola,Bologna_A_1,14,12,1:1,60',1:1,Left-footed shot
Serie A,Nicolas Viola,Lazio_A_1,6,6,5:3,62',4:2,Penalty
Serie A,Nicolas Viola,Genoa_A_1,13,11,2:2,5',0:1,Penalty
Serie A,Nicolas Viola,Udinese Calcio_H_1,12,13,2:4,34',1:2,Penalty
Serie A,Weston McKennie,Torino_H_1,18,17,2:1,77',1:1,Header
Serie A,Weston McKennie,AC Milan_A_1,1,2,1:3,76',1:3,Right-footed shot
Serie A,Weston McKennie,Bologna_H_1,12,12,2:0,71',2:0,Header
Serie A,Weston McKennie,Crotone_H_1,20,19,3:0,66',3:0,Left-footed shot
Serie A,Weston McKennie,Genoa_H_1,13,11,3:1,70',3:1,Right-footed shot
Serie A,Mattias Svanberg,Sassuolo_H_1,3,8,3:4,39',2:1,Right-footed shot
Serie A,Mattias Svanberg,Udinese Calcio_H_1,13,13,2:2,40',2:1,Right-footed shot
Serie A,Mattias Svanberg,Sampdoria_H_1,10,9,3:1,41',2:1,Right-footed shot
Serie A,Mattias Svanberg,Spezia Calcio_H_1,14,15,4:1,54',3:1,Right-footed shot
Serie A,Bremer,Lazio_H_1,11,6,3:4,20',1:1,Header
Serie A,Bremer,Hellas Verona_H_1,8,10,1:1,84',1:1,Left-footed shot
Serie A,Bremer,Atalanta BC_A_1,7,3,3:3,45'+1,3:2,Tap-in
Serie A,Bremer,Cagliari Calcio_A_1,18,16,0:1,76',0:1,Header
Serie A,Bremer,Benevento_H_1,18,18,1:1,29',1:0,Header
Serie A,Gervinho,Inter_A_1,4,1,2:2,46',0:1,Left-footed shot
Serie A,Gervinho,Genoa_A_1,19,11,1:2,10',0:1,Right-footed shot
Serie A,Gervinho,Crotone_H_1,20,19,3:4,49',2:3,Left-footed shot
Serie A,Roberto Piccoli,Inter_A_1,2,1,2:1,90'+4,2:1,Right-footed shot
Serie A,Roberto Piccoli,AS Roma_A_1,5,7,4:3,24',1:1,Tap-in
Serie A,Roberto Piccoli,Atalanta BC_A_1,5,3,3:1,81',3:1,Right-footed shot
Serie A,Roberto Piccoli,Cagliari Calcio_H_1,18,16,2:1,49',1:0,Header
Serie A,Roberto Piccoli,SSC Napoli_H_1,5,5,1:4,64',1:3,Left-footed shot
Serie A,Antonio Sanabria,Crotone_A_1,20,19,4:2,84',3:2,Long distance kick
Serie A,Antonio Sanabria,Inter_H_1,1,1,1:2,70',1:1,Left-footed shot
Serie A,Antonio Sanabria,Juventus_H_1,3,4,2:2,27',1:1,Header
Serie A,Antonio Sanabria,AS Roma_H_1,7,7,3:1,57',1:1,Header
Serie A,Hakan Calhanoglu,Lazio_H_1,8,6,3:2,17',2:0,Penalty
Serie A,Hakan Calhanoglu,Fiorentina_A_1,13,14,2:3,72',2:3,Right-footed shot
Serie A,Hakan Calhanoglu,Sassuolo_H_1,8,8,1:2,30',1:0,Right-footed shot
Serie A,Hakan Calhanoglu,Benevento_H_1,17,18,2:0,6',1:0,Right-footed shot
Serie A,Emmanuel Gyasi,Cagliari Calcio_A_1,10,16,2:2,36',0:1,Right-footed shot
Serie A,Emmanuel Gyasi,Sassuolo_A_1,8,8,1:2,78',1:2,Tap-in
Serie A,Emmanuel Gyasi,Parma_H_1,19,20,2:2,52',1:2,Right-footed shot
Serie A,Davide Faraoni,Genoa_A_1,11,11,2:2,61',1:2,Right-footed shot
Serie A,Davide Faraoni,Benevento_A_1,16,18,0:3,25',0:1,Header
Serie A,Davide Faraoni,Bologna_H_1,12,12,2:2,2',1:0,Right-footed shot
Serie A,Davide Faraoni,SSC Napoli_A_1,4,5,1:1,69',1:1,Right-footed shot
Serie A,Ivan Perisic,Parma_H_1,15,20,2:2,90'+2,2:2,Header
Serie A,Ivan Perisic,Fiorentina_A_1,12,14,0:2,52',0:2,Tap-in
Serie A,Ivan Perisic,Spezia Calcio_A_1,14,15,1:1,39',1:1,Right-footed shot
Serie A,Ivan Perisic,Udinese Calcio_H_1,12,13,5:1,64',4:0,Right-footed shot
Serie A,Leonardo Pavoletti,Spezia Calcio_H_1,12,15,2:2,58',2:1,Right-footed shot
Serie A,Leonardo Pavoletti,Crotone_A_1,20,19,0:2,56',0:1,Header
Serie A,Leonardo Pavoletti,Parma_H_1,19,20,4:3,39',1:2,Header
Serie A,Leonardo Pavoletti,Benevento_A_1,18,18,1:3,64',1:2,Header
Serie A,Brahim Díaz,Crotone_A_1,17,19,0:2,50',0:2,Left-footed shot
Serie A,Brahim Díaz,Fiorentina_A_1,13,14,2:3,57',2:2,Left-footed shot
Serie A,Brahim Díaz,Juventus_A_1,3,4,0:3,45'+1,0:1,Right-footed shot
Serie A,Brahim Díaz,Torino_A_1,14,17,0:7,50',0:3,Left-footed shot
Serie A,Adam Ounas,Sassuolo_H_1,8,8,1:2,26',1:1,Counter attack goal
Serie A,Adam Ounas,Torino_H_1,17,17,4:2,90'+4,4:2,Solo run
