player,team,team_position,opponent,opponent_position,goals,assists
Ritsu Doan,1. FC Köln,16,1. FC Köln,16,,
Ritsu Doan,FC Bayern,1,FC Bayern,1,,
Ritsu Doan,VfL Wolfsburg,4,VfL Wolfsburg,4,,
Ritsu Doan,Bor. Dortmund,3,Bor. Dortmund,3,,
Ritsu Doan,Union Berlin,7,Union Berlin,7,,
Ritsu Doan,Werder Bremen,17,Werder Bremen,17,,
Ritsu Doan,Bay. Leverkusen,6,Bay. Leverkusen,6,1,
Ritsu Doan,RB Leipzig,2,RB Leipzig,2,,
Ritsu Doan,1.FSV Mainz 05,12,1.FSV Mainz 05,12,,
Ritsu Doan,SC Freiburg,10,SC Freiburg,10,,
Ritsu Doan,FC Augsburg,13,FC Augsburg,13,,
Ritsu Doan,FC Schalke 04,18,FC Schalke 04,18,,
Ritsu Doan,Bor. M'gladbach,8,Bor. M'gladbach,8,,
Ritsu Doan,Hertha BSC,14,Hertha BSC,14,,
Ritsu Doan,TSG Hoffenheim,11,TSG Hoffenheim,11,,
Ritsu Doan,VfB Stuttgart,9,VfB Stuttgart,9,1,
Ellyes Skhiri,TSG Hoffenheim,11,TSG Hoffenheim,11,,
Ellyes Skhiri,Arm. Bielefeld,15,Arm. Bielefeld,15,,
Ellyes Skhiri,Bor. M'gladbach,8,Bor. M'gladbach,8,,
Ellyes Skhiri,E. Frankfurt,5,E. Frankfurt,5,,
Ellyes Skhiri,VfB Stuttgart,9,VfB Stuttgart,9,,
Ellyes Skhiri,FC Bayern,1,FC Bayern,1,,
Ellyes Skhiri,Union Berlin,7,Union Berlin,7,1,
Ellyes Skhiri,Bor. Dortmund,3,Bor. Dortmund,3,2,
Ellyes Skhiri,VfL Wolfsburg,4,VfL Wolfsburg,4,,
Ellyes Skhiri,1.FSV Mainz 05,12,1.FSV Mainz 05,12,,
Ellyes Skhiri,Bay. Leverkusen,6,Bay. Leverkusen,6,,
Ellyes Skhiri,RB Leipzig,2,RB Leipzig,2,,
Ellyes Skhiri,FC Augsburg,13,FC Augsburg,13,,
Ellyes Skhiri,SC Freiburg,10,SC Freiburg,10,,
Ellyes Skhiri,Hertha BSC,14,Hertha BSC,14,,
Ellyes Skhiri,FC Schalke 04,18,FC Schalke 04,18,,
Ellyes Skhiri,TSG Hoffenheim,11,TSG Hoffenheim,11,,
Ellyes Skhiri,Arm. Bielefeld,15,Arm. Bielefeld,15,,2
Ellyes Skhiri,Bor. M'gladbach,8,Bor. M'gladbach,8,,
Ellyes Skhiri,E. Frankfurt,5,E. Frankfurt,5,,
Ellyes Skhiri,VfB Stuttgart,9,VfB Stuttgart,9,,
Ellyes Skhiri,FC Bayern,1,FC Bayern,1,1,
Ellyes Skhiri,Werder Bremen,17,Werder Bremen,17,,
Ellyes Skhiri,Union Berlin,7,Union Berlin,7,,
Ellyes Skhiri,Bor. Dortmund,3,Bor. Dortmund,3,,
Ellyes Skhiri,VfL Wolfsburg,4,VfL Wolfsburg,4,,
Ellyes Skhiri,1.FSV Mainz 05,12,1.FSV Mainz 05,12,1,
Ellyes Skhiri,Bay. Leverkusen,6,Bay. Leverkusen,6,,
Ellyes Skhiri,RB Leipzig,2,RB Leipzig,2,,
Ellyes Skhiri,FC Augsburg,13,FC Augsburg,13,,1
Ellyes Skhiri,SC Freiburg,10,SC Freiburg,10,,
Ellyes Skhiri,Hertha BSC,14,Hertha BSC,14,,
Taiwo Awoniyi,Bor. M'gladbach,8,Bor. M'gladbach,8,,
Taiwo Awoniyi,FC Schalke 04,18,FC Schalke 04,18,,
Taiwo Awoniyi,SC Freiburg,10,SC Freiburg,10,,
Taiwo Awoniyi,TSG Hoffenheim,11,TSG Hoffenheim,11,,
Taiwo Awoniyi,Arm. Bielefeld,15,Arm. Bielefeld,15,,
Taiwo Awoniyi,1. FC Köln,16,1. FC Köln,16,1,
Taiwo Awoniyi,E. Frankfurt,5,E. Frankfurt,5,,1
Taiwo Awoniyi,Hertha BSC,14,Hertha BSC,14,1,
Taiwo Awoniyi,FC Bayern,1,FC Bayern,1,,
Taiwo Awoniyi,VfB Stuttgart,9,VfB Stuttgart,9,1,
Taiwo Awoniyi,Bor. Dortmund,3,Bor. Dortmund,3,1,
Taiwo Awoniyi,Werder Bremen,17,Werder Bremen,17,1,1
Taiwo Awoniyi,VfL Wolfsburg,4,VfL Wolfsburg,4,,
Taiwo Awoniyi,Bay. Leverkusen,6,Bay. Leverkusen,6,,
Taiwo Awoniyi,RB Leipzig,2,RB Leipzig,2,,
Taiwo Awoniyi,FC Augsburg,13,FC Augsburg,13,,1
Taiwo Awoniyi,Bor. M'gladbach,8,Bor. M'gladbach,8,,
Taiwo Awoniyi,1.FSV Mainz 05,12,1.FSV Mainz 05,12,,
Taiwo Awoniyi,FC Schalke 04,18,FC Schalke 04,18,,
Taiwo Awoniyi,Bay. Leverkusen,6,Bay. Leverkusen,6,,
Taiwo Awoniyi,RB Leipzig,2,RB Leipzig,2,,
Fabian Klos,E. Frankfurt,5,E. Frankfurt,5,,
Fabian Klos,1. FC Köln,16,1. FC Köln,16,,
Fabian Klos,Werder Bremen,17,Werder Bremen,17,,
Fabian Klos,FC Bayern,1,FC Bayern,1,,1
Fabian Klos,VfL Wolfsburg,4,VfL Wolfsburg,4,,
Fabian Klos,Bor. Dortmund,3,Bor. Dortmund,3,,
Fabian Klos,Union Berlin,7,Union Berlin,7,,
Fabian Klos,Bay. Leverkusen,6,Bay. Leverkusen,6,,
Fabian Klos,RB Leipzig,2,RB Leipzig,2,1,
Fabian Klos,1.FSV Mainz 05,12,1.FSV Mainz 05,12,,
Fabian Klos,SC Freiburg,10,SC Freiburg,10,,
Fabian Klos,FC Augsburg,13,FC Augsburg,13,,
Fabian Klos,FC Schalke 04,18,FC Schalke 04,18,1,
Fabian Klos,Bor. M'gladbach,8,Bor. M'gladbach,8,,
Fabian Klos,Hertha BSC,14,Hertha BSC,14,,
Fabian Klos,TSG Hoffenheim,11,TSG Hoffenheim,11,,
Fabian Klos,VfB Stuttgart,9,VfB Stuttgart,9,1,
Fabian Klos,E. Frankfurt,5,E. Frankfurt,5,,
Fabian Klos,1. FC Köln,16,1. FC Köln,16,,1
Fabian Klos,FC Bayern,1,FC Bayern,1,,
Fabian Klos,VfL Wolfsburg,4,VfL Wolfsburg,4,,
Fabian Klos,Bor. Dortmund,3,Bor. Dortmund,3,,
Fabian Klos,Union Berlin,7,Union Berlin,7,,
Fabian Klos,Werder Bremen,17,Werder Bremen,17,,
Fabian Klos,Bay. Leverkusen,6,Bay. Leverkusen,6,,
Fabian Klos,RB Leipzig,2,RB Leipzig,2,,
Fabian Klos,1.FSV Mainz 05,12,1.FSV Mainz 05,12,,
Fabian Klos,SC Freiburg,10,SC Freiburg,10,,
Fabian Klos,FC Augsburg,13,FC Augsburg,13,,
Fabian Klos,FC Schalke 04,18,FC Schalke 04,18,1,
Fabian Klos,Bor. M'gladbach,8,Bor. M'gladbach,8,,
Fabian Klos,Hertha BSC,14,Hertha BSC,14,,
Fabian Klos,TSG Hoffenheim,11,TSG Hoffenheim,11,,
Fabian Klos,VfB Stuttgart,9,VfB Stuttgart,9,1,
Marvin Friedrich,FC Augsburg,13,FC Augsburg,13,,
Marvin Friedrich,Bor. M'gladbach,8,Bor. M'gladbach,8,,
Marvin Friedrich,1.FSV Mainz 05,12,1.FSV Mainz 05,12,1,
Marvin Friedrich,FC Schalke 04,18,FC Schalke 04,18,1,
Marvin Friedrich,SC Freiburg,10,SC Freiburg,10,,
Marvin Friedrich,TSG Hoffenheim,11,TSG Hoffenheim,11,,
Marvin Friedrich,Arm. Bielefeld,15,Arm. Bielefeld,15,,
Marvin Friedrich,1. FC Köln,16,1. FC Köln,16,,
Marvin Friedrich,E. Frankfurt,5,E. Frankfurt,5,,
Marvin Friedrich,Hertha BSC,14,Hertha BSC,14,,
Marvin Friedrich,FC Bayern,1,FC Bayern,1,,
Marvin Friedrich,VfB Stuttgart,9,VfB Stuttgart,9,1,
Marvin Friedrich,Bor. Dortmund,3,Bor. Dortmund,3,1,
Marvin Friedrich,Werder Bremen,17,Werder Bremen,17,,
Marvin Friedrich,VfL Wolfsburg,4,VfL Wolfsburg,4,,
Marvin Friedrich,Bay. Leverkusen,6,Bay. Leverkusen,6,,
Marvin Friedrich,RB Leipzig,2,RB Leipzig,2,,
Marvin Friedrich,FC Augsburg,13,FC Augsburg,13,,
Marvin Friedrich,Bor. M'gladbach,8,Bor. M'gladbach,8,,
Marvin Friedrich,1.FSV Mainz 05,12,1.FSV Mainz 05,12,,
Marvin Friedrich,FC Schalke 04,18,FC Schalke 04,18,,
Marvin Friedrich,SC Freiburg,10,SC Freiburg,10,,
Marvin Friedrich,TSG Hoffenheim,11,TSG Hoffenheim,11,,
Marvin Friedrich,Arm. Bielefeld,15,Arm. Bielefeld,15,,
Marvin Friedrich,1. FC Köln,16,1. FC Köln,16,,
Marvin Friedrich,E. Frankfurt,5,E. Frankfurt,5,,1
Marvin Friedrich,Hertha BSC,14,Hertha BSC,14,,
Marvin Friedrich,FC Bayern,1,FC Bayern,1,,
Marvin Friedrich,VfB Stuttgart,9,VfB Stuttgart,9,,
Marvin Friedrich,Bor. Dortmund,3,Bor. Dortmund,3,,
Marvin Friedrich,Werder Bremen,17,Werder Bremen,17,,1
Marvin Friedrich,VfL Wolfsburg,4,VfL Wolfsburg,4,,
Marvin Friedrich,Bay. Leverkusen,6,Bay. Leverkusen,6,,
Marvin Friedrich,RB Leipzig,2,RB Leipzig,2,1,
Josh Sargent,Hertha BSC,14,Hertha BSC,14,,
Josh Sargent,FC Schalke 04,18,FC Schalke 04,18,,1
Josh Sargent,Arm. Bielefeld,15,Arm. Bielefeld,15,,
Josh Sargent,SC Freiburg,10,SC Freiburg,10,,
Josh Sargent,TSG Hoffenheim,11,TSG Hoffenheim,11,,
Josh Sargent,E. Frankfurt,5,E. Frankfurt,5,1,
Josh Sargent,1. FC Köln,16,1. FC Köln,16,,
Josh Sargent,FC Bayern,1,FC Bayern,1,,1
Josh Sargent,VfB Stuttgart,9,VfB Stuttgart,9,,
Josh Sargent,RB Leipzig,2,RB Leipzig,2,,
Josh Sargent,Bor. Dortmund,3,Bor. Dortmund,3,,
Josh Sargent,1.FSV Mainz 05,12,1.FSV Mainz 05,12,,
Josh Sargent,Union Berlin,7,Union Berlin,7,,
Josh Sargent,Bay. Leverkusen,6,Bay. Leverkusen,6,,
Josh Sargent,FC Augsburg,13,FC Augsburg,13,,
Josh Sargent,Bor. M'gladbach,8,Bor. M'gladbach,8,,
Josh Sargent,Hertha BSC,14,Hertha BSC,14,1,
Josh Sargent,FC Schalke 04,18,FC Schalke 04,18,,
Josh Sargent,SC Freiburg,10,SC Freiburg,10,,
Josh Sargent,TSG Hoffenheim,11,TSG Hoffenheim,11,,
Josh Sargent,E. Frankfurt,5,E. Frankfurt,5,1,
Josh Sargent,1. FC Köln,16,1. FC Köln,16,1,
Josh Sargent,Arm. Bielefeld,15,Arm. Bielefeld,15,1,
Josh Sargent,FC Bayern,1,FC Bayern,1,,
Josh Sargent,VfL Wolfsburg,4,VfL Wolfsburg,4,,
Josh Sargent,RB Leipzig,2,RB Leipzig,2,,
Josh Sargent,Bor. Dortmund,3,Bor. Dortmund,3,,
Josh Sargent,1.FSV Mainz 05,12,1.FSV Mainz 05,12,,
Josh Sargent,Union Berlin,7,Union Berlin,7,,
Josh Sargent,Bay. Leverkusen,6,Bay. Leverkusen,6,,
Josh Sargent,FC Augsburg,13,FC Augsburg,13,,
Josh Sargent,Bor. M'gladbach,8,Bor. M'gladbach,8,,
Elvis Rexhbecaj,TSG Hoffenheim,11,TSG Hoffenheim,11,,
Elvis Rexhbecaj,Arm. Bielefeld,15,Arm. Bielefeld,15,,
Elvis Rexhbecaj,Bor. M'gladbach,8,Bor. M'gladbach,8,1,
Elvis Rexhbecaj,E. Frankfurt,5,E. Frankfurt,5,,
Elvis Rexhbecaj,VfB Stuttgart,9,VfB Stuttgart,9,,
Elvis Rexhbecaj,Werder Bremen,17,Werder Bremen,17,,
Elvis Rexhbecaj,Union Berlin,7,Union Berlin,7,,
Elvis Rexhbecaj,Bor. Dortmund,3,Bor. Dortmund,3,,
Elvis Rexhbecaj,VfL Wolfsburg,4,VfL Wolfsburg,4,,1
Elvis Rexhbecaj,1.FSV Mainz 05,12,1.FSV Mainz 05,12,1,
Elvis Rexhbecaj,Bay. Leverkusen,6,Bay. Leverkusen,6,,
Elvis Rexhbecaj,RB Leipzig,2,RB Leipzig,2,,
Elvis Rexhbecaj,FC Augsburg,13,FC Augsburg,13,,
Elvis Rexhbecaj,SC Freiburg,10,SC Freiburg,10,,
Elvis Rexhbecaj,Hertha BSC,14,Hertha BSC,14,,
Elvis Rexhbecaj,FC Schalke 04,18,FC Schalke 04,18,,1
Elvis Rexhbecaj,TSG Hoffenheim,11,TSG Hoffenheim,11,,
Elvis Rexhbecaj,Arm. Bielefeld,15,Arm. Bielefeld,15,1,
Elvis Rexhbecaj,Bor. M'gladbach,8,Bor. M'gladbach,8,2,
Elvis Rexhbecaj,E. Frankfurt,5,E. Frankfurt,5,,
Elvis Rexhbecaj,VfB Stuttgart,9,VfB Stuttgart,9,,
Elvis Rexhbecaj,FC Bayern,1,FC Bayern,1,,
Elvis Rexhbecaj,Werder Bremen,17,Werder Bremen,17,,
Elvis Rexhbecaj,Union Berlin,7,Union Berlin,7,,
Elvis Rexhbecaj,Bor. Dortmund,3,Bor. Dortmund,3,,
Elvis Rexhbecaj,VfL Wolfsburg,4,VfL Wolfsburg,4,,
Elvis Rexhbecaj,1.FSV Mainz 05,12,1.FSV Mainz 05,12,,
Elvis Rexhbecaj,RB Leipzig,2,RB Leipzig,2,,
Elvis Rexhbecaj,FC Augsburg,13,FC Augsburg,13,,
Elvis Rexhbecaj,Hertha BSC,14,Hertha BSC,14,,
Alexander Sörloth,Bay. Leverkusen,6,Bay. Leverkusen,6,,
Alexander Sörloth,FC Schalke 04,18,FC Schalke 04,18,,
Alexander Sörloth,FC Augsburg,13,FC Augsburg,13,,
Alexander Sörloth,Hertha BSC,14,Hertha BSC,14,,
Alexander Sörloth,Bor. M'gladbach,8,Bor. M'gladbach,8,,
Alexander Sörloth,SC Freiburg,10,SC Freiburg,10,,
Alexander Sörloth,E. Frankfurt,5,E. Frankfurt,5,,
Alexander Sörloth,Arm. Bielefeld,15,Arm. Bielefeld,15,,
Alexander Sörloth,FC Bayern,1,FC Bayern,1,,
Alexander Sörloth,Werder Bremen,17,Werder Bremen,17,,
Alexander Sörloth,TSG Hoffenheim,11,TSG Hoffenheim,11,,
Alexander Sörloth,1. FC Köln,16,1. FC Köln,16,,
Alexander Sörloth,VfB Stuttgart,9,VfB Stuttgart,9,,
Alexander Sörloth,Bor. Dortmund,3,Bor. Dortmund,3,1,
Alexander Sörloth,Union Berlin,7,Union Berlin,7,,
Alexander Sörloth,1.FSV Mainz 05,12,1.FSV Mainz 05,12,,
Alexander Sörloth,Bay. Leverkusen,6,Bay. Leverkusen,6,,
Alexander Sörloth,FC Schalke 04,18,FC Schalke 04,18,,
Alexander Sörloth,FC Augsburg,13,FC Augsburg,13,,
Alexander Sörloth,Hertha BSC,14,Hertha BSC,14,,
Alexander Sörloth,Bor. M'gladbach,8,Bor. M'gladbach,8,1,1
Alexander Sörloth,SC Freiburg,10,SC Freiburg,10,1,1
Alexander Sörloth,E. Frankfurt,5,E. Frankfurt,5,,
Alexander Sörloth,FC Bayern,1,FC Bayern,1,,
Alexander Sörloth,Werder Bremen,17,Werder Bremen,17,2,
Alexander Sörloth,TSG Hoffenheim,11,TSG Hoffenheim,11,,
Alexander Sörloth,1. FC Köln,16,1. FC Köln,16,,
Alexander Sörloth,VfB Stuttgart,9,VfB Stuttgart,9,,
Alexander Sörloth,Union Berlin,7,Union Berlin,7,,
Robert Andrich,FC Augsburg,13,FC Augsburg,13,,
Robert Andrich,Bor. M'gladbach,8,Bor. M'gladbach,8,,
Robert Andrich,1.FSV Mainz 05,12,1.FSV Mainz 05,12,,
Robert Andrich,FC Schalke 04,18,FC Schalke 04,18,,
Robert Andrich,SC Freiburg,10,SC Freiburg,10,1,
Robert Andrich,TSG Hoffenheim,11,TSG Hoffenheim,11,,
Robert Andrich,Arm. Bielefeld,15,Arm. Bielefeld,15,1,
Robert Andrich,1. FC Köln,16,1. FC Köln,16,,
Robert Andrich,E. Frankfurt,5,E. Frankfurt,5,1,
Robert Andrich,Hertha BSC,14,Hertha BSC,14,,
Robert Andrich,Werder Bremen,17,Werder Bremen,17,,1
Robert Andrich,VfL Wolfsburg,4,VfL Wolfsburg,4,1,
Robert Andrich,Bay. Leverkusen,6,Bay. Leverkusen,6,,
Robert Andrich,RB Leipzig,2,RB Leipzig,2,,
Robert Andrich,FC Augsburg,13,FC Augsburg,13,,
Robert Andrich,Bor. M'gladbach,8,Bor. M'gladbach,8,,
Robert Andrich,1.FSV Mainz 05,12,1.FSV Mainz 05,12,,
Robert Andrich,FC Schalke 04,18,FC Schalke 04,18,,
Robert Andrich,SC Freiburg,10,SC Freiburg,10,,
Robert Andrich,TSG Hoffenheim,11,TSG Hoffenheim,11,,
Robert Andrich,Arm. Bielefeld,15,Arm. Bielefeld,15,,
Robert Andrich,1. FC Köln,16,1. FC Köln,16,,
Robert Andrich,E. Frankfurt,5,E. Frankfurt,5,,
Robert Andrich,Hertha BSC,14,Hertha BSC,14,1,
Robert Andrich,FC Bayern,1,FC Bayern,1,,1
Robert Andrich,VfB Stuttgart,9,VfB Stuttgart,9,,
Robert Andrich,Bor. Dortmund,3,Bor. Dortmund,3,,
Robert Andrich,Werder Bremen,17,Werder Bremen,17,,
Robert Andrich,Bay. Leverkusen,6,Bay. Leverkusen,6,,
Kevin Möhwald,SC Freiburg,10,SC Freiburg,10,,
Kevin Möhwald,TSG Hoffenheim,11,TSG Hoffenheim,11,,
Kevin Möhwald,E. Frankfurt,5,E. Frankfurt,5,,
Kevin Möhwald,1. FC Köln,16,1. FC Köln,16,,
Kevin Möhwald,FC Bayern,1,FC Bayern,1,,
Kevin Möhwald,VfL Wolfsburg,4,VfL Wolfsburg,4,1,
Kevin Möhwald,RB Leipzig,2,RB Leipzig,2,,
Kevin Möhwald,Bor. Dortmund,3,Bor. Dortmund,3,1,
Kevin Möhwald,1.FSV Mainz 05,12,1.FSV Mainz 05,12,,
Kevin Möhwald,Bay. Leverkusen,6,Bay. Leverkusen,6,,
Kevin Möhwald,FC Augsburg,13,FC Augsburg,13,,
Kevin Möhwald,Bor. M'gladbach,8,Bor. M'gladbach,8,,
Kevin Möhwald,FC Schalke 04,18,FC Schalke 04,18,1,
Kevin Möhwald,SC Freiburg,10,SC Freiburg,10,,
Kevin Möhwald,TSG Hoffenheim,11,TSG Hoffenheim,11,,
Kevin Möhwald,E. Frankfurt,5,E. Frankfurt,5,,
Kevin Möhwald,1. FC Köln,16,1. FC Köln,16,,
Kevin Möhwald,Arm. Bielefeld,15,Arm. Bielefeld,15,1,
Kevin Möhwald,FC Bayern,1,FC Bayern,1,,
Kevin Möhwald,VfL Wolfsburg,4,VfL Wolfsburg,4,1,
Kevin Möhwald,VfB Stuttgart,9,VfB Stuttgart,9,,
Kevin Möhwald,RB Leipzig,2,RB Leipzig,2,,
Kevin Möhwald,Bor. Dortmund,3,Bor. Dortmund,3,,
Kevin Möhwald,1.FSV Mainz 05,12,1.FSV Mainz 05,12,,
Kevin Möhwald,Union Berlin,7,Union Berlin,7,,
Kevin Möhwald,Bay. Leverkusen,6,Bay. Leverkusen,6,,
Kevin Möhwald,Bor. M'gladbach,8,Bor. M'gladbach,8,,1
Mats Hummels,Bor. M'gladbach,8,Bor. M'gladbach,8,,
Mats Hummels,FC Augsburg,13,FC Augsburg,13,,
Mats Hummels,SC Freiburg,10,SC Freiburg,10,,
Mats Hummels,TSG Hoffenheim,11,TSG Hoffenheim,11,,
Mats Hummels,FC Schalke 04,18,FC Schalke 04,18,1,
Mats Hummels,Arm. Bielefeld,15,Arm. Bielefeld,15,2,
Mats Hummels,FC Bayern,1,FC Bayern,1,,
Mats Hummels,Hertha BSC,14,Hertha BSC,14,,
Mats Hummels,1. FC Köln,16,1. FC Köln,16,,
Mats Hummels,E. Frankfurt,5,E. Frankfurt,5,,
Mats Hummels,VfB Stuttgart,9,VfB Stuttgart,9,,
Mats Hummels,Werder Bremen,17,Werder Bremen,17,,
Mats Hummels,Union Berlin,7,Union Berlin,7,,
Mats Hummels,VfL Wolfsburg,4,VfL Wolfsburg,4,,
Mats Hummels,RB Leipzig,2,RB Leipzig,2,,
Mats Hummels,1.FSV Mainz 05,12,1.FSV Mainz 05,12,,
Mats Hummels,Bay. Leverkusen,6,Bay. Leverkusen,6,,
Mats Hummels,Bor. M'gladbach,8,Bor. M'gladbach,8,,
Mats Hummels,FC Augsburg,13,FC Augsburg,13,,
Mats Hummels,SC Freiburg,10,SC Freiburg,10,,
Mats Hummels,TSG Hoffenheim,11,TSG Hoffenheim,11,,
Mats Hummels,FC Schalke 04,18,FC Schalke 04,18,,
Mats Hummels,Arm. Bielefeld,15,Arm. Bielefeld,15,,
Mats Hummels,FC Bayern,1,FC Bayern,1,,
Mats Hummels,Hertha BSC,14,Hertha BSC,14,,
Mats Hummels,1. FC Köln,16,1. FC Köln,16,,
Mats Hummels,E. Frankfurt,5,E. Frankfurt,5,1,
Mats Hummels,VfB Stuttgart,9,VfB Stuttgart,9,,
Mats Hummels,Werder Bremen,17,Werder Bremen,17,1,
Mats Hummels,Union Berlin,7,Union Berlin,7,,
Mats Hummels,RB Leipzig,2,RB Leipzig,2,,
Mats Hummels,1.FSV Mainz 05,12,1.FSV Mainz 05,12,,
Mats Hummels,Bay. Leverkusen,6,Bay. Leverkusen,6,,
Filip Kostic,Arm. Bielefeld,15,Arm. Bielefeld,15,,
Filip Kostic,Hertha BSC,14,Hertha BSC,14,,
Filip Kostic,VfB Stuttgart,9,VfB Stuttgart,9,,
Filip Kostic,RB Leipzig,2,RB Leipzig,2,,
Filip Kostic,Union Berlin,7,Union Berlin,7,,1
Filip Kostic,Bor. Dortmund,3,Bor. Dortmund,3,,
Filip Kostic,VfL Wolfsburg,4,VfL Wolfsburg,4,,
Filip Kostic,Bor. M'gladbach,8,Bor. M'gladbach,8,,
Filip Kostic,FC Augsburg,13,FC Augsburg,13,,
Filip Kostic,Bay. Leverkusen,6,Bay. Leverkusen,6,,
Filip Kostic,1.FSV Mainz 05,12,1.FSV Mainz 05,12,,
Filip Kostic,FC Schalke 04,18,FC Schalke 04,18,,2
Filip Kostic,SC Freiburg,10,SC Freiburg,10,,
Filip Kostic,Arm. Bielefeld,15,Arm. Bielefeld,15,1,2
Filip Kostic,Hertha BSC,14,Hertha BSC,14,,1
Filip Kostic,TSG Hoffenheim,11,TSG Hoffenheim,11,1,2
Filip Kostic,1. FC Köln,16,1. FC Köln,16,,1
Filip Kostic,FC Bayern,1,FC Bayern,1,,1
Filip Kostic,Werder Bremen,17,Werder Bremen,17,,1
Filip Kostic,VfB Stuttgart,9,VfB Stuttgart,9,1,
Filip Kostic,RB Leipzig,2,RB Leipzig,2,,
Filip Kostic,Union Berlin,7,Union Berlin,7,1,1
Filip Kostic,Bor. Dortmund,3,Bor. Dortmund,3,,2
Filip Kostic,VfL Wolfsburg,4,VfL Wolfsburg,4,,
Filip Kostic,Bor. M'gladbach,8,Bor. M'gladbach,8,,
Filip Kostic,FC Augsburg,13,FC Augsburg,13,,1
Filip Kostic,Bay. Leverkusen,6,Bay. Leverkusen,6,,
Filip Kostic,1.FSV Mainz 05,12,1.FSV Mainz 05,12,,
Filip Kostic,FC Schalke 04,18,FC Schalke 04,18,,
Filip Kostic,SC Freiburg,10,SC Freiburg,10,,2
Moussa Diaby,VfL Wolfsburg,4,VfL Wolfsburg,4,,
Moussa Diaby,RB Leipzig,2,RB Leipzig,2,,
Moussa Diaby,VfB Stuttgart,9,VfB Stuttgart,9,,
Moussa Diaby,1.FSV Mainz 05,12,1.FSV Mainz 05,12,,
Moussa Diaby,FC Augsburg,13,FC Augsburg,13,1,
Moussa Diaby,SC Freiburg,10,SC Freiburg,10,,
Moussa Diaby,Bor. M'gladbach,8,Bor. M'gladbach,8,,2
Moussa Diaby,Arm. Bielefeld,15,Arm. Bielefeld,15,,
Moussa Diaby,Hertha BSC,14,Hertha BSC,14,,
Moussa Diaby,FC Schalke 04,18,FC Schalke 04,18,,
Moussa Diaby,TSG Hoffenheim,11,TSG Hoffenheim,11,,
Moussa Diaby,1. FC Köln,16,1. FC Köln,16,1,1
Moussa Diaby,FC Bayern,1,FC Bayern,1,,
Moussa Diaby,E. Frankfurt,5,E. Frankfurt,5,,
Moussa Diaby,Werder Bremen,17,Werder Bremen,17,,
Moussa Diaby,Union Berlin,7,Union Berlin,7,,
Moussa Diaby,Bor. Dortmund,3,Bor. Dortmund,3,1,1
Moussa Diaby,VfL Wolfsburg,4,VfL Wolfsburg,4,,
Moussa Diaby,RB Leipzig,2,RB Leipzig,2,,
Moussa Diaby,VfB Stuttgart,9,VfB Stuttgart,9,,3
Moussa Diaby,1.FSV Mainz 05,12,1.FSV Mainz 05,12,,1
Moussa Diaby,FC Augsburg,13,FC Augsburg,13,,
Moussa Diaby,Bor. M'gladbach,8,Bor. M'gladbach,8,,1
Moussa Diaby,Arm. Bielefeld,15,Arm. Bielefeld,15,,
Moussa Diaby,FC Schalke 04,18,FC Schalke 04,18,,
Moussa Diaby,TSG Hoffenheim,11,TSG Hoffenheim,11,,
Moussa Diaby,1. FC Köln,16,1. FC Köln,16,1,1
Moussa Diaby,FC Bayern,1,FC Bayern,1,,
Moussa Diaby,E. Frankfurt,5,E. Frankfurt,5,,2
Moussa Diaby,Werder Bremen,17,Werder Bremen,17,,
Moussa Diaby,Union Berlin,7,Union Berlin,7,,
Moussa Diaby,Bor. Dortmund,3,Bor. Dortmund,3,,
Joshua Kimmich,FC Schalke 04,18,FC Schalke 04,18,,2
Joshua Kimmich,TSG Hoffenheim,11,TSG Hoffenheim,11,1,
Joshua Kimmich,Hertha BSC,14,Hertha BSC,14,,
Joshua Kimmich,E. Frankfurt,5,E. Frankfurt,5,,1
Joshua Kimmich,1. FC Köln,16,1. FC Köln,16,,1
Joshua Kimmich,Bor. Dortmund,3,Bor. Dortmund,3,,
Joshua Kimmich,Bay. Leverkusen,6,Bay. Leverkusen,6,,1
Joshua Kimmich,1.FSV Mainz 05,12,1.FSV Mainz 05,12,1,1
Joshua Kimmich,Bor. M'gladbach,8,Bor. M'gladbach,8,,
Joshua Kimmich,SC Freiburg,10,SC Freiburg,10,,
Joshua Kimmich,FC Augsburg,13,FC Augsburg,13,,
Joshua Kimmich,FC Schalke 04,18,FC Schalke 04,18,,3
Joshua Kimmich,TSG Hoffenheim,11,TSG Hoffenheim,11,,1
Joshua Kimmich,Hertha BSC,14,Hertha BSC,14,,
Joshua Kimmich,Arm. Bielefeld,15,Arm. Bielefeld,15,,
Joshua Kimmich,E. Frankfurt,5,E. Frankfurt,5,,
Joshua Kimmich,1. FC Köln,16,1. FC Köln,16,,
Joshua Kimmich,Bor. Dortmund,3,Bor. Dortmund,3,,
Joshua Kimmich,Werder Bremen,17,Werder Bremen,17,,
Joshua Kimmich,RB Leipzig,2,RB Leipzig,2,,
Joshua Kimmich,Union Berlin,7,Union Berlin,7,,
Joshua Kimmich,VfL Wolfsburg,4,VfL Wolfsburg,4,,
Joshua Kimmich,Bay. Leverkusen,6,Bay. Leverkusen,6,1,
Joshua Kimmich,1.FSV Mainz 05,12,1.FSV Mainz 05,12,,
Joshua Kimmich,Bor. M'gladbach,8,Bor. M'gladbach,8,,
Joshua Kimmich,SC Freiburg,10,SC Freiburg,10,,
