player,team,team_position,opponent,opponent_position,goals,assists
Wout Weghorst,TSG Hoffenheim,11,TSG Hoffenheim,11,1,
Wout Weghorst,FC Schalke 04,18,FC Schalke 04,18,1,1
Wout Weghorst,Werder Bremen,17,Werder Bremen,17,2,
Wout Weghorst,1. FC Köln,16,1. FC Köln,16,1,
Wout Weghorst,E. Frankfurt,5,E. Frankfurt,5,2,
Wout Weghorst,FC Bayern,1,FC Bayern,1,,
Wout Weghorst,VfB Stuttgart,9,VfB Stuttgart,9,,
Wout Weghorst,Bor. Dortmund,3,Bor. Dortmund,3,,
Wout Weghorst,Union Berlin,7,Union Berlin,7,1,
Wout Weghorst,RB Leipzig,2,RB Leipzig,2,1,
Wout Weghorst,1.FSV Mainz 05,12,1.FSV Mainz 05,12,1,
Wout Weghorst,Bay. Leverkusen,6,Bay. Leverkusen,6,,
Wout Weghorst,SC Freiburg,10,SC Freiburg,10,1,
Wout Weghorst,FC Augsburg,13,FC Augsburg,13,1,1
Wout Weghorst,Bor. M'gladbach,8,Bor. M'gladbach,8,,
Wout Weghorst,Arm. Bielefeld,15,Arm. Bielefeld,15,,2
Wout Weghorst,Hertha BSC,14,Hertha BSC,14,,
Wout Weghorst,TSG Hoffenheim,11,TSG Hoffenheim,11,1,
Wout Weghorst,FC Schalke 04,18,FC Schalke 04,18,1,2
Wout Weghorst,Werder Bremen,17,Werder Bremen,17,1,
Wout Weghorst,1. FC Köln,16,1. FC Köln,16,,1
Wout Weghorst,E. Frankfurt,5,E. Frankfurt,5,1,1
Wout Weghorst,FC Bayern,1,FC Bayern,1,1,
Wout Weghorst,VfB Stuttgart,9,VfB Stuttgart,9,1,
Wout Weghorst,Bor. Dortmund,3,Bor. Dortmund,3,,
Wout Weghorst,Union Berlin,7,Union Berlin,7,,
Wout Weghorst,RB Leipzig,2,RB Leipzig,2,,
Wout Weghorst,1.FSV Mainz 05,12,1.FSV Mainz 05,12,,1
Andrej Kramaric,1. FC Köln,16,1. FC Köln,16,3,
Andrej Kramaric,FC Bayern,1,FC Bayern,1,2,
Andrej Kramaric,E. Frankfurt,5,E. Frankfurt,5,1,
Andrej Kramaric,VfB Stuttgart,9,VfB Stuttgart,9,1,1
Andrej Kramaric,1.FSV Mainz 05,12,1.FSV Mainz 05,12,,
Andrej Kramaric,FC Augsburg,13,FC Augsburg,13,,1
Andrej Kramaric,Bay. Leverkusen,6,Bay. Leverkusen,6,,
Andrej Kramaric,RB Leipzig,2,RB Leipzig,2,,
Andrej Kramaric,Bor. M'gladbach,8,Bor. M'gladbach,8,1,
Andrej Kramaric,SC Freiburg,10,SC Freiburg,10,,
Andrej Kramaric,FC Schalke 04,18,FC Schalke 04,18,,
Andrej Kramaric,Arm. Bielefeld,15,Arm. Bielefeld,15,,
Andrej Kramaric,Hertha BSC,14,Hertha BSC,14,2,
Andrej Kramaric,1. FC Köln,16,1. FC Köln,16,2,
Andrej Kramaric,FC Bayern,1,FC Bayern,1,1,
Andrej Kramaric,E. Frankfurt,5,E. Frankfurt,5,,1
Andrej Kramaric,Werder Bremen,17,Werder Bremen,17,,
Andrej Kramaric,Union Berlin,7,Union Berlin,7,,1
Andrej Kramaric,VfL Wolfsburg,4,VfL Wolfsburg,4,1,
Andrej Kramaric,VfB Stuttgart,9,VfB Stuttgart,9,,
Andrej Kramaric,1.FSV Mainz 05,12,1.FSV Mainz 05,12,,
Andrej Kramaric,Bay. Leverkusen,6,Bay. Leverkusen,6,,
Andrej Kramaric,RB Leipzig,2,RB Leipzig,2,,
Andrej Kramaric,Bor. M'gladbach,8,Bor. M'gladbach,8,2,
Andrej Kramaric,SC Freiburg,10,SC Freiburg,10,1,
Andrej Kramaric,FC Schalke 04,18,FC Schalke 04,18,1,2
Andrej Kramaric,Arm. Bielefeld,15,Arm. Bielefeld,15,1,
Andrej Kramaric,Hertha BSC,14,Hertha BSC,14,1,
Sasa Kalajdzic,SC Freiburg,10,SC Freiburg,10,1,
Sasa Kalajdzic,1.FSV Mainz 05,12,1.FSV Mainz 05,12,1,1
Sasa Kalajdzic,Bay. Leverkusen,6,Bay. Leverkusen,6,1,
Sasa Kalajdzic,Hertha BSC,14,Hertha BSC,14,,
Sasa Kalajdzic,1. FC Köln,16,1. FC Köln,16,,1
Sasa Kalajdzic,FC Schalke 04,18,FC Schalke 04,18,,
Sasa Kalajdzic,E. Frankfurt,5,E. Frankfurt,5,,
Sasa Kalajdzic,TSG Hoffenheim,11,TSG Hoffenheim,11,,1
Sasa Kalajdzic,FC Bayern,1,FC Bayern,1,,
Sasa Kalajdzic,Werder Bremen,17,Werder Bremen,17,,
Sasa Kalajdzic,Union Berlin,7,Union Berlin,7,2,
Sasa Kalajdzic,VfL Wolfsburg,4,VfL Wolfsburg,4,,
Sasa Kalajdzic,RB Leipzig,2,RB Leipzig,2,,
Sasa Kalajdzic,FC Augsburg,13,FC Augsburg,13,,
Sasa Kalajdzic,Bor. M'gladbach,8,Bor. M'gladbach,8,,1
Sasa Kalajdzic,Arm. Bielefeld,15,Arm. Bielefeld,15,,
Sasa Kalajdzic,SC Freiburg,10,SC Freiburg,10,,
Sasa Kalajdzic,1.FSV Mainz 05,12,1.FSV Mainz 05,12,1,
Sasa Kalajdzic,Bay. Leverkusen,6,Bay. Leverkusen,6,2,
Sasa Kalajdzic,Hertha BSC,14,Hertha BSC,14,1,
Sasa Kalajdzic,1. FC Köln,16,1. FC Köln,16,1,
