league,player,team_venue_goal_number,opponent_position,final_score,minute,current_score,goal_type
Bundesliga,Ádám Szalai,Werder Bremen_A_1,13,0:1,16',0:1,Left-footed shot
Bundesliga,Aleksandar Dragovic,Arm. Bielefeld_A_1,15,1:2,88',1:2,Right-footed shot
Bundesliga,Corentin Tolisso,Arm. Bielefeld_H_1,16,3:3,57',2:3,Header
Bundesliga,Keita Endo,Arm. Bielefeld_H_1,15,5:0,3',1:0,Right-footed shot
Bundesliga,Nico Schlotterbeck,Bor. M'gladbach_A_1,17,1:1,79',1:1,Header
Bundesliga,Timothy Chandler,Union Berlin_H_1,7,5:2,90'+2,5:2,Right-footed shot
Bundesliga,Cebio Soukou,E. Frankfurt_A_1,5,1:1,51',0:1,Right-footed shot
Bundesliga,David Abraham,VfB Stuttgart_A_1,8,2:2,75',2:2,Header
Bundesliga,Ibrahima Konaté,SC Freiburg_H_1,13,3:0,26',1:0,Right-footed shot
Bundesliga,Santiago Ascacíbar,Bor. M'gladbach_H_1,9,2:2,23',1:0,Right-footed shot
Bundesliga,Shkodran Mustafi,TSG Hoffenheim_A_1,11,4:2,42',0:2,Header
Bundesliga,Reinhold Yabo,Hertha BSC_H_1,12,1:0,64',1:0,Left-footed shot
Bundesliga,Nassim Boujellab,FC Augsburg_A_1,11,2:2,61',1:2,Right-footed shot
Bundesliga,Luca Netz,VfB Stuttgart_A_1,10,1:1,82',1:1,Left-footed shot
Bundesliga,Ajdin Hrustic,1.FSV Mainz 05_H_1,12,1:1,85',1:1,Left-footed shot
Bundesliga,Georginio Rutter,Werder Bremen_H_1,11,4:0,90',4:0,Left-footed shot
Bundesliga,Florian Kainz,FC Augsburg_A_1,12,2:3,23',0:2,Right-footed shot
Bundesliga,Eren Dinkci,1.FSV Mainz 05_A_1,17,0:1,90',0:1,Header
Bundesliga,Ragnar Ache,SC Freiburg_H_1,10,3:1,90'+2,3:1,Right-footed shot
Bundesliga,Felix Passlack,SC Freiburg_H_1,5,4:0,90'+2,4:0,Right-footed shot
Bundesliga,Jóan Símun Edmundsson,1. FC Köln_H_1,12,1:0,78',1:0,Right-footed shot
Bundesliga,Mitchell Weiser,1. FC Köln_A_1,15,0:4,8',0:1,Left-footed shot
Bundesliga,Florian Flick,E. Frankfurt_H_1,5,4:3,60',3:2,Right-footed shot
Bundesliga,Blendi Idrizi,E. Frankfurt_H_1,5,4:3,53',2:2,Left-footed shot
Bundesliga,Ermin Bicakcic,FC Bayern_H_1,1,4:1,16',1:0,Header
