league,player,team_venue_goal_number,opponent_position,final_score,minute,current_score,goal_type
Bundesliga,Patrik Schick,FC Schalke 04_A_1,18,0:3,78',0:3,Left-footed shot
Bundesliga,Patrik Schick,1. FC Köln_A_1,15,0:4,54',0:3,Left-footed shot
Bundesliga,Patrik Schick,FC Bayern_H_1,2,1:2,14',1:0,Left-footed shot
Bundesliga,Patrik Schick,Werder Bremen_H_1,14,1:1,70',1:1,Left-footed shot
Bundesliga,Patrik Schick,1.FSV Mainz 05_H_1,17,2:2,84',2:0,Left-footed shot
Bundesliga,Patrik Schick,Bor. M'gladbach_A_1,9,0:1,76',0:1,Left-footed shot
Bundesliga,Patrik Schick,Arm. Bielefeld_H_1,16,1:2,85',1:2,Right-footed shot
Bundesliga,Patrik Schick,FC Schalke 04_H_1,18,2:1,72',2:0,Left-footed shot
Bundesliga,Jadon Sancho,VfL Wolfsburg_H_1,4,2:0,90'+1,2:0,Right-footed shot
Bundesliga,Jadon Sancho,RB Leipzig_A_1,2,1:3,55',0:1,Right-footed shot
Bundesliga,Jadon Sancho,FC Augsburg_H_1,12,3:1,63',2:1,Right-footed shot
Bundesliga,Jadon Sancho,TSG Hoffenheim_H_1,12,2:2,24',1:0,Right-footed shot
Bundesliga,Jadon Sancho,FC Schalke 04_A_1,18,0:4,42',0:1,Right-footed shot
Bundesliga,Jadon Sancho,Arm. Bielefeld_H_1,16,3:0,58',2:0,Penalty
Bundesliga,Jadon Sancho,RB Leipzig_H_1,2,3:2,51',2:0,Right-footed shot
Bundesliga,Marco Reus,TSG Hoffenheim_A_1,6,0:1,76',0:1,Left-footed shot
Bundesliga,Marco Reus,FC Bayern_H_1,1,2:3,45',1:0,Right-footed shot
Bundesliga,Marco Reus,Werder Bremen_A_1,13,1:2,78',1:2,Penalty rebound
Bundesliga,Marco Reus,VfB Stuttgart_A_1,8,2:3,52',1:2,Right-footed shot
Bundesliga,Marco Reus,Union Berlin_H_1,8,2:0,27',1:0,Right-footed shot
Bundesliga,Marco Reus,RB Leipzig_H_1,2,3:2,7',1:0,Left-footed shot
Bundesliga,Marco Reus,1.FSV Mainz 05_A_1,12,1:3,42',0:2,Right-footed shot
Bundesliga,Marco Reus,Bay. Leverkusen_H_1,6,3:1,51',2:0,Direct free kick
Bundesliga,Marcus Thuram,Union Berlin_H_1,14,1:1,56',1:0,Header
Bundesliga,Marcus Thuram,FC Schalke 04_H_1,18,4:1,52',3:1,Left-footed shot
Bundesliga,Marcus Thuram,Bor. Dortmund_H_1,4,4:2,79',4:2,Header
Bundesliga,Marcus Thuram,RB Leipzig_A_1,2,3:2,19',0:2,
Bundesliga,Marcus Thuram,SC Freiburg_H_1,8,2:1,53',1:1,Right-footed shot
Bundesliga,Marcus Thuram,Arm. Bielefeld_H_1,16,5:0,15',2:0,Left-footed shot
Bundesliga,Marcus Thuram,Werder Bremen_A_1,16,2:4,52',0:2,Right-footed shot
Bundesliga,Roland Sallai,VfB Stuttgart_A_1,9,2:3,26',0:2,Tap-in
Bundesliga,Roland Sallai,FC Schalke 04_A_1,18,0:2,50',0:1,Header
Bundesliga,Roland Sallai,1. FC Köln_H_1,15,5:0,59',3:0,Left-footed shot
Bundesliga,Roland Sallai,E. Frankfurt_H_1,7,2:2,32',1:1,Right-footed shot
Bundesliga,Roland Sallai,FC Augsburg_H_1,13,2:0,51',1:0,Right-footed shot
Bundesliga,Roland Sallai,Bor. M'gladbach_A_1,10,2:1,10',0:1,Right-footed shot
Bundesliga,Roland Sallai,FC Schalke 04_H_1,18,4:0,22',2:0,Penalty
Bundesliga,André Hahn,Union Berlin_A_1,7,1:3,89',1:3,Left-footed shot
Bundesliga,André Hahn,1.FSV Mainz 05_H_1,18,3:1,80',2:1,Right-footed shot
Bundesliga,André Hahn,Bor. Dortmund_A_1,7,3:1,10',0:1,Right-footed shot
Bundesliga,André Hahn,1.FSV Mainz 05_A_1,17,0:1,25',0:1,Right-footed shot
Bundesliga,André Hahn,Bor. M'gladbach_H_1,10,3:1,89',3:1,Right-footed shot
Bundesliga,André Hahn,TSG Hoffenheim_H_1,11,2:1,23',2:0,Right-footed shot
Bundesliga,André Hahn,FC Bayern_A_1,1,5:2,67',4:1,Header
Bundesliga,Marcel Sabitzer,Hertha BSC_H_1,15,2:1,77',2:1,Penalty
Bundesliga,Marcel Sabitzer,SC Freiburg_H_1,13,3:0,70',2:0,Penalty
Bundesliga,Marcel Sabitzer,Werder Bremen_H_1,13,2:0,26',1:0,Penalty
Bundesliga,Marcel Sabitzer,FC Schalke 04_A_1,18,0:3,73',0:2,Right-footed shot
Bundesliga,Marcel Sabitzer,Hertha BSC_A_1,15,0:3,28',0:1,Right-footed shot
Bundesliga,Marcel Sabitzer,Arm. Bielefeld_A_1,15,0:1,46',0:1,Right-footed shot
Bundesliga,Marcel Sabitzer,Werder Bremen_A_1,13,1:4,63',1:4,Right-footed shot
Bundesliga,Marcel Sabitzer,VfL Wolfsburg_H_1,3,2:2,78',2:2,Penalty
Bundesliga,Nils Petersen,VfB Stuttgart_A_1,9,2:3,8',0:1,Header
Bundesliga,Nils Petersen,VfL Wolfsburg_H_1,11,1:1,11',1:0,Header
Bundesliga,Nils Petersen,Bay. Leverkusen_H_1,4,2:4,72',2:3,Right-footed shot
Bundesliga,Nils Petersen,1.FSV Mainz 05_H_1,18,1:3,63',1:3,Left-footed shot
Bundesliga,Nils Petersen,Hertha BSC_H_1,12,4:1,90'+4,4:1,Penalty
Bundesliga,Nils Petersen,FC Bayern_A_1,1,2:1,62',1:1,Header
Bundesliga,Nils Petersen,E. Frankfurt_H_1,7,2:2,63',2:1,Left-footed shot
Bundesliga,Nils Petersen,1. FC Köln_A_1,17,1:4,18',0:1,Left-footed shot
Bundesliga,Ondrej Duda,E. Frankfurt_H_1,3,1:1,52',1:1,
Bundesliga,Ondrej Duda,VfL Wolfsburg_H_1,5,2:2,43',2:1,Right-footed shot
Bundesliga,Ondrej Duda,Union Berlin_A_1,7,2:1,45'+2,0:1,Penalty
Bundesliga,Ondrej Duda,Bor. Dortmund_H_1,5,2:2,35',1:1,Penalty
Bundesliga,Ondrej Duda,1.FSV Mainz 05_H_1,15,2:3,43',1:1,Penalty
Bundesliga,Ondrej Duda,FC Augsburg_A_1,12,2:3,8',0:1,Left-footed shot
Bundesliga,Matheus Cunha,Werder Bremen_A_1,17,1:4,62',0:3,Right-footed shot
Bundesliga,Matheus Cunha,FC Bayern_A_1,7,4:3,71',2:2,Right-footed shot
Bundesliga,Matheus Cunha,VfL Wolfsburg_H_1,10,1:1,6',1:0,Left-footed shot
Bundesliga,Matheus Cunha,FC Augsburg_A_1,6,0:3,44',0:1,Penalty
Bundesliga,Matheus Cunha,Bor. Dortmund_H_1,3,2:5,33',1:0,Right-footed shot
Bundesliga,Matheus Cunha,Bay. Leverkusen_H_1,6,3:0,26',2:0,Right-footed shot
Bundesliga,Emil Forsberg,1.FSV Mainz 05_H_1,12,3:1,17',1:0,Penalty
Bundesliga,Emil Forsberg,Bay. Leverkusen_A_1,10,1:1,14',0:1,Left-footed shot
Bundesliga,Emil Forsberg,FC Bayern_A_1,1,3:3,48',2:3,Header
Bundesliga,Emil Forsberg,Union Berlin_H_1,5,1:0,70',1:0,Right-footed shot
Bundesliga,Emil Forsberg,SC Freiburg_A_1,8,0:3,79',0:3,Right-footed shot
Bundesliga,Emil Forsberg,E. Frankfurt_H_1,4,1:1,46',1:0,Right-footed shot
Bundesliga,Emil Forsberg,VfB Stuttgart_H_1,10,2:0,67',2:0,Penalty
Bundesliga,Josip Brekalo,SC Freiburg_A_1,7,1:1,42',1:1,Direct free kick
Bundesliga,Josip Brekalo,VfB Stuttgart_H_1,7,1:0,49',1:0,Direct free kick
Bundesliga,Josip Brekalo,FC Schalke 04_H_1,18,5:0,64',4:0,Right-footed shot
Bundesliga,Josip Brekalo,1. FC Köln_H_1,16,1:0,69',1:0,Right-footed shot
Bundesliga,Josip Brekalo,Union Berlin_H_1,8,3:0,12',1:0,Right-footed shot
Bundesliga,Krzysztof Piatek,FC Augsburg_A_1,6,0:3,85',0:3,Right-footed shot
Bundesliga,Krzysztof Piatek,Union Berlin_H_1,6,3:1,74',2:1,Left-footed shot
Bundesliga,Krzysztof Piatek,FC Schalke 04_H_1,18,3:0,80',3:0,Right-footed shot
Bundesliga,Krzysztof Piatek,E. Frankfurt_A_1,6,3:1,66',0:1,Right-footed shot
Bundesliga,Krzysztof Piatek,FC Augsburg_H_1,13,2:1,62',1:1,Header
Bundesliga,Krzysztof Piatek,SC Freiburg_H_1,9,3:0,13',1:0,Right-footed shot
Bundesliga,Jhon Córdoba,Werder Bremen_A_1,17,1:4,90',1:4,Right-footed shot
Bundesliga,Jhon Córdoba,FC Bayern_A_1,7,4:3,59',2:1,Header
Bundesliga,Jhon Córdoba,RB Leipzig_A_1,1,2:1,8',0:1,Right-footed shot
Bundesliga,Jhon Córdoba,FC Schalke 04_H_1,18,3:0,52',2:0,Right-footed shot
Bundesliga,Jhon Córdoba,Werder Bremen_H_1,13,1:4,45'+2,1:2,Header
Bundesliga,Jhon Córdoba,Bay. Leverkusen_H_1,6,3:0,33',3:0,Left-footed shot
Bundesliga,Jhon Córdoba,Bor. M'gladbach_H_1,9,2:2,49',2:2,Left-footed shot
Bundesliga,Jean-Philippe Mateta,RB Leipzig_A_1,2,3:1,48',2:1,Right-footed shot
Bundesliga,Jean-Philippe Mateta,Bor. M'gladbach_H_1,11,2:3,23',1:1,Left-footed shot
Bundesliga,Jean-Philippe Mateta,FC Schalke 04_H_1,17,2:2,45'+2,2:1,Penalty
Bundesliga,Jean-Philippe Mateta,SC Freiburg_A_1,14,1:3,2',0:1,Right-footed shot
Bundesliga,Jonas Hofmann,VfL Wolfsburg_H_1,15,1:1,78',1:0,Penalty
Bundesliga,Jonas Hofmann,1.FSV Mainz 05_A_1,18,2:3,76',2:2,Penalty
Bundesliga,Jonas Hofmann,FC Bayern_H_1,1,3:2,35',1:2,Left-footed shot
Bundesliga,Jonas Hofmann,RB Leipzig_A_1,2,3:2,6',0:1,Penalty
Bundesliga,Jonas Hofmann,E. Frankfurt_H_1,4,4:0,60',2:0,Right-footed shot
Bundesliga,Leroy Sané,FC Schalke 04_H_1,18,8:0,71',7:0,Left-footed shot
Bundesliga,Leroy Sané,E. Frankfurt_H_1,4,5:0,72',4:0,Left-footed shot
Bundesliga,Leroy Sané,Bor. Dortmund_A_1,2,2:3,80',1:3,Counter attack goal
Bundesliga,Leroy Sané,1.FSV Mainz 05_H_1,17,5:2,55',2:2,Left-footed shot
Bundesliga,Leroy Sané,Bor. M'gladbach_H_1,7,6:0,85',6:0,Right-footed shot
Bundesliga,Leroy Sané,SC Freiburg_A_1,9,2:2,53',1:2,Left-footed shot
Bundesliga,Ridle Baku,Hertha BSC_A_1,15,1:1,20',1:1,Left-footed shot
Bundesliga,Ridle Baku,Werder Bremen_H_1,9,5:3,22',1:1,Left-footed shot
Bundesliga,Ridle Baku,Bay. Leverkusen_A_1,3,0:1,35',0:1,Header
Bundesliga,Ridle Baku,FC Augsburg_A_1,13,0:2,59',0:2,Right-footed shot
Bundesliga,Ridle Baku,FC Schalke 04_H_1,18,5:0,58',3:0,Right-footed shot
Bundesliga,Ridle Baku,E. Frankfurt_A_1,4,4:3,6',0:1,Left-footed shot
Bundesliga,Christopher Nkunku,Arm. Bielefeld_H_1,16,2:1,47',2:0,Right-footed shot
Bundesliga,Christopher Nkunku,FC Bayern_A_1,1,3:3,19',0:1,Counter attack goal
Bundesliga,Christopher Nkunku,Bay. Leverkusen_H_1,3,1:0,51',1:0,Right-footed shot
Bundesliga,Christopher Nkunku,FC Augsburg_H_1,13,2:1,43',2:0,Left-footed shot
Bundesliga,Christopher Nkunku,Bor. M'gladbach_H_1,8,3:2,57',1:2,Right-footed shot
Bundesliga,Christopher Nkunku,SC Freiburg_A_1,8,0:3,41',0:1,Right-footed shot
Bundesliga,Florian Neuhaus,FC Augsburg_H_1,10,1:1,5',1:0,Right-footed shot
Bundesliga,Florian Neuhaus,FC Schalke 04_H_1,18,4:1,15',1:0,Right-footed shot
Bundesliga,Florian Neuhaus,FC Bayern_H_1,1,3:2,49',3:2,Right-footed shot
Bundesliga,Florian Neuhaus,1. FC Köln_H_1,14,1:2,16',1:1,Right-footed shot
Bundesliga,Florian Neuhaus,FC Augsburg_A_1,13,3:1,68',1:1,Right-footed shot
Bundesliga,Florian Neuhaus,Werder Bremen_A_1,16,2:4,67',0:4,Right-footed shot
Bundesliga,Daniel Caligiuri,Bor. Dortmund_H_1,3,2:0,54',2:0,Right-footed shot
Bundesliga,Daniel Caligiuri,Bay. Leverkusen_A_1,9,3:1,51',1:1,Left-footed shot
Bundesliga,Daniel Caligiuri,Bor. M'gladbach_A_1,7,1:1,88',1:1,Right-footed shot
Bundesliga,Daniel Caligiuri,TSG Hoffenheim_A_1,12,3:1,31',1:1,Header
Bundesliga,Daniel Caligiuri,RB Leipzig_A_1,2,2:1,77',2:1,Penalty
Bundesliga,Daniel Caligiuri,Werder Bremen_H_1,15,2:0,90',2:0,Penalty
Bundesliga,Christoph Baumgartner,VfB Stuttgart_H_1,8,3:3,16',1:0,Right-footed shot
Bundesliga,Christoph Baumgartner,Bay. Leverkusen_A_1,2,4:1,50',2:1,Right-footed shot
Bundesliga,Christoph Baumgartner,1. FC Köln_H_1,16,3:0,28',2:0,Right-footed shot
Bundesliga,Christoph Baumgartner,Werder Bremen_H_1,11,4:0,44',2:0,Right-footed shot
Bundesliga,Christoph Baumgartner,VfL Wolfsburg_H_1,3,2:1,8',1:0,Right-footed shot
Bundesliga,Christoph Baumgartner,FC Schalke 04_H_1,18,4:2,60',3:2,Header
Bundesliga,Rubén Vargas,Union Berlin_A_1,7,1:3,40',0:1,Header
Bundesliga,Rubén Vargas,1.FSV Mainz 05_H_1,18,3:1,40',1:0,Right-footed shot
Bundesliga,Rubén Vargas,SC Freiburg_H_1,14,1:1,80',1:1,Right-footed shot
Bundesliga,Rubén Vargas,Bor. M'gladbach_H_1,10,3:1,52',1:0,Header
Bundesliga,Rubén Vargas,TSG Hoffenheim_H_1,11,2:1,8',1:0,Right-footed shot
Bundesliga,Rubén Vargas,1. FC Köln_H_1,17,2:3,62',2:3,Right-footed shot
Bundesliga,Robin Quaison,VfB Stuttgart_H_1,13,1:4,13',1:0,Header
Bundesliga,Robin Quaison,TSG Hoffenheim_H_1,12,1:1,33',1:0,Left-footed shot
Bundesliga,Robin Quaison,SC Freiburg_H_1,8,1:0,84',1:0,Left-footed shot
Bundesliga,Robin Quaison,FC Bayern_H_1,1,2:1,37',2:0,Header
Bundesliga,Robin Quaison,Bor. Dortmund_H_1,4,1:3,90'+1,1:3,Penalty
Bundesliga,Robin Quaison,VfL Wolfsburg_A_1,4,2:3,54',1:2,Right-footed shot
Bundesliga,Maximilian Philipp,FC Bayern_A_1,2,2:1,5',0:1,Right-footed shot
Bundesliga,Maximilian Philipp,FC Schalke 04_H_1,18,5:0,79',5:0,Right-footed shot
Bundesliga,Maximilian Philipp,FC Bayern_H_1,1,2:3,54',2:3,Right-footed shot
Bundesliga,Maximilian Philipp,RB Leipzig_A_1,2,2:2,11',0:1,Right-footed shot
Bundesliga,Maximilian Philipp,1.FSV Mainz 05_H_1,13,2:3,47',1:1,Right-footed shot
Bundesliga,Nicolás González,FC Schalke 04_A_1,17,1:1,56',1:1,Penalty
Bundesliga,Nicolás González,E. Frankfurt_H_1,10,2:2,17',1:0,Penalty
Bundesliga,Nicolás González,TSG Hoffenheim_A_1,13,3:3,18',1:1,Left-footed shot
Bundesliga,Nicolás González,Bor. Dortmund_A_1,4,1:5,90'+1,1:5,Left-footed shot
Bundesliga,Nicolás González,FC Augsburg_A_1,10,1:4,10',0:1,Penalty
Bundesliga,Nicolás González,Bor. M'gladbach_H_1,7,2:2,58',1:1,Header
Bundesliga,Alassane Plea,1. FC Köln_A_1,16,1:3,14',0:1,Right-footed shot
Bundesliga,Alassane Plea,SC Freiburg_A_1,14,2:2,50',2:2,Right-footed shot
Bundesliga,Alassane Plea,Union Berlin_A_1,8,1:1,59',1:1,Right-footed shot
Bundesliga,Alassane Plea,Hertha BSC_A_1,14,2:2,27',1:1,Right-footed shot
Bundesliga,Alassane Plea,TSG Hoffenheim_A_1,12,3:2,25',0:1,Left-footed shot
Bundesliga,Alassane Plea,Arm. Bielefeld_H_1,16,5:0,84',5:0,Right-footed shot
Bundesliga,Jamal Musiala,FC Schalke 04_H_1,18,8:0,81',8:0,Right-footed shot
Bundesliga,Jamal Musiala,E. Frankfurt_H_1,4,5:0,90',5:0,Right-footed shot
Bundesliga,Jamal Musiala,RB Leipzig_H_1,2,3:3,30',1:1,Right-footed shot
Bundesliga,Jamal Musiala,Union Berlin_H_1,7,1:1,68',1:0,Left-footed shot
Bundesliga,Jamal Musiala,VfL Wolfsburg_A_1,3,2:3,15',0:1,Right-footed shot
Bundesliga,Matthew Hoppe,TSG Hoffenheim_H_1,13,4:0,42',1:0,Left-footed shot
Bundesliga,Matthew Hoppe,E. Frankfurt_A_1,9,3:1,29',1:1,Right-footed shot
Bundesliga,Matthew Hoppe,1. FC Köln_H_1,16,1:2,57',1:1,Right-footed shot
Bundesliga,Matthew Hoppe,E. Frankfurt_H_1,5,4:3,64',4:2,Right-footed shot
Bundesliga,Joel Pohjanpalo,1.FSV Mainz 05_H_1,17,4:0,64',4:0,Right-footed shot
Bundesliga,Joel Pohjanpalo,TSG Hoffenheim_A_1,9,1:3,85',1:2,Right-footed shot
Bundesliga,Joel Pohjanpalo,Werder Bremen_H_1,15,3:1,50',1:0,Right-footed shot
Bundesliga,Joel Pohjanpalo,Bay. Leverkusen_A_1,6,1:1,72',1:1,Left-footed shot
Bundesliga,Niclas Füllkrug,FC Schalke 04_A_1,18,1:3,22',0:1,Right-footed shot
Bundesliga,Niclas Füllkrug,SC Freiburg_A_1,12,1:1,25',1:1,Penalty
Bundesliga,Niclas Füllkrug,FC Bayern_H_1,1,1:3,86',1:3,Right-footed shot
Bundesliga,Niclas Füllkrug,Bor. M'gladbach_H_1,8,2:4,83',2:4,Right-footed shot
Bundesliga,Daichi Kamada,TSG Hoffenheim_H_1,1,2:1,54',1:1,Right-footed shot
Bundesliga,Daichi Kamada,Bor. Dortmund_H_1,4,1:1,9',1:0,Left-footed shot
Bundesliga,Daichi Kamada,FC Bayern_H_1,1,2:1,12',1:0,Right-footed shot
Bundesliga,Daichi Kamada,RB Leipzig_A_1,2,1:1,61',1:1,Right-footed shot
Bundesliga,Daichi Kamada,VfL Wolfsburg_H_1,3,4:3,8',1:1,Right-footed shot
Bundesliga,Kingsley Coman,Werder Bremen_H_1,9,1:1,62',1:1,Header
Bundesliga,Kingsley Coman,VfB Stuttgart_A_1,8,1:3,38',1:1,Right-footed shot
Bundesliga,Kingsley Coman,Hertha BSC_A_1,15,0:1,21',0:1,Right-footed shot
Bundesliga,Kingsley Coman,Bor. M'gladbach_H_1,7,6:0,44',4:0,Right-footed shot
Bundesliga,Kingsley Coman,FC Augsburg_H_1,12,5:2,43',4:0,Right-footed shot
Bundesliga,Raphaël Guerreiro,Hertha BSC_A_1,12,2:5,70',1:4,Left-footed shot
Bundesliga,Raphaël Guerreiro,Werder Bremen_A_1,13,1:2,12',0:1,Left-footed shot
Bundesliga,Raphaël Guerreiro,FC Schalke 04_A_1,18,0:4,60',0:3,Left-footed shot
Bundesliga,Raphaël Guerreiro,Union Berlin_H_1,8,2:0,88',2:0,Left-footed shot
Bundesliga,Raphaël Guerreiro,1.FSV Mainz 05_A_1,12,1:3,23',0:1,Left-footed shot
Bundesliga,Dani Olmo,Werder Bremen_H_1,13,2:0,41',2:0,Right-footed shot
Bundesliga,Dani Olmo,VfB Stuttgart_A_1,7,0:1,67',0:1,Right-footed shot
Bundesliga,Dani Olmo,FC Augsburg_H_1,13,2:1,38',1:0,Penalty
Bundesliga,Dani Olmo,Werder Bremen_A_1,13,1:4,23',0:1,Right-footed shot
Bundesliga,Dani Olmo,Bor. Dortmund_A_1,5,3:2,77',2:2,Right-footed shot
Bundesliga,Ermedin Demirovic,Hertha BSC_H_1,12,4:1,59',2:1,Right-footed shot
Bundesliga,Ermedin Demirovic,1. FC Köln_H_1,15,5:0,18',1:0,Header
Bundesliga,Ermedin Demirovic,VfB Stuttgart_H_1,10,2:1,14',1:1,Right-footed shot
Bundesliga,Ermedin Demirovic,Bay. Leverkusen_A_1,5,1:2,50',0:1,Right-footed shot
Bundesliga,Ermedin Demirovic,1. FC Köln_A_1,17,1:4,20',0:2,Right-footed shot
Bundesliga,Leon Goretzka,FC Schalke 04_H_1,18,8:0,19',2:0,Right-footed shot
Bundesliga,Leon Goretzka,Bor. M'gladbach_A_1,7,3:2,26',0:2,Right-footed shot
Bundesliga,Leon Goretzka,Bor. Dortmund_H_1,5,4:2,88',3:2,Right-footed shot
Bundesliga,Leon Goretzka,Werder Bremen_A_1,12,1:3,23',0:1,Header
Bundesliga,Leon Goretzka,RB Leipzig_A_1,2,0:1,38',0:1,Right-footed shot
Bundesliga,Breel Embolo,SC Freiburg_A_1,14,2:2,23',0:1,Left-footed shot
Bundesliga,Breel Embolo,Hertha BSC_H_1,12,1:1,70',1:1,
Bundesliga,Breel Embolo,Arm. Bielefeld_A_1,16,0:1,58',0:1,Right-footed shot
Bundesliga,Breel Embolo,Arm. Bielefeld_H_1,16,5:0,6',1:0,Right-footed shot
Bundesliga,Florian Wirtz,TSG Hoffenheim_H_1,10,4:1,55',3:1,Right-footed shot
Bundesliga,Florian Wirtz,1. FC Köln_A_1,15,0:4,59',0:4,Right-footed shot
Bundesliga,Florian Wirtz,Bor. Dortmund_H_1,4,2:1,80',2:1,Right-footed shot
Bundesliga,Florian Wirtz,VfB Stuttgart_H_1,10,5:2,68',4:1,Header
Bundesliga,Florian Wirtz,Union Berlin_H_1,8,1:1,26',1:0,Left-footed shot
Bundesliga,Dodi Lukebakio,Werder Bremen_A_1,17,1:4,45'+2,0:2,Left-footed shot
Bundesliga,Dodi Lukebakio,FC Augsburg_A_1,6,0:3,51',0:2,Left-footed shot
Bundesliga,Dodi Lukebakio,SC Freiburg_A_1,11,4:1,52',1:1,Left-footed shot
Bundesliga,Dodi Lukebakio,FC Augsburg_H_1,13,2:1,89',2:1,Penalty
Bundesliga,Dodi Lukebakio,Union Berlin_A_1,7,1:1,35',1:1,Penalty
Bundesliga,Yussuf Poulsen,1.FSV Mainz 05_H_1,12,3:1,21',2:0,Header
Bundesliga,Yussuf Poulsen,FC Augsburg_A_1,2,0:2,66',0:2,Left-footed shot
Bundesliga,Yussuf Poulsen,E. Frankfurt_A_1,11,1:1,57',1:1,Right-footed shot
Bundesliga,Yussuf Poulsen,TSG Hoffenheim_A_1,12,0:1,60',0:1,Right-footed shot
Bundesliga,Yussuf Poulsen,Bor. M'gladbach_H_1,8,3:2,66',2:2,Right-footed shot
Bundesliga,Florian Niederlechner,Union Berlin_H_1,6,2:1,17',1:0,Right-footed shot
Bundesliga,Florian Niederlechner,Bay. Leverkusen_H_1,5,1:1,5',1:0,Right-footed shot
Bundesliga,Florian Niederlechner,VfB Stuttgart_A_1,10,2:1,59',1:1,Header
Bundesliga,Florian Niederlechner,FC Bayern_A_1,1,5:2,72',4:2,Right-footed shot
Bundesliga,Renato Steffen,TSG Hoffenheim_H_1,12,2:1,5',1:0,Counter attack goal
Bundesliga,Renato Steffen,Union Berlin_A_1,5,2:2,10',0:1,Header
Bundesliga,Renato Steffen,RB Leipzig_H_1,2,2:2,35',2:1,Left-footed shot
Bundesliga,Renato Steffen,Arm. Bielefeld_A_1,16,0:3,29',0:1,Left-footed shot
Bundesliga,Ritsu Doan,FC Bayern_H_1,4,1:4,58',1:4,Counter attack goal
Bundesliga,Ritsu Doan,1.FSV Mainz 05_H_1,16,2:1,31',2:0,Left-footed shot
Bundesliga,Ritsu Doan,VfB Stuttgart_H_1,10,3:0,86',3:0,Right-footed shot
Bundesliga,Ritsu Doan,Bay. Leverkusen_A_1,5,1:2,17',0:1,Left-footed shot
Bundesliga,Ritsu Doan,VfB Stuttgart_A_1,9,0:2,72',0:2,Left-footed shot
Bundesliga,Ellyes Skhiri,Union Berlin_H_1,5,1:2,36',1:1,Header
Bundesliga,Ellyes Skhiri,Bor. Dortmund_A_1,2,1:2,9',0:1,Right-footed shot
Bundesliga,Ellyes Skhiri,FC Bayern_A_1,1,5:1,49',2:1,Right-footed shot
Bundesliga,Ellyes Skhiri,1.FSV Mainz 05_H_1,15,2:3,61',2:1,Header
Bundesliga,Taiwo Awoniyi,1. FC Köln_A_1,16,1:2,27',0:1,Right-footed shot
Bundesliga,Taiwo Awoniyi,Hertha BSC_A_1,13,3:1,20',0:1,Left-footed shot
Bundesliga,Taiwo Awoniyi,VfB Stuttgart_A_1,7,2:2,77',0:2,Header
Bundesliga,Taiwo Awoniyi,Bor. Dortmund_H_1,4,2:1,57',1:0,Header
Bundesliga,Taiwo Awoniyi,Werder Bremen_A_1,13,0:2,28',0:2,Right-footed shot
Bundesliga,Fabian Klos,RB Leipzig_A_1,4,2:1,75',2:1,Left-footed shot
Bundesliga,Fabian Klos,FC Schalke 04_A_1,18,0:1,53',0:1,Header
Bundesliga,Fabian Klos,VfB Stuttgart_H_1,10,3:0,27',1:0,Right-footed shot
Bundesliga,Fabian Klos,FC Schalke 04_H_1,18,1:0,50',1:0,Left-footed shot
Bundesliga,Fabian Klos,VfB Stuttgart_A_1,9,0:2,66',0:1,Penalty
Bundesliga,Marvin Friedrich,1.FSV Mainz 05_H_1,17,4:0,63',3:0,Header
Bundesliga,Marvin Friedrich,FC Schalke 04_A_1,18,1:1,55',0:1,Header
Bundesliga,Marvin Friedrich,VfB Stuttgart_A_1,7,2:2,4',0:1,Header
Bundesliga,Marvin Friedrich,Bor. Dortmund_H_1,4,2:1,78',2:1,Header
Bundesliga,Marvin Friedrich,RB Leipzig_H_1,2,2:1,67',1:1,Right-footed shot
Bundesliga,Josh Sargent,E. Frankfurt_A_1,8,1:1,51',0:1,
Bundesliga,Josh Sargent,Hertha BSC_A_1,14,1:4,77',1:4,Right-footed shot
Bundesliga,Josh Sargent,E. Frankfurt_H_1,4,2:1,62',2:1,Right-footed shot
Bundesliga,Josh Sargent,1. FC Köln_A_1,14,1:1,66',0:1,Header
Bundesliga,Josh Sargent,Arm. Bielefeld_A_1,16,0:2,47',0:1,Right-footed shot
Bundesliga,Elvis Rexhbecaj,Bor. M'gladbach_H_1,15,1:3,84',1:3,Left-footed shot
Bundesliga,Elvis Rexhbecaj,1.FSV Mainz 05_A_1,17,0:1,55',0:1,Left-footed shot
Bundesliga,Elvis Rexhbecaj,Arm. Bielefeld_H_1,15,3:1,62',3:0,Left-footed shot
Bundesliga,Elvis Rexhbecaj,Bor. M'gladbach_A_1,7,1:2,3',0:1,Left-footed shot
Bundesliga,Alexander Sörloth,Bor. Dortmund_H_1,4,1:3,89',1:3,Tap-in
Bundesliga,Alexander Sörloth,Bor. M'gladbach_H_1,8,3:2,90'+3,3:2,Header
Bundesliga,Alexander Sörloth,SC Freiburg_A_1,8,0:3,64',0:2,Left-footed shot
Bundesliga,Alexander Sörloth,Werder Bremen_A_1,13,1:4,32',0:2,Header
Bundesliga,Robert Andrich,SC Freiburg_H_1,12,1:1,36',1:1,Right-footed shot
Bundesliga,Robert Andrich,Arm. Bielefeld_H_1,15,5:0,13',2:0,Left-footed shot
Bundesliga,Robert Andrich,E. Frankfurt_H_1,11,3:3,2',1:0,Right-footed shot
Bundesliga,Robert Andrich,VfL Wolfsburg_H_1,6,2:2,52',2:1,Direct free kick
Bundesliga,Robert Andrich,Hertha BSC_H_1,14,1:1,10',1:0,Left-footed shot
