player,goal_involvement(goals + assists),goals,assists,minutes_played,games_played,minutes_per_goal_involvement,games_per_goal_involvement,minutes_per_goal,games_per_assist,Chest,Counter attack goal,Deflected shot on goal,Direct free kick,Header,Left-footed shot,Long distance kick,Penalty,Right-footed shot,Solo run,Tap-in
Dennis Praet,2.0,1.0,1.0,438,9,219.0,4.5,438.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Donny van de Beek,2.0,1.0,1.0,321,13,160.5,6.5,321.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Eddie Nketiah,2.0,1.0,1.0,188,8,94.0,4.0,188.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Gary Cahill,2.0,1.0,1.0,810,9,405.0,4.5,810.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Jonjo Shelvey,2.0,1.0,1.0,1332,15,666.0,7.5,1332.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Jordan Henderson,2.0,1.0,1.0,756,9,378.0,4.5,756.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Joël Veltman,2.0,1.0,1.0,1175,15,587.5,7.5,1175.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Juan Mata,2.0,1.0,1.0,253,5,126.5,2.5,253.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Keinan Davis,2.0,1.0,1.0,96,8,48.0,4.0,96.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Kyle Walker,2.0,1.0,1.0,943,12,471.5,6.0,943.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Matthew Lowton,2.0,1.0,1.0,1350,15,675.0,7.5,1350.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Nathan Tella,2.0,1.0,1.0,193,5,96.5,2.5,193.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Oriol Romeu,2.0,1.0,1.0,985,11,492.5,5.5,985.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Reece James,2.0,1.0,1.0,1126,16,563.0,8.0,1126.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Tyler Roberts,2.0,1.0,1.0,716,15,358.0,7.5,716.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Tyrick Mitchell,2.0,1.0,1.0,720,8,360.0,4.0,720.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Willy Boly,2.0,1.0,1.0,810,9,405.0,4.5,810.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Alexis Mac Allister,1.0,1.0,0.0,451,9,451.0,9.0,451.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Alisson,1.0,1.0,0.0,1440,16,1440.0,16.0,1440.0,inf,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Elanga,1.0,1.0,0.0,90,1,90.0,1.0,90.0,inf,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Ben Johnson,1.0,1.0,0.0,336,6,336.0,6.0,336.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Callum Robinson,1.0,1.0,0.0,637,14,637.0,14.0,637.0,inf,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Carlos Vinícius,1.0,1.0,0.0,212,7,212.0,7.0,212.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Craig Dawson,1.0,1.0,0.0,1116,13,1116.0,13.0,1116.0,inf,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Curtis Jones,1.0,1.0,0.0,561,12,561.0,12.0,561.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Daniel Amartey,1.0,1.0,0.0,298,5,298.0,5.0,298.0,inf,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Dwight Gayle,1.0,1.0,0.0,308,9,308.0,9.0,308.0,inf,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Fabian Schär,1.0,1.0,0.0,601,9,601.0,9.0,601.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Fábio Carvalho,1.0,1.0,0.0,180,2,180.0,2.0,180.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Georginio Wijnaldum,1.0,1.0,0.0,1515,20,1515.0,20.0,1515.0,inf,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ivan Cavaleiro,1.0,1.0,0.0,973,16,973.0,16.0,973.0,inf,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Jean-Philippe Mateta,1.0,1.0,0.0,101,3,101.0,3.0,101.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Jeffrey Schlupp,1.0,1.0,0.0,821,13,821.0,13.0,821.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Kalvin Phillips,1.0,1.0,0.0,1123,13,1123.0,13.0,1123.0,inf,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karlan Grant,1.0,1.0,0.0,607,10,607.0,10.0,607.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Kortney Hause,1.0,1.0,0.0,360,4,360.0,4.0,360.0,inf,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Luka Milivojevic,1.0,1.0,0.0,1143,15,1143.0,15.0,1143.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Marcos Alonso,1.0,1.0,0.0,599,9,599.0,9.0,599.0,inf,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Mohamed Elneny,1.0,1.0,0.0,920,13,920.0,13.0,920.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Morgan Gibbs-White,1.0,1.0,0.0,167,5,167.0,5.0,167.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Moussa Djenepo,1.0,1.0,0.0,433,13,433.0,13.0,433.0,inf,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Nathaniel Phillips,1.0,1.0,0.0,990,11,990.0,11.0,990.0,inf,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Rayan Aït Nouri,1.0,1.0,0.0,799,11,799.0,11.0,799.0,inf,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Ross Barkley,1.0,1.0,0.0,608,11,608.0,11.0,608.0,inf,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Fredericks,1.0,1.0,0.0,340,8,340.0,8.0,340.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Scott McTominay,1.0,1.0,0.0,703,15,703.0,15.0,703.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Semi Ajayi,1.0,1.0,0.0,1115,14,1115.0,14.0,1115.0,inf,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Solly March,1.0,1.0,0.0,778,9,778.0,9.0,778.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Thiago,1.0,1.0,0.0,887,12,887.0,12.0,887.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Thiago Silva,1.0,1.0,0.0,912,11,912.0,11.0,912.0,inf,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Tom Cairney,1.0,1.0,0.0,515,6,515.0,6.0,515.0,inf,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Willian José,1.0,1.0,0.0,605,8,605.0,8.0,605.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Yerry Mina,1.0,1.0,0.0,1138,13,1138.0,13.0,1138.0,inf,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
