player,goal_involvement(goals + assists),goals,assists,minutes_played,games_played,minutes_per_goal_involvement,games_per_goal_involvement,minutes_per_goal,games_per_assist,away_goals,home_goals,Chest,Counter attack goal,Direct corner,Direct free kick,Header,Left-footed shot,Long distance kick,Penalty,Penalty rebound,Right-footed shot,Tap-in
Luke Thomas,1.0,1.0,0.0,450,6,450.0,6.0,450.0,inf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Manuel Lanzini,1.0,1.0,0.0,139,7,139.0,7.0,139.0,inf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Marcos Alonso,1.0,1.0,0.0,360,4,360.0,4.0,360.0,inf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Martin Ødegaard,1.0,1.0,0.0,582,9,582.0,9.0,582.0,inf,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Mason Holgate,1.0,1.0,0.0,1360,16,1360.0,16.0,1360.0,inf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Nathan Aké,1.0,1.0,0.0,347,5,347.0,5.0,347.0,inf,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Nélson Semedo,1.0,1.0,0.0,1597,18,1597.0,18.0,1597.0,inf,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Olivier Giroud,1.0,1.0,0.0,271,6,271.0,6.0,271.0,inf,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Pascal Struijk,1.0,1.0,0.0,900,11,900.0,11.0,900.0,inf,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Paul Dummett,1.0,1.0,0.0,540,6,540.0,6.0,540.0,inf,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Robbie Brady,1.0,1.0,0.0,575,10,575.0,10.0,575.0,inf,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Rodri,1.0,1.0,0.0,1295,16,1295.0,16.0,1295.0,inf,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Romain Saïss,1.0,1.0,0.0,1170,13,1170.0,13.0,1170.0,inf,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Ruben Loftus-Cheek,1.0,1.0,0.0,921,16,921.0,16.0,921.0,inf,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Rúben Dias,1.0,1.0,0.0,1350,15,1350.0,15.0,1350.0,inf,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Scott Dann,1.0,1.0,0.0,450,5,450.0,5.0,450.0,inf,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Semi Ajayi,1.0,1.0,0.0,1665,19,1665.0,19.0,1665.0,inf,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Steven Alzate,1.0,1.0,0.0,599,10,599.0,10.0,599.0,inf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Stuart Armstrong,1.0,1.0,0.0,1381,17,1381.0,17.0,1381.0,inf,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Takumi Minamino,1.0,1.0,0.0,252,7,252.0,7.0,252.0,inf,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Thiago Silva,1.0,1.0,0.0,1026,12,1026.0,12.0,1026.0,inf,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Toby Alderweireld,1.0,1.0,0.0,1071,12,1071.0,12.0,1071.0,inf,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Victor Lindelöf,1.0,1.0,0.0,1416,16,1416.0,16.0,1416.0,inf,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Virgil van Dijk,1.0,1.0,0.0,281,4,281.0,4.0,281.0,inf,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Yerry Mina,1.0,1.0,0.0,801,11,801.0,11.0,801.0,inf,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Yves Bissouma,1.0,1.0,0.0,1540,18,1540.0,18.0,1540.0,inf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
