player,goal_involvement(goals + assists),goals,assists,minutes_played,games_played,minutes_per_goal_involvement,games_per_goal_involvement,minutes_per_goal,games_per_assist,away_goals,home_goals,Chest,Counter attack goal,Direct corner,Direct free kick,Header,Left-footed shot,Long distance kick,Penalty,Penalty rebound,Right-footed shot,Tap-in
Tariq Lamptey,3.0,1.0,2.0,304,4,101.3,1.3,304.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Wilfred Ndidi,3.0,1.0,2.0,1025,12,341.7,4.0,1025.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Aleksandar Mitrovic,2.0,2.0,0.0,455,13,227.5,6.5,227.5,inf,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Craig Dawson,2.0,2.0,0.0,810,9,405.0,4.5,405.0,inf,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Hal Robson-Kanu,2.0,2.0,0.0,394,11,197.0,5.5,197.0,inf,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Ivan Cavaleiro,2.0,2.0,0.0,1504,20,752.0,10.0,752.0,inf,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Mateusz Klich,2.0,2.0,0.0,1101,17,550.5,8.5,550.5,inf,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Mbaye Diagne,2.0,2.0,0.0,478,7,239.0,3.5,239.0,inf,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Michy Batshuayi,2.0,2.0,0.0,111,7,55.5,3.5,55.5,inf,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Raúl Jiménez,2.0,2.0,0.0,375,5,187.5,2.5,187.5,inf,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Rodrigo,2.0,2.0,0.0,455,12,227.5,6.0,227.5,inf,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Rúben Neves,2.0,2.0,0.0,1517,20,758.5,10.0,758.5,inf,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Abdoulaye Doucouré,2.0,1.0,1.0,1116,13,558.0,6.5,1116.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Allan Saint-Maximin,2.0,1.0,1.0,948,14,474.0,7.0,948.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Bukayo Saka,2.0,1.0,1.0,1092,14,546.0,7.0,1092.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Callum Hudson-Odoi,2.0,1.0,1.0,385,9,192.5,4.5,385.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Dwight McNeil,2.0,1.0,1.0,1565,19,782.5,9.5,1565.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Ferran Torres,2.0,1.0,1.0,540,11,270.0,5.5,540.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Fábio Silva,2.0,1.0,1.0,788,18,394.0,9.0,788.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Giovani Lo Celso,2.0,1.0,1.0,370,7,185.0,3.5,370.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Granit Xhaka,2.0,1.0,1.0,1207,14,603.5,7.0,1207.0,14.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Héctor Bellerín,2.0,1.0,1.0,997,12,498.5,6.0,997.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Hélder Costa,2.0,1.0,1.0,674,13,337.0,6.5,674.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Joe Bryan,2.0,1.0,1.0,391,9,195.5,4.5,391.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan Ayew,2.0,1.0,1.0,1167,19,583.5,9.5,1167.0,19.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
João Moutinho,2.0,1.0,1.0,1383,17,691.5,8.5,1383.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Mario Lemina,2.0,1.0,1.0,1030,16,515.0,8.0,1030.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Matej Vydra,2.0,1.0,1.0,703,16,351.5,8.0,703.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Michael Keane,2.0,1.0,1.0,1360,16,680.0,8.0,1360.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Miguel Almirón,2.0,1.0,1.0,1328,20,664.0,10.0,1328.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Oliver Burke,2.0,1.0,1.0,828,15,414.0,7.5,828.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Oliver McBurnie,2.0,1.0,1.0,798,14,399.0,7.0,798.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Paul Pogba,2.0,1.0,1.0,849,13,424.5,6.5,849.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Pierre-Emile Höjbjerg,2.0,1.0,1.0,1620,18,810.0,9.0,1620.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Sander Berge,2.0,1.0,1.0,687,9,343.5,4.5,687.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Serge Aurier,2.0,1.0,1.0,1009,12,504.5,6.0,1009.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Solly March,2.0,1.0,1.0,896,12,448.0,6.0,896.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Tanguy Ndombélé,2.0,1.0,1.0,936,15,468.0,7.5,936.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Theo Walcott,2.0,1.0,1.0,880,11,440.0,5.5,880.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Adam Lallana,1.0,1.0,0.0,727,15,727.0,15.0,727.0,inf,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Adam Webster,1.0,1.0,0.0,1440,16,1440.0,16.0,1440.0,inf,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Andy Carroll,1.0,1.0,0.0,231,9,231.0,9.0,231.0,inf,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Angelo Ogbonna,1.0,1.0,0.0,990,11,990.0,11.0,990.0,inf,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Rüdiger,1.0,1.0,0.0,720,8,720.0,8.0,720.0,inf,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Ashley Barnes,1.0,1.0,0.0,649,11,649.0,11.0,649.0,inf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Ben Osborn,1.0,1.0,0.0,945,13,945.0,13.0,945.0,inf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Benjamin Mendy,1.0,1.0,0.0,405,5,405.0,5.0,405.0,inf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Bernard,1.0,1.0,0.0,207,5,207.0,5.0,207.0,inf,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Caglar Söyüncü,1.0,1.0,0.0,688,9,688.0,9.0,688.0,inf,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Cheikhou Kouyaté,1.0,1.0,0.0,1592,18,1592.0,18.0,1592.0,inf,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Christian Pulisic,1.0,1.0,0.0,999,16,999.0,16.0,999.0,inf,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Ciaran Clark,1.0,1.0,0.0,994,12,994.0,12.0,994.0,inf,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Conor Coady,1.0,1.0,0.0,1800,20,1800.0,20.0,1800.0,inf,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Dan Burn,1.0,1.0,0.0,1191,15,1191.0,15.0,1191.0,inf,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Daniel James,1.0,1.0,0.0,548,7,548.0,7.0,548.0,inf,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Daniel Jebbison,1.0,1.0,0.0,90,1,90.0,1.0,90.0,inf,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
David Luiz,1.0,1.0,0.0,778,11,778.0,11.0,778.0,inf,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Diego Llorente,1.0,1.0,0.0,621,7,621.0,7.0,621.0,inf,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Eddie Nketiah,1.0,1.0,0.0,226,9,226.0,9.0,226.0,inf,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Emil Krafth,1.0,1.0,0.0,647,8,647.0,8.0,647.0,inf,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Erik Lamela,1.0,1.0,0.0,346,9,346.0,9.0,346.0,inf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Fabián Balbuena,1.0,1.0,0.0,748,9,748.0,9.0,748.0,inf,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Fred,1.0,1.0,0.0,1300,16,1300.0,16.0,1300.0,inf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Georginio Wijnaldum,1.0,1.0,0.0,1433,18,1433.0,18.0,1433.0,inf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Grady Diangana,1.0,1.0,0.0,763,13,763.0,13.0,763.0,inf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Hakim Ziyech,1.0,1.0,0.0,525,11,525.0,11.0,525.0,inf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
James Tarkowski,1.0,1.0,0.0,1710,19,1710.0,19.0,1710.0,inf,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Jan Bednarek,1.0,1.0,0.0,1706,19,1706.0,19.0,1706.0,inf,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Jannik Vestergaard,1.0,1.0,0.0,1180,14,1180.0,14.0,1180.0,inf,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Jimmy Dunne,1.0,1.0,0.0,90,1,90.0,1.0,90.0,inf,1.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Joachim Andersen,1.0,1.0,0.0,1588,18,1588.0,18.0,1588.0,inf,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
John Stones,1.0,1.0,0.0,810,9,810.0,9.0,810.0,inf,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Kean Bryan,1.0,1.0,0.0,414,6,414.0,6.0,414.0,inf,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Kurt Zouma,1.0,1.0,0.0,947,12,947.0,12.0,947.0,inf,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Kyle Bartley,1.0,1.0,0.0,1419,17,1419.0,17.0,1419.0,inf,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Leander Dendoncker,1.0,1.0,0.0,1147,17,1147.0,17.0,1147.0,inf,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Lewis Dunk,1.0,1.0,0.0,1530,17,1530.0,17.0,1530.0,inf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Liam Cooper,1.0,1.0,0.0,1017,12,1017.0,12.0,1017.0,inf,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
