player,goal_involvement(goals + assists),goals,assists,minutes_played,games_played,minutes_per_goal_involvement,games_per_goal_involvement,minutes_per_goal,games_per_assist,Chest,Counter attack goal,Direct free kick,Header,Left-footed shot,Long distance kick,Penalty,Penalty rebound,Right-footed shot,Tap-in
Youri Tielemans,3.0,2.0,1.0,1077,12,359.0,4.0,538.5,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Ademola Lookman,3.0,1.0,2.0,892,11,297.3,3.7,892.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Jeffrey Schlupp,3.0,1.0,2.0,470,9,156.7,3.0,470.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Kevin De Bruyne,3.0,1.0,2.0,509,6,169.7,2.0,509.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tariq Lamptey,3.0,1.0,2.0,259,3,86.3,1.0,259.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Wilfred Ndidi,3.0,1.0,2.0,803,9,267.7,3.0,803.0,4.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Anwar El Ghazi,2.0,2.0,0.0,503,10,251.5,5.0,251.5,inf,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Joelinton,2.0,2.0,0.0,835,12,417.5,6.0,417.5,inf,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Mbaye Diagne,2.0,2.0,0.0,326,4,163.0,2.0,163.0,inf,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Richarlison,2.0,2.0,0.0,973,11,486.5,5.5,486.5,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Rodrigo,2.0,2.0,0.0,313,8,156.5,4.0,156.5,inf,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Tomas Soucek,2.0,2.0,0.0,1080,12,540.0,6.0,540.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Wilfried Zaha,2.0,2.0,0.0,855,10,427.5,5.0,427.5,inf,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Abdoulaye Doucouré,2.0,1.0,1.0,756,9,378.0,4.5,756.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Andrew Robertson,2.0,1.0,1.0,866,10,433.0,5.0,866.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Andros Townsend,2.0,1.0,1.0,781,11,390.5,5.5,781.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
