player,goal_involvement(goals + assists),goals,assists,minutes_played,games_played,minutes_per_goal_involvement,games_per_goal_involvement,minutes_per_goal,games_per_assist,Counter attack goal,Direct free kick,Header,Left-footed shot,Penalty,Right-footed shot,Solo run,Tap-in
Gabriel Jesus,2.0,2.0,0.0,390,5,195.0,2.5,195.0,inf,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Hélder Costa,2.0,2.0,0.0,165,3,82.5,1.5,82.5,inf,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Joe Willock,2.0,2.0,0.0,278,4,139.0,2.0,139.0,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Marcus Rashford,2.0,2.0,0.0,381,6,190.5,3.0,190.5,inf,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Michail Antonio,2.0,2.0,0.0,248,3,124.0,1.5,124.0,inf,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Mohamed Salah,2.0,2.0,0.0,534,6,267.0,3.0,267.0,inf,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Nicolas Pépé,2.0,2.0,0.0,248,5,124.0,2.5,124.0,inf,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Rodrigo,2.0,2.0,0.0,230,5,115.0,2.5,115.0,inf,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Tammy Abraham,2.0,2.0,0.0,219,4,109.5,2.0,109.5,inf,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Tomas Soucek,2.0,2.0,0.0,540,6,270.0,3.0,270.0,inf,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Trezeguet,2.0,2.0,0.0,202,3,101.0,1.5,101.0,inf,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Abdoulaye Doucouré,2.0,1.0,1.0,477,6,238.5,3.0,477.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Adama Traoré,2.0,1.0,1.0,458,6,229.0,3.0,458.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Anthony Martial,2.0,1.0,1.0,421,5,210.5,2.5,421.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Conor Hourihane,2.0,1.0,1.0,139,2,69.5,1.0,139.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Emile Smith Rowe,2.0,1.0,1.0,230,3,115.0,1.5,230.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Gylfi Sigurdsson,2.0,1.0,1.0,290,6,145.0,3.0,290.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
James Justin,2.0,1.0,1.0,360,4,180.0,2.0,360.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
James Rodríguez,2.0,1.0,1.0,298,4,149.0,2.0,298.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
James Ward-Prowse,2.0,1.0,1.0,540,6,270.0,3.0,540.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
