player,goal_involvement(goals + assists),goals,assists,minutes_played,games_played,minutes_per_goal_involvement,games_per_goal_involvement,minutes_per_goal,games_per_assist,away_goals,home_goals,Counter attack goal,Direct free kick,Header,Left-footed shot,Penalty,Penalty rebound,Right-footed shot
Daniel Podence,2.0,1.0,1.0,358,5,179.0,2.5,358.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Danny Welbeck,2.0,1.0,1.0,295,4,147.5,2.0,295.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Emile Smith Rowe,2.0,1.0,1.0,255,4,127.5,2.0,255.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Gabriel Jesus,2.0,1.0,1.0,358,5,179.0,2.5,358.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Giovani Lo Celso,2.0,1.0,1.0,169,4,84.5,2.0,169.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Jack Harrison,2.0,1.0,1.0,459,6,229.5,3.0,459.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Marcus Rashford,2.0,1.0,1.0,523,6,261.5,3.0,523.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Michael Keane,2.0,1.0,1.0,720,8,360.0,4.0,720.0,8.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Oliver Burke,2.0,1.0,1.0,304,6,152.0,3.0,304.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Pascal Groß,2.0,1.0,1.0,476,7,238.0,3.5,476.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Pierre-Emerick Aubameyang,2.0,1.0,1.0,514,6,257.0,3.0,514.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Pierre-Emile Höjbjerg,2.0,1.0,1.0,720,8,360.0,4.0,720.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Sander Berge,2.0,1.0,1.0,282,4,141.0,2.0,282.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Serge Aurier,2.0,1.0,1.0,585,7,292.5,3.5,585.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Tanguy Ndombélé,2.0,1.0,1.0,500,7,250.0,3.5,500.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Youri Tielemans,2.0,1.0,1.0,717,8,358.5,4.0,717.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Adam Webster,1.0,1.0,0.0,630,7,630.0,7.0,630.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Allan Saint-Maximin,1.0,1.0,0.0,493,6,493.0,6.0,493.0,inf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Andros Townsend,1.0,1.0,0.0,535,7,535.0,7.0,535.0,inf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Ashley Barnes,1.0,1.0,0.0,332,4,332.0,4.0,332.0,inf,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Bernard,1.0,1.0,0.0,135,3,135.0,3.0,135.0,inf,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Bukayo Saka,1.0,1.0,0.0,426,5,426.0,5.0,426.0,inf,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Caglar Söyüncü,1.0,1.0,0.0,360,4,360.0,4.0,360.0,inf,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Callum Hudson-Odoi,1.0,1.0,0.0,85,3,85.0,3.0,85.0,inf,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Christian Benteke,1.0,1.0,0.0,247,3,247.0,3.0,247.0,inf,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Conor Coady,1.0,1.0,0.0,720,8,720.0,8.0,720.0,inf,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Craig Dawson,1.0,1.0,0.0,270,3,270.0,3.0,270.0,inf,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Dan Burn,1.0,1.0,0.0,360,4,360.0,4.0,360.0,inf,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Diego Llorente,1.0,1.0,0.0,441,5,441.0,5.0,441.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Diogo Jota,1.0,1.0,0.0,192,3,192.0,3.0,192.0,inf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
