player,goal_involvement(goals + assists),goals,assists,minutes_played,games_played,minutes_per_goal_involvement,games_per_goal_involvement,minutes_per_goal,games_per_assist,away_goals,home_goals,Chest,Counter attack goal,Deflected shot on goal,Direct corner,Direct free kick,Header,Left-footed shot,Long distance kick,Penalty,Penalty rebound,Right-footed shot,Solo run,Tap-in
Jonny Evans,4.0,2.0,2.0,2476,28,619.0,7.0,1238.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michy Batshuayi,4.0,2.0,2.0,722,18,180.5,4.5,361.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Rodri,4.0,2.0,2.0,2748,34,687.0,8.5,1374.0,17.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Tyrone Mings,4.0,2.0,2.0,3195,36,798.8,9.0,1597.5,18.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Darnell Furlong,4.0,1.0,3.0,2930,35,732.5,8.8,2930.0,11.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Héctor Bellerín,4.0,1.0,3.0,2093,25,523.2,6.2,2093.0,8.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Jonjo Shelvey,4.0,1.0,3.0,2617,30,654.2,7.5,2617.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Jordan Ayew,4.0,1.0,3.0,2097,33,524.2,8.2,2097.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Tariq Lamptey,4.0,1.0,3.0,890,11,222.5,2.8,890.0,3.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Angelo Ogbonna,3.0,3.0,0.0,2493,28,831.0,9.3,831.0,inf,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ashley Barnes,3.0,3.0,0.0,1334,22,444.7,7.3,444.7,inf,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Billy Sharp,3.0,3.0,0.0,728,16,242.7,5.3,242.7,inf,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
Craig Dawson,3.0,3.0,0.0,1926,22,642.0,7.3,642.0,inf,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Ivan Cavaleiro,3.0,3.0,0.0,2477,36,825.7,12.0,825.7,inf,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Jannik Vestergaard,3.0,3.0,0.0,2575,30,858.3,10.0,858.3,inf,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh Maja,3.0,3.0,0.0,809,15,269.7,5.0,269.7,inf,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Romain Saïss,3.0,3.0,0.0,2408,27,802.7,9.0,802.7,inf,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sébastien Haller,3.0,3.0,0.0,935,16,311.7,5.3,311.7,inf,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Takumi Minamino,3.0,3.0,0.0,1006,19,335.3,6.3,335.3,inf,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
Aaron Connolly,3.0,2.0,1.0,791,17,263.7,5.7,395.5,17.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Ayoze Pérez,3.0,2.0,1.0,1332,25,444.0,8.3,666.0,25.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Benjamin Mendy,3.0,2.0,1.0,955,13,318.3,4.3,477.5,13.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Declan Rice,3.0,2.0,1.0,2880,32,960.0,10.7,1440.0,32.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Eddie Nketiah,3.0,2.0,1.0,414,17,138.0,5.7,207.0,17.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Gabriel Martinelli,3.0,2.0,1.0,586,14,195.3,4.7,293.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Harry Maguire,3.0,2.0,1.0,3048,34,1016.0,11.3,1524.0,34.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jeff Hendrick,3.0,2.0,1.0,1425,22,475.0,7.3,712.5,22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Matt Phillips,3.0,2.0,1.0,1825,33,608.3,11.0,912.5,33.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Ola Aina,3.0,2.0,1.0,2670,31,890.0,10.3,1335.0,31.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Solly March,3.0,2.0,1.0,1674,21,558.0,7.0,837.0,21.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Trezeguet,3.0,2.0,1.0,1167,21,389.0,7.0,583.5,21.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Iwobi,3.0,1.0,2.0,1540,30,513.3,10.0,1540.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Curtis Jones,3.0,1.0,2.0,1178,24,392.7,8.0,1178.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
César Azpilicueta,3.0,1.0,2.0,2191,26,730.3,8.7,2191.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Granit Xhaka,3.0,1.0,2.0,2526,31,842.0,10.3,2526.0,15.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jay Rodríguez,3.0,1.0,2.0,1256,31,418.7,10.3,1256.0,15.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joel Matip,3.0,1.0,2.0,691,10,230.3,3.3,691.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juan Mata,3.0,1.0,2.0,511,9,170.3,3.0,511.0,4.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Kalvin Phillips,3.0,1.0,2.0,2429,29,809.7,9.7,2429.0,14.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Martin Ødegaard,3.0,1.0,2.0,866,14,288.7,4.7,866.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Reece James,3.0,1.0,2.0,2367,32,789.0,10.7,2367.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Tyler Roberts,3.0,1.0,2.0,1339,27,446.3,9.0,1339.0,13.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Ben Mee,2.0,2.0,0.0,2694,30,1347.0,15.0,1347.0,inf,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ezri Konsa,2.0,2.0,0.0,3195,36,1597.5,18.0,1597.5,inf,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Gabriel,2.0,2.0,0.0,1997,23,998.5,11.5,998.5,inf,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Georginio Wijnaldum,2.0,2.0,0.0,2948,38,1474.0,19.0,1474.0,inf,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Hal Robson-Kanu,2.0,2.0,0.0,547,19,273.5,9.5,273.5,inf,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Issa Diop,2.0,2.0,0.0,1379,18,689.5,9.0,689.5,inf,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jairo Riedewald,2.0,2.0,0.0,1817,33,908.5,16.5,908.5,inf,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Jamaal Lascelles,2.0,2.0,0.0,1627,19,813.5,9.5,813.5,inf,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jayden Bogle,2.0,2.0,0.0,1108,16,554.0,8.0,554.0,inf,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Jóhann Berg Gudmundsson,2.0,2.0,0.0,1368,22,684.0,11.0,684.0,inf,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcos Alonso,2.0,2.0,0.0,959,13,479.5,6.5,479.5,inf,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Semi Ajayi,2.0,2.0,0.0,2780,33,1390.0,16.5,1390.0,inf,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thiago Silva,2.0,2.0,0.0,1938,23,969.0,11.5,969.0,inf,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yerry Mina,2.0,2.0,0.0,1939,24,969.5,12.0,969.5,inf,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Lallana,2.0,1.0,1.0,1590,30,795.0,15.0,1590.0,30.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Alex Oxlade-Chamberlain,2.0,1.0,1.0,245,13,122.5,6.5,245.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexis Mac Allister,2.0,1.0,1.0,1115,21,557.5,10.5,1115.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Conor Hourihane,2.0,1.0,1.0,228,4,114.0,2.0,228.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Dennis Praet,2.0,1.0,1.0,723,15,361.5,7.5,723.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Donny van de Beek,2.0,1.0,1.0,513,19,256.5,9.5,513.0,19.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Dwight Gayle,2.0,1.0,1.0,504,18,252.0,9.0,504.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gary Cahill,2.0,1.0,1.0,1800,20,900.0,10.0,1800.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Giovani Lo Celso,2.0,1.0,1.0,950,18,475.0,9.0,950.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Jan Bednarek,2.0,1.0,1.0,3101,36,1550.5,18.0,3101.0,36.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joachim Andersen,2.0,1.0,1.0,2730,31,1365.0,15.5,2730.0,31.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Joe Bryan,2.0,1.0,1.0,665,16,332.5,8.0,665.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan Henderson,2.0,1.0,1.0,1707,21,853.5,10.5,1707.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
João Moutinho,2.0,1.0,1.0,2534,33,1267.0,16.5,2534.0,33.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Joël Veltman,2.0,1.0,1.0,2282,28,1141.0,14.0,2282.0,28.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Keinan Davis,2.0,1.0,1.0,265,15,132.5,7.5,265.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Kyle Walker,2.0,1.0,1.0,1946,24,973.0,12.0,1946.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Luka Milivojevic,2.0,1.0,1.0,2364,31,1182.0,15.5,2364.0,31.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Manuel Lanzini,2.0,1.0,1.0,562,17,281.0,8.5,562.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Mario Lemina,2.0,1.0,1.0,1705,28,852.5,14.0,1705.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Matthew Lowton,2.0,1.0,1.0,3060,34,1530.0,17.0,3060.0,34.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Nathan Tella,2.0,1.0,1.0,742,18,371.0,9.0,742.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Nathaniel Phillips,2.0,1.0,1.0,1455,17,727.5,8.5,1455.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nélson Semedo,2.0,1.0,1.0,2988,34,1494.0,17.0,2988.0,34.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Oliver Burke,2.0,1.0,1.0,1273,25,636.5,12.5,1273.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Oliver McBurnie,2.0,1.0,1.0,1319,23,659.5,11.5,1319.0,23.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oriol Romeu,2.0,1.0,1.0,1767,21,883.5,10.5,1767.0,21.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Rayan Aït Nouri,2.0,1.0,1.0,1405,21,702.5,10.5,1405.0,21.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Robbie Brady,2.0,1.0,1.0,1055,19,527.5,9.5,1055.0,19.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Ryan Fredericks,2.0,1.0,1.0,567,14,283.5,7.0,567.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Sander Berge,2.0,1.0,1.0,1121,15,560.5,7.5,1121.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Tom Cairney,2.0,1.0,1.0,760,10,380.0,5.0,760.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyrick Mitchell,2.0,1.0,1.0,1710,19,855.0,9.5,1710.0,19.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Victor Lindelöf,2.0,1.0,1.0,2586,29,1293.0,14.5,2586.0,29.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Willian José,2.0,1.0,1.0,1115,17,557.5,8.5,1115.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Willy Boly,2.0,1.0,1.0,1880,21,940.0,10.5,1880.0,21.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Adam Webster,1.0,1.0,0.0,2595,29,2595.0,29.0,2595.0,inf,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alisson,1.0,1.0,0.0,2970,33,2970.0,33.0,2970.0,inf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andy Carroll,1.0,1.0,0.0,383,18,383.0,18.0,383.0,inf,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Elanga,1.0,1.0,0.0,156,2,156.0,2.0,156.0,inf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Rüdiger,1.0,1.0,0.0,1710,19,1710.0,19.0,1710.0,inf,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Ben Johnson,1.0,1.0,0.0,518,14,518.0,14.0,518.0,inf,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Ben Osborn,1.0,1.0,0.0,1605,24,1605.0,24.0,1605.0,inf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Bernard,1.0,1.0,0.0,449,12,449.0,12.0,449.0,inf,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Caglar Söyüncü,1.0,1.0,0.0,1816,23,1816.0,23.0,1816.0,inf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carlos Vinícius,1.0,1.0,0.0,305,9,305.0,9.0,305.0,inf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Cheikhou Kouyaté,1.0,1.0,0.0,3123,36,3123.0,36.0,3123.0,inf,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ciaran Clark,1.0,1.0,0.0,1893,22,1893.0,22.0,1893.0,inf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Conor Coady,1.0,1.0,0.0,3304,37,3304.0,37.0,3304.0,inf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dan Burn,1.0,1.0,0.0,2059,27,2059.0,27.0,2059.0,inf,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Daniel Amartey,1.0,1.0,0.0,719,12,719.0,12.0,719.0,inf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Jebbison,1.0,1.0,0.0,284,4,284.0,4.0,284.0,inf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
David Luiz,1.0,1.0,0.0,1396,20,1396.0,20.0,1396.0,inf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diego Llorente,1.0,1.0,0.0,1205,15,1205.0,15.0,1205.0,inf,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emil Krafth,1.0,1.0,0.0,1291,16,1291.0,16.0,1291.0,inf,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erik Lamela,1.0,1.0,0.0,704,23,704.0,23.0,704.0,inf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Fabian Schär,1.0,1.0,0.0,1245,18,1245.0,18.0,1245.0,inf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Fabián Balbuena,1.0,1.0,0.0,1198,14,1198.0,14.0,1198.0,inf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fred,1.0,1.0,0.0,2396,30,2396.0,30.0,2396.0,inf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Fábio Carvalho,1.0,1.0,0.0,255,4,255.0,4.0,255.0,inf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Grady Diangana,1.0,1.0,0.0,1237,20,1237.0,20.0,1237.0,inf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
James Tarkowski,1.0,1.0,0.0,3240,36,3240.0,36.0,3240.0,inf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jean-Philippe Mateta,1.0,1.0,0.0,218,7,218.0,7.0,218.0,inf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Jimmy Dunne,1.0,1.0,0.0,270,3,270.0,3.0,270.0,inf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karlan Grant,1.0,1.0,0.0,1132,21,1132.0,21.0,1132.0,inf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Kean Bryan,1.0,1.0,0.0,1007,13,1007.0,13.0,1007.0,inf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kortney Hause,1.0,1.0,0.0,630,7,630.0,7.0,630.0,inf,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leander Dendoncker,1.0,1.0,0.0,2500,33,2500.0,33.0,2500.0,inf,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liam Cooper,1.0,1.0,0.0,2187,25,2187.0,25.0,2187.0,inf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luke Thomas,1.0,1.0,0.0,970,14,970.0,14.0,970.0,inf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Mason Holgate,1.0,1.0,0.0,2289,28,2289.0,28.0,2289.0,inf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohamed Elneny,1.0,1.0,0.0,1542,23,1542.0,23.0,1542.0,inf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Morgan Gibbs-White,1.0,1.0,0.0,410,11,410.0,11.0,410.0,inf,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Moussa Djenepo,1.0,1.0,0.0,1238,27,1238.0,27.0,1238.0,inf,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Nathan Aké,1.0,1.0,0.0,797,10,797.0,10.0,797.0,inf,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pascal Struijk,1.0,1.0,0.0,2076,27,2076.0,27.0,2076.0,inf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paul Dummett,1.0,1.0,0.0,1256,15,1256.0,15.0,1256.0,inf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ruben Loftus-Cheek,1.0,1.0,0.0,1974,31,1974.0,31.0,1974.0,inf,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Rúben Dias,1.0,1.0,0.0,2845,32,2845.0,32.0,2845.0,inf,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
